15156505,-12056519,-19243234,-26317956,15869658,-35587183,14353359,-34991911,17672095,14283189,3401561,1384144,-1940076,7824460,15053890,6981526,-16388987,-12405610,15754635,12449909,-7352233,-14341042,-2630991,7590669,-5453272,-36845378,-18092879,23405871,-5413268,18903029,1275302,-26339172,71635474,-47399821,-14395268,-4090487,12653792,-16855033,64155659,-31197923,-10379539,27510048,15594320,3729545,14249193,-21379402,29127406,-21509063,12956062,-17604952,25230111,5554328,21882652,8999145,47802095,-7714439,12926134,24773154,-10090709,-16474749,-38515507,-20649019,30031260,-25621057,-4918503,-28884447,294823,-36258646,-10553299,7557705,37016089,9808087,31565741,-4293306,-10513403,33201533,-8477370,11607050,18196294,-42379329,-38961387,46955992,45888206,-5294360,10088759,29546966,-9100078,29176447,48684377,10045199,-11665003,-32510023,13991366,757607,24301795,29709876,-62697334,-5489345,41218759,-20313113,-20578530,-3698586,-5692978,-13392381,-5136022,3802860,316499,-22907743,-37273932,21307611,-10714664,-8444554,16518659,-13392709,-15691251,-60265287,-7268605,15740215,5002180,53078280,36161681,7859190,15827618,2145911,1269150,-16890629,33471884,4744213,14008157,2073619,-14595651,6236215,15749592,-9816579,20077091,18637908,24418291,-23512813,29893850,23307866,17219744,-18383906,-43145706,17003028,6956528,21755280,8356135,2926616,2374610,-38215562
10452468,-6638972,-4725500,-41805408,16847801,12588470,-22395786,50217993,37051371,-50201517,-24614786,31245017,13953300,-46976536,35136060,-7900589,-25297496,49549232,62311138,38708592,11608844,18249769,-1459566,4250480,-4990761,20486339,9316882,28615309,1474720,30594668,-25774966,28354132,-13746471,-42204892,18350065,-49316160,21444921,-18617168,-6451358,1782978,-5182142,-6287340,-2946706,23588915,120046,-66893386,-20089277,-12210954,-9527708,-31307791,-14066484,33844530,-9617379,-8708342,-4759000,-41915043,-27290843,-16442073,-23644895,25980865,-46051299,-8472873,68046096,11688739,-5427769,-2061306,235470,36870187,-5164108,-6995708,-11572464,10109451,-14748034,-20585918,-4386672,27434024,-2591816,-4658881,6641802,-1052483,4637919,8889858,8249902,12834095,-13550298,-32191390,-26097755,-27769733,8402329,10859954,13177680,-31599727,-73104949,-23460859,961448,14637168,17759603,-27632044,31467502,41593222,-2910152,-14740370,-11022518,8505586,-837047,-33191914,35802536,-18465673,4454276,-4714102,8820091,26887325,13903231,15218515,12565636,-3320750,-11994674,-11806027,34588964,16680800,40229766,26113844,2254383,-9865300,-23424132,-8844441,3885266,8151472,48429834,-6396408,6021523,63730124,-10980609,-57668663,-17181036,10506066,-17020949,-19929258,59676657,-5416945,-36103198,25071472,4841558,8823771,-4040179,-243965,29300441,33153002,-1586933,10285565
1988722,-2760656,-17748216,15001947,-2877666,-19053282,48508173,-12609543,-11187785,7423995,-2952911,-20457557,-8898647,46689270,2560905,17059226,-230412,-32618912,-14279127,-56574266,1660231,-3348139,-4518602,-3527220,-14447020,23393421,14589875,36745427,-21382264,-13025586,-27592804,-17089911,-7890916,10268598,-9419621,-4909248,15344367,-24015532,34712744,-13944785,23122187,608545,14508074,-17220344,17517910,66401516,28866687,-25412416,14084697,3575295,26724662,-11169762,-41472185,7119732,-361145,4381404,4746765,11704798,-8869366,-39260269,-2685752,6100908,20610827,-17229080,-10770512,3603890,25308803,-19971531,-1567919,39494492,27931724,-19437994,-10763663,-514624,23566381,408545,1411351,37067852,13799620,13826300,-16037000,9743862,-591658,-3238946,4347934,6907155,-559212,19914664,22290680,16880969,-38396736,-42581855,44197689,15447212,30873282,40626436,-39396115,-26196907,-991097,-10570897,-6653901,8603531,44615233,-13539300,5330360,30570854,10472855,30078227,-33255910,29686558,-8074136,49458770,-28923657,15298114,-33010881,-89828798,20596648,27971077,-19932926,5118477,28406884,-7631852,25484295,-49592316,-7716027,-30905986,-9284508,-44580399,-15812024,26934763,-28909729,7375172,47159993,-7791483,-27212962,-6461055,-18782459,-4530721,15445686,-5476757,2689303,3820984,-38451363,-28716459,16591853,18655097,-56195931,-36993927,6273603,-4830838
-13385661,-11393179,-25995777,-29694245,18880493,-30946483,1735328,-16643424,5493481,11864115,-7066123,23512383,5770020,31323117,43200076,42607060,3601738,56744849,-45298593,-1951904,30399359,6119054,-14156089,-38697515,-35668497,-23541272,612599,8468037,4520993,-25948432,-19996764,-47660554,-9981702,1805231,6729452,40633171,10318210,-9002543,592266,-8962875,-8978475,1721560,40197409,22268785,708998,-19112845,-3881109,34762420,-7932304,-14418596,-5956687,16638186,41101695,-14411744,-12741579,-7455213,30293443,-39291981,-2491970,-1659944,-24798408,8051662,-6948000,20336787,-8865978,5434028,-16357654,-35038035,28056055,-21304482,-5856650,26730488,10899178,42303670,5565111,-111700,10992784,4192981,-21365385,7433778,-8232470,13198292,-8144333,-14781585,-18130281,-21911897,11313112,2958109,73255477,-37813301,-59342566,18283207,-41712069,7575429,28070751,10103911,19217581,14986404,11965691,15335243,-3594829,-15115502,30383418,20116029,4112913,7952775,-21608768,51574853,16438202,-4921235,-2373338,36898621,20412763,-4531823,52731384,4908927,3204760,-9197348,19790626,49421444,22186701,15737404,10917608,-19075534,-22898501,32596600,32248002,-22839133,42069327,-14520263,-44189313,22854356,-10069387,-6933755,-20392206,-11549680,-5375707,-42050343,21570983,21294970,48202290,11933879,6571240,44415409,12339769,-34288053,-34458005,36095163,-10195834,6814698
-44362817,2125478,-42622419,-52629,5631323,-16132539,35364514,-40003389,95695142,14588679,12930725,-49309044,1714687,35347463,-17566488,-7604948,-21211409,-17241182,-17020044,-43458150,-1003653,-40804762,-24551670,-43441608,-970777,15237503,35882199,-2342247,34117125,14750916,-11246596,37595807,12469254,22364072,38141762,-27008332,-55124863,26630290,-32860521,-7675087,69250422,60146592,-28109327,27625288,-33205778,-65579053,-9652821,-8952720,82002723,-50989239,-21546992,48083670,-37017237,23811573,45471185,-17237800,-56705731,70086637,-70018986,-21577742,-16744962,-22018145,-28193270,-2269312,-33861113,23187190,7643137,-7887560,64756231,23502123,27285704,-664029,85969538,-21162476,46194469,17742673,-46596375,-53432543,44406287,67087754,36410305,39462684,-50284909,-36999944,18789928,-20916023,41821593,32030721,23617236,-35178628,-45338029,-18109456,-17000097,6826635,30419568,-5122871,-9872254,46189684,26498062,33018977,21155021,49145934,-24922945,-20236434,-3231281,-2134975,-95325463,-227383,60988923,23861374,-18174673,-15651202,-10705199,-2922667,28345330,-36017675,42835679,28195298,-33004004,96524043,7322430,56020340,-5295372,-1694021,76973095,-20225943,37326321,-38333800,-75811999,-48456595,-6266510,44383202,-67787010,38933493,-13184844,63030182,-26631035,13243498,-22625291,-5909567,21868085,-16398207,16875465,-33401332,65924793,15176504,3213137,-41137718,-7398711,-26829246
2040461,15132104,52468133,22302623,-33141460,22715973,27671344,-22806335,4073493,-30968455,-32022678,-33608441,64429581,-2323185,14464621,-48741385,13983452,-5884256,8808614,33984405,12773380,28011984,20865873,49858816,-2505853,-27761161,-4518925,-31991594,-25997040,-48091464,37390839,26828004,18062124,-15537242,40797191,16748533,-11408485,-35902558,34230085,32615771,19416101,-21310171,2713683,481171,562182,44742704,701737,15644121,45488373,52747468,1057124,-25796067,-28141709,15469458,-3765953,1633660,26274358,-2721955,12058478,-5388010,22312852,5774840,6001529,1753888,-14842352,3856423,11314514,-28285542,35516588,19696731,9535443,-9818164,-23220161,13824181,-27911198,-12564916,-43610679,9953356,45810444,-17403205,-19949691,-50689503,-26970769,52262885,39162287,-16727352,20744505,20692445,8661961,25820239,-7917116,-68889026,12250599,-47645341,-26419354,9633166,24696474,-37478187,1915598,-13000435,-17333451,-15522991,-6203537,-34707505,7976579,-7370101,7916929,-32444544,23183467,35200021,7555709,-6989535,22575762,13441913,-52608589,-400665,-42802059,15472865,498506,44773154,13450538,1752304,-9567359,-6460512,22959632,36400293,-4947580,-5937511,6835306,39425474,34064960,39143196,42479358,3496650,-17858959,2708170,-34701666,35747750,-1700292,-55065816,-21993097,-24040176,10061538,-25358707,53794165,-59944497,31913746,-7525397,12350241,4458405
16848254,590162,33217457,-7112977,19305747,-8993715,-53039340,57493640,-34743047,-10395714,17229804,13032063,40402613,-24525307,16710955,-9472535,-5027269,22558766,55237328,12982723,42491160,-19645443,22283759,42601600,-2672235,7950086,-1473948,6996353,14835309,-8320979,30213175,42048968,1789783,-13220890,38278391,-39590903,9340951,-6501914,-24901882,-6824389,-15617360,-35057829,1740617,-18200053,49717030,3476279,-33309801,-19176920,20462540,51179716,-2091539,-35992628,3900597,24809776,-46054773,-30729906,-12688652,-506766,-11231261,29981601,-28012222,12226555,59475623,45320299,7899127,-34360086,3788199,22804191,1068478,13072599,-34480802,-8951927,12790481,-31976563,16635563,-32090647,10754025,17120664,-16485545,-29389637,12821663,-51542706,10500000,12387540,-4439867,16131845,-45306750,-6452475,-39455538,15818751,28611222,-57918619,8113605,-16072096,29414273,11911452,37681632,-2378064,-49838643,-22844447,-14074570,-20292903,17304990,20595738,-34056300,-4467233,6030105,-28650115,-12013339,-17682287,-5405133,-6074963,-35712910,49902791,19394471,-22057868,-15208375,7676825,30579056,-27897156,-1475903,-26053583,-11928265,21615370,9865187,9092655,-29523579,-29402216,47605179,-18379160,6729927,-15794915,5121396,-27587104,-34933151,-24815668,-21827925,-508714,-17209614,-2158044,-9802431,3163451,-14803667,-37308185,-17256549,40829566,19834614,-22130194,2428131,-4203968
-27358189,-8861273,-16442634,29887062,-20100955,-5288888,19778457,-28971116,3330700,13847433,22081177,7994034,-64835083,41217859,-44990756,-2890777,7918997,-5273443,-32006093,-38655690,2218922,-21299083,-25635274,-45021412,2233491,4394001,-15944758,13766192,-4495238,-17025042,-24739529,9954381,17211558,12097191,-2762411,17917891,13751573,-21140209,-16214104,-28670130,9218970,31874413,-11628856,4333659,17580810,-10175954,-12866145,7433500,21971249,9630528,-8293039,13102466,9012563,26319601,16479097,-2335344,7161696,-6642348,2577997,-17405997,11022612,15557419,16323303,-20452618,10828831,-9711435,-35815567,10650862,-8746803,47784477,25372995,-26543964,42961068,16700372,4687380,-22806138,-20963244,-25541349,4698155,3089869,2065580,25816061,-2448726,-35237323,-9371288,1707192,12539654,35656986,12597398,-9682848,-10553957,42572836,14744712,14286784,-14448713,-2957528,-11274511,30244361,-8336855,-8208164,10577536,43369927,14672147,6249617,-20022779,51933783,-38180019,19229896,-8117278,-9315633,277165,30632724,-16107233,18135143,26610900,1636598,-1893014,10123326,3496294,16780740,-6756245,-7163856,12867557,-9696522,6805533,-28615447,-4896782,3693880,-4220066,-37541055,-44353244,-5325593,-13298509,17341877,8199474,8550404,-2390242,-7456765,15777722,30680153,23592125,-1878079,-20738299,1840093,-19409409,-7913497,-22021218,-29893825,-2514702,-30359175
5785869,-18160281,24552486,-23900474,38218962,-9831771,-19322844,6648165,-37208165,20989078,5520943,32859591,2160536,6772108,11928247,8304047,15154526,23111743,-24316638,-25360326,33565415,62308535,7869389,-7908847,-19959548,-30026829,11658958,-4897947,15397213,-29025333,13091518,-44522497,17205363,8542775,-7124004,-6128417,8888892,13335344,-765524,-12424488,-18166610,1121661,3985564,11866158,35279330,-7944311,-38085889,14536502,-13654863,35452508,24504617,45971529,32415837,-8255330,-40169273,-52523128,8568869,-2456462,-32040990,24962903,5689939,23093435,14320243,36815742,18503966,-10180417,-69288745,-10793798,4474431,-6700370,-51629687,-38604991,-10824657,61136241,8091539,-21050116,18743722,-7027303,-22136515,7461252,-51535193,-32200373,4321086,33862318,2688746,36097326,-26650913,36411940,-2095151,9475264,-20803273,-52840428,21128452,-29393076,-8619707,4787224,45610494,-12637666,-8564938,-29206021,-37022895,-25410670,-15330481,14325777,-12994519,85090034,8499984,18309490,5086700,-2820135,29836092,31939638,-22844481,26557518,8403650,-12100089,-17658175,-10988322,9434135,-7662328,-17264775,20759015,-24648093,3203214,12822008,44976161,12753188,4132180,17354541,23715610,2008702,-6051011,1616865,11162297,-4644487,-37323936,2525241,-35095113,9405303,26832274,21201161,-27768089,6329705,-8861239,-14768455,-13910715,-37648058,-34443708,-2216514,54547924
-40190229,-31852386,4147939,31560499,-9695623,52448299,38786264,-29449285,-36091773,52089046,-13426343,-42210216,-60473960,27895713,-30321757,-32132559,80876191,-51711078,-54454097,-71236478,12622863,-64576532,12941796,-47073009,6147386,19164526,-14937067,-3422772,-4137237,-65060931,-32558056,-14878311,-63046743,86277966,19624028,-17089943,-4349673,-5492746,-68462610,66752978,5812135,-290520,18164622,-4578769,-15684732,66634737,69309766,40972471,-9087491,-15563270,-54092798,-13160816,-40509862,-5123659,63765802,-5424955,66487276,-20063630,-18192107,-20680070,76184310,-60439571,-24762877,-42726626,-13397328,55199411,10397205,22039095,374029,-26055243,-4319458,-5399131,-4085007,2647611,12822153,-12842635,-3797714,-72536104,-55196824,3055799,-14830907,-11795540,34138818,-28862906,-8037584,-55517131,18528416,53373548,26099871,-1761527,-7363037,57447147,59832370,52328177,-8303912,5344191,5917857,22876804,-23582269,-13799284,41660391,19297844,54633542,37000337,18525578,41902095,18463555,36145014,-20345809,10802291,-22867145,32952768,-56688663,48318193,-44703877,-13363650,-15262591,22539162,9945039,2283681,35876227,-4142378,4111430,37605828,-15970946,15219904,-32749038,-10502678,6563710,36103840,30010470,-58254524,4441213,23450885,-15231336,-54187750,27807230,-9239652,-71610746,62877969,60333485,-12198538,-65459371,-27986452,9639515,-21499093,-45966229,-8937838,30875145,33637237
