7751247,-15864571,-1038023,2610239,6790452,-9112431,-5442444,-4130080,-2632008,-3959107,-5392296,-9568739,-20240668,-4747963,-16500206,-3061783,6874229,-23281180,1008259,282850,2047229,-15759888,-3644984,-12471520,-3989917,744734,7117455,-11598723,4375403,-6709793,3538235,-11298769,6400292,1214586,5757310,-20710755,7970992,-3199591,4327457,9711543,-13400118,-7354257,1071452,816663,3584850,-4783206,-7691402,-12005004,-1744948,-2361775,-37019,-16965560,-4353121,4717836,128116,-9280477,4050916,-2042192,-550865,-13790931,3990104,5749432,-13034561,9735026,-10427769,9739574,-3400899,-11357115,-15103918,-3743529,6833281,12045640,-11687482,-5214157,10519492,761,110659,17418627,-16619993,3357609,18401262,-10511126,4948221,-19370583,12384395,3311982,-9642909,5998521,-3343180,7942435,13249491,-1234386,-16302948,-8172984,7347122,-12384176,-12576611,-13107309,14550741,6890532,299257,600631,6721878,14782529,708873,-2014525,6725636,-6671078,-12225051,-16025679,2142763,-13363117,9249821,-1235248,797113,10761389,18011977,5243821,3674819,-1353986
323939,-8037106,-481822,10356506,12082940,3894563,3309562,-2035805,-12196387,3493613,-6673839,-15676800,-6040103,-2923247,-6548357,-4486881,-13635826,-2292287,-10432790,6284157,8010428,-6202106,-6545527,2330715,8330067,-889768,-3578994,-2693135,166472,-4261398,-814674,14092417,14475577,1304825,-280417,4346363,-1939972,827872,5525713,-8874787,-2300916,451384,-3968757,-6844138,15516737,17918901,-10397118,-9279394,-9106992,1372415,-5784351,2126543,6546697,-7019706,12977635,3027390,-6440783,-5571252,-5356118,-2505685,-6449583,12135978,-18146895,-6492562,-843290,-10725283,-4797653,10286609,-1522359,-2360584,-759019,4697347,-3825820,-3302848,674654,-7626327,-4541108,181317,388133,-4880065,4310257,9989210,-11774051,-9122987,-4958819,5261633,-14251567,2761088,5551462,6936417,16333790,5464889,-2110533,-3675067,8750756,5724381,4172856,4459539,-4591189,-18354,11715586,10263171,1418972,-1680043,9096233,3563936,1575534,1738271,7876223,4182619,-7061662,-3192549,-8769690,-14114445,4931170,8791670,8939134,-31417,-5308753,-9365857
-11444033,2582484,-10443228,-142135,5862712,-3766621,6430372,1341820,-9324884,2677914,-2721963,-8542208,-12190123,-3780732,4578077,-2290053,11228271,-6321682,-15055237,5404935,4623569,-723040,-16799141,-9943233,-5846762,2924043,14254360,-7231724,-3629977,-20560557,-11374868,1699271,35519710,-1644706,-13498463,1877603,1923046,5724017,14810145,-2135403,4848419,-5944419,-5564627,-9489011,-12190588,21290693,-9790036,-3347087,-6035932,-8656334,1156691,-19931475,770135,317989,12333186,-13443101,-987572,-6832844,5947292,7656937,4232222,-5808215,-1464180,3437291,1566744,8948821,-7354373,16365515,8350669,-11269758,-1470844,20243671,-12663897,2610400,-3772351,-6879608,4665666,10898998,-25146293,7277551,-4820453,-5843998,6060251,-6861914,583368,9575024,-5719108,-67749,2018072,2366658,13293601,399925,-16853314,-11376978,11111357,3284378,18708426,-719890,-2406727,7578473,-4878121,14041177,15544252,-13071314,-4447788,11765624,5430579,-1159365,9659615,-18068902,-11908797,-1063197,-1105744,-4730063,3101068,-2870749,9156306,-9004434,-7064302,895670
-10969543,8373779,7250029,-16525713,12026730,5099230,1830094,8260872,-4605707,-4214571,-2887853,2413493,8340711,21177969,6662688,6759343,1910298,-1071606,7106662,-7377753,4087169,2768250,14125587,15157791,-4531345,11462765,8478186,16989874,-4829367,-4092647,-3375221,5062424,-15024758,-3998328,8652526,-10227227,3451487,5239186,-2234323,2761438,18261323,14776652,3580882,-3132975,2627028,-796285,3971942,-6860065,13105850,6190180,-13565040,2943777,7496785,3218239,-923313,-730470,2216847,5998072,11515116,-1101427,-4213880,-6531808,10449000,-8788759,-6629620,2964429,10784732,-3598852,8213442,-5646440,-12533856,-8554414,8653300,2629721,330079,3998721,10558897,-7811214,-212186,13794557,-9550477,5239371,440305,-4877472,-11683716,-17442245,925456,-11522254,-813343,-14218646,4232814,4102975,6706969,8019995,-4825402,7162269,126,-1872069,91782,8192671,-9758619,2389618,-12080228,-9003550,-9796205,454184,-2966847,5580792,3977375,-4635263,-1324188,-3806656,-4477507,7190614,4580134,11985947,-12058760,-6123786,-4931520,-3202329
-3377644,-8589777,2473489,-7595213,11492023,-2984550,5916479,12241536,-3158736,2720117,-21353400,-10851111,3776014,7011790,-16030994,9943113,-5188803,-13799390,-12082127,-17691907,-18452063,-5637120,19173531,9619174,9518343,-3726974,8620832,86498,7990360,-983203,-6040920,8908314,-11466272,-3936717,9227353,-14177509,12104293,957588,-8526723,-23218572,9329866,-10607292,-5490058,18534699,7090655,-8653254,2613211,3391930,14243199,-2164773,-18724889,6655814,5065603,6550372,-6200331,17535762,-7474432,-3125903,7715893,3539357,-3881725,5296670,689023,5582667,-14648378,10884044,2052137,-4134814,-1709679,-80505,-5112352,1524942,4244646,-3830651,3274723,-1178978,-500532,-1046847,-4057874,1586177,-12828769,1824310,3299836,-6984214,-9352594,-1570707,20008060,-3678819,-5763634,5412958,-8544508,1754953,225895,-688562,3126059,10012477,-11905928,-2655549,3867730,-3191626,-13824682,7707326,1343205,-4361327,-791431,5184665,-6215100,2465445,2526963,-11891825,-6238730,8707376,-1488088,-3037393,-2873091,10065404,-4005844,-11933185,575028,-5421011
-3737990,13431522,-6733268,1416662,8164164,4043589,6270710,-5917888,11065960,-10360205,-10994046,745381,15870257,-2274784,6375336,7911067,-2873232,697768,1323876,62930,19892217,21678054,9423638,3885783,-7257504,10933668,-11438227,13248390,24576248,1226888,83675,8121679,-9175996,4335945,3590529,2146717,-9872546,7207505,-1329037,129663,11912694,6831660,5289689,-1947461,-3686573,-12897830,15579021,9959345,-1638663,-19715376,2037263,1205722,-8663313,1536980,-8614556,-3162204,-11251415,-1599732,-1325877,12218998,-21755043,-11558878,-5933522,-3470679,-6709879,-408710,7520923,-8286178,-4135477,25749385,964522,12527686,362060,3409155,-7076735,-4915923,4201727,7580799,3440080,-11726200,6713774,6350555,-3873097,9120662,-7344929,-12366439,9312287,-835092,-1112835,4317252,-21454152,-11792508,-4197578,-1670445,-9727949,1013010,-4901492,8844617,17583802,11369577,1257555,-2866909,-18098849,-9843711,2145721,-1090005,-8254071,-4247342,-5067033,12075583,-2989797,-5851140,-4525869,1903269,-13719357,-20756880,33182,-6009098,-7942139,-1407993
5662902,17836899,-5030172,1413604,-8195985,10708708,-2950614,-9875233,4568680,-9083098,15016369,-5605995,10836741,-14562144,-1492736,-13585982,-4139462,14671261,-3691032,4539577,17381911,2036345,-10937647,-5775787,-4100347,14545544,-12679455,-7553822,8139485,1875690,-6218556,6011781,2611603,4980076,-12035261,5940885,-4884129,8737003,1276483,16643385,1292834,14761229,2283680,5062323,3578832,-2983868,-790235,8288427,-4239258,-11469854,12282813,5233176,-5949019,-4777683,-6779705,-5161878,-14887786,12797337,-11855596,12498111,-17718753,-1907373,10292076,-20117319,11348469,4329710,-13647308,-1026185,9481617,10764460,-11812597,16437171,14568595,8567201,-4115354,-5114758,-2236125,-16517669,6721800,12508405,21413172,2146212,-18899188,-10837663,6299582,-11805918,-13162479,10704174,4591859,-1216868,7541900,-1066042,-11579811,7717301,6735924,2709422,9509201,13594704,13960920,-11862748,1483715,2024466,-21398355,-3938849,-2791102,-2779792,7391419,-9837137,-13972790,14699060,10753830,-2358006,-3048635,7342255,6226918,2137600,3986640,2933459,-10465489,28358
-11531368,-3347405,-6316469,5960692,20747346,11616526,-13879772,23229405,-2227728,-5620907,-21709722,-9291508,-6118612,-2366349,-26225164,24431504,3369197,-19786584,860577,-15412838,-4133928,-17003668,-2496818,-4705029,15381480,12036218,-5953003,-16690750,-9277561,6651730,-4034058,-1439360,9082978,10620655,-20125951,9407207,-4245927,-4765033,5521513,-21339384,-12265754,-7571417,-7224048,903816,-5648514,15432059,-23909603,-701696,387375,-10859855,-2068067,3106532,18092876,8558914,-2952095,-5991921,702992,3490149,11341085,-13631157,13043270,735799,-13273665,3309434,-390503,-2633993,-7687187,2534706,-14826120,-20779561,-11759844,9386763,-7086596,-2739675,18616134,-275628,8574209,2296440,-2450223,-422626,3093375,-19445225,-1465008,1625474,-12078067,-964373,1080248,5574281,-20643694,21251068,12624306,8312109,-25233846,1985183,1669622,27105650,-4587100,1981072,7639951,13223557,8624497,10185778,1037803,-3836205,-12265755,-1981258,-15054783,-8650937,4650397,9348330,-21049790,14170309,6510033,-16012055,-13977981,7489448,-1334139,-16575992,-3965069,-4166500
4256087,7009107,-13415,-11397485,-24203,-3848284,-3096597,-9842368,7196501,-4183685,1638286,19210838,7306451,-6962492,-2973153,-20404619,5478209,899905,74504,-1920542,-771732,5527773,-9866315,10447377,-3896825,13080449,10799086,4103702,820238,-1349123,8478176,2996115,10879195,6511529,-7987521,-2075451,6670184,-1868364,14041929,-10429186,2560487,-3789782,3016019,8831766,-3516953,-6515698,-68428,13433526,-11123480,-5978175,13022074,-11294570,-7783099,1565094,2848119,-8595596,655975,3585442,5648181,-9582620,-3605723,7132112,23900579,15381809,4352331,9286037,-9990240,-10106917,-465084,-12642552,-2002144,2678170,-3418967,13349816,5957639,1220576,-11173655,904531,-4447056,7275215,10783272,-7620131,-10465824,-5480176,-13358956,649400,7542102,5943637,-5651123,7457190,13827555,5478094,-11051682,760794,4005406,-9849904,13393006,-3371570,13805754,3645266,-2089424,4653080,-7627701,-10667334,-7550912,-12880946,-5624217,-15379229,-16758990,-2344302,-12521921,3311300,6534590,120512,1625439,5546562,204191,4018629,-19627341,-2692364
15503413,-6719467,4543336,-1353798,-13065605,-17712209,-7659932,-2602531,4802057,9253161,2977403,9598195,8797733,-16834648,-865591,-16850532,16007388,1324582,-1200732,10594855,2646396,7733558,2918133,-12390053,-11987686,-8354109,485666,-1259740,7264489,-240625,-7684357,-10153702,-6382578,-9771971,12464138,-1192156,-6335912,-8327474,-4676404,11189277,-2269642,-1471899,4371553,3705137,271432,-10215464,7093283,2160759,-1511004,-11553174,-742271,4533628,-17905957,-1180331,-2977393,2904380,-2881376,-5078152,-22237380,-10920118,-4802421,-11834634,11464643,12987606,-144167,251515,-335933,-9198887,-2225628,10888084,8598536,548744,13960692,-5631521,-16536295,-8398068,-12013671,2412428,13534694,-13321864,100400,-3864693,-16822016,-2493884,2338933,4219390,4600095,8747269,6461954,-2005881,-14688574,-1306898,-8668448,1534547,-3034762,-17701223,-8664997,-6332254,-565644,-9984484,-10283923,-7714517,1101765,6228084,4187173,1425652,-5131761,-6872412,-12385635,9792933,19571213,-8935697,13316248,7121693,5416714,-10671783,4764690,3228851,6890273,7153801
