57004,-23441,-40399,56092,1676,56655,29075,7195,-26303,-19522,14579,31611,-38406,-4389,-81441,-43388,-18538,40581,-61147,-86255,-54068,56211,-75672,29295,42332,14231,15594,23231,-25870,-6037,-36452,-47508,-51187,39733,-66986,44079,16066,-49990,-23500,10044
30536,97279,-21758,-57483,-20997,-30459,-14738,-83810,3108,111757,113591,-22968,27377,-26953,58384,88294,32301,-12120,-17801,-98926,9111,7643,-1012,-49413,-15928,26204,-73189,-42844,105609,-79952,-18586,-33209,36142,-20836,43478,17352,60545,-25863,-65854,27735
-3337,-15365,25900,1250,-81695,-3288,34936,-7807,97811,-73266,-77764,-1113,65864,54106,43661,22504,-25176,-32683,28496,-38189,13104,-47055,-66001,34544,55183,39094,72249,-15181,-24733,56921,53080,-59099,38948,-63309,-42515,-21716,28284,91002,-25910,62924
-17687,52486,30892,29927,41020,-2920,14385,-548,-49963,54210,49375,-23618,-12044,-9915,7542,-30432,57760,3949,-80104,-54705,64303,-76970,-18722,37616,20491,-44242,-26491,11383,14596,34915,-49575,30650,-3671,55844,64536,46449,20878,-57606,-46283,50047
-219,-19028,-15813,16430,-19985,-42591,30671,-28046,-27447,-89940,-15357,-7155,-22428,25697,-103029,69165,13271,-6607,-11236,-43350,23084,-10009,17872,-73340,69306,48728,17058,-3212,9242,-85422,-41131,-28942,38842,65755,21995,52729,-29133,-23170,6434,-42076
6691,-48397,122132,27584,-19279,-12206,82273,67232,-105743,-80486,-15551,-9836,-68042,-26645,-12056,-27197,5675,108347,54328,40726,18853,-43261,32721,-41371,104939,-38823,29923,-50488,-55875,-39749,-52363,-129079,12493,-56936,12208,20724,-13266,-30113,44248,-17209
28284,-58560,-39748,83958,46598,57076,-28865,-11454,-28304,-32294,77635,106258,-36299,25844,-5312,84935,-34859,56890,-30414,-29419,-83925,-65299,2552,5914,21153,-67483,78080,-49700,-94119,5966,19685,35105,1409,48931,-106527,32787,-26673,-55363,-29069,-20555
-52736,-2530,-2366,6479,23903,-11972,-23439,-99468,-46390,20434,70364,-6697,-79023,33586,-40159,40935,-1310,-83267,10824,9887,51451,10748,-3240,-51841,-57827,49350,55089,48639,40634,-46242,9774,81875,38058,13541,39982,55211,24159,-19227,93955,-23730
-24635,9472,23896,-79022,38829,-72597,-38846,-20317,23483,114985,44737,-36155,-1749,66014,-61164,63330,35633,-103231,-43464,3706,50397,28827,42775,-94495,-12705,-6561,-52870,-13996,31955,6605,-6641,66573,10503,6823,33387,-8540,34439,-7852,-34717,11923
-13395,12102,-21231,3895,24429,20271,-49900,-32043,9020,-10988,22280,25971,-25928,-55841,15809,32312,25781,69635,54768,-781,803,-25199,42546,68229,-65822,21686,30576,-36011,-3618,27313,35808,102419,11397,29331,29244,11782,50389,105245,6937,-37792
29434,23040,-72095,-70925,26075,-31622,18610,-32257,3785,-11980,-12628,-22222,35268,-20705,16367,53653,29914,-93065,-20075,-66324,74751,1169,-13377,-23210,-35459,-98672,-70269,60036,39044,-18028,11830,74116,55442,-32415,-21554,-43541,-3188,36199,56776,33652
-6143,-34002,60121,27716,18722,-10969,-14246,62996,6556,1512,-45157,24669,-13223,26601,31242,-30316,37062,106718,-60611,9416,-25958,36531,71946,27763,-1703,-27101,-18619,56064,-6521,47417,-68645,-36674,-59048,5260,1907,-61410,-18242,15288,-93287,-23000
-44570,49463,-75986,-2562,6807,82390,-56170,-35376,100122,-7197,44908,22176,-16835,-23406,-34004,20648,-43714,-55210,51870,-59178,63747,-66404,-56582,-15891,-6658,35799,-6656,-61057,-21321,-11563,423,11039,-67469,-1640,11532,9992,-48311,25659,77261,97058
-40726,63613,2447,8344,-18156,45950,55572,-37443,13154,51958,-38616,-56663,8172,42483,61785,20826,-33328,3716,76163,34177,28259,14813,-16559,9207,-40530,51799,-32629,59077,16601,46701,67669,-54780,42027,23590,-44779,-15662,27092,61962,54692,123070
5292,38810,23163,24026,58062,81771,24608,52570,-19292,72475,-26439,-40468,23059,-46793,29980,-19928,-32941,68702,6057,-18579,1306,7471,-1753,29915,-54739,30351,-81656,4415,1677,58312,7562,-35551,-30733,1556,-92919,-10499,-28558,-23617,6068,39332
