-1400779,2255718,8561142,2136074,4667702,5093604,14637320,6883637,-8761988,4811362,-743481,916807,-1151290,-8505416,-1002622,-1310314,-2151821,-6942317,-3363083,-10297612,-1502336,1350488,-8915172,-828287,-5331207,6094281,2565674,544535,-4556024,-1079582,8140490,-5345397,-2294140,-4611664,-3007685,5478175,5036633,-3573623,232007,4070310,-4907657,-4231155,-924369,-57421,-6857769,5332669,-6151458,158565,2395900,223405,-6444510,-3275981,4250339,1588416,5995016,-7273734,-5452021,-604978,-4019595,10118968,3351996,6495355,-3409724,-10281007,5995439,7000644,-7226296,3515913,2271809,41696,2120893,5232626,-1610723,-4102164,-1184985,-387400,-4599586,4085468,-2885091,6892572,-4864593,4121341,4978426,1730469,-2742328,5875642,-7303386,11449061,10191842,-6109381,-4388343,-5908203,-9956748,-7171157,-5516297,-5504036,-8685833,13817599,10152479,3258580,731710,-2537692,12332529,-14938461,5159908,-8089,-4123894,4940054,110472,-2730108
6944914,-4112290,-8022501,7824162,11170640,-10477855,-3494870,3231741,-16522351,-4275500,-6241978,-5811989,-7230312,2934363,-3718215,11130955,-2276980,7752304,5145321,1928095,9370297,-8618163,-11508498,-5140305,-4799628,3384514,-13655300,141597,9462308,-3466823,3803578,-6332103,-3675925,1900734,2154137,2254328,-8234925,9197873,3463114,-729514,-3949655,-1092156,2772313,-12684867,5070721,-4865168,832181,-1084204,5602770,-1526788,1055949,4229410,12128024,-6589658,-10653290,837905,-1677927,-11932799,-1641410,8486712,1438955,-9393858,-4874736,-2570843,1819113,8503707,4970861,6279663,-6172586,-9441093,-5827978,836563,-1929508,-13335544,10030625,-8825138,6302200,6984016,205021,-3168985,-5160300,-6202271,-12023215,-3164867,6934504,-5051286,11540956,4802966,-902231,-6207739,-288606,-6988983,10961521,-9571699,-2480733,883882,4666559,7686683,-511091,2769530,9400413,-6440177,-9379239,4277492,-2363123,-2018609,-5638461,8993593,3414602,-7641792
9709296,7812986,-576200,-5798583,-4921199,966702,-3589118,12946944,2653391,4550784,-9133196,-2681474,4453492,-2292009,1640136,3946295,6389810,-7582090,-3187626,7202917,-1100085,1817081,-3668498,5656836,1230220,4790307,3310238,8287210,2071769,397685,1537280,-3417515,3164575,3398760,4421745,-3658381,516987,-1652026,6571947,-5587884,-9240638,2923834,-7417667,4102183,-7613142,5110205,-1147571,6067364,-6854754,-2093120,-2505552,-2637943,6165025,9078946,8243473,-751411,1927170,6840340,-12884525,7856697,11250687,10214931,2704236,-1528137,-2956377,-2037461,-5026164,-5390997,2273017,3815543,7934992,452944,-796299,-3538587,2243362,966993,-8329731,-1594403,-177064,3162970,2038040,929353,-307601,-5327469,5528509,7037129,2008096,-1372800,8145586,-7929691,-1674081,-6200291,3638037,11519210,5929456,2285399,-9224588,-3003500,848900,-5246234,-4711969,4302608,10827,-11270112,-1611899,1858441,-8868563,812864,6076742,-3944235
5952030,2890756,-4472647,5755921,2465348,-2482887,2331616,5307341,-6650062,9428266,-4869892,-5733,-3005160,-1320830,1989290,3428169,8457786,6234349,-1326557,-1315261,2005943,2234439,-8752491,-904138,-10915220,5459217,-5304747,692445,-1106312,2300262,-128407,2976188,-4581502,-850702,5135859,-752327,-1778397,11327216,-881743,-1135298,-703501,1820977,5544454,-893949,-457238,2690677,421671,1259905,4305058,-3436899,2944466,2058487,7830745,2027707,-1641673,-1681191,-2983171,-2893777,-4903916,-588609,1536682,720003,6408253,-3998035,-3787906,3514082,3237246,94173,-1705672,-790482,1667746,2460766,-1861258,-10811421,-50296,-240404,6671425,7814220,-2734144,5344137,-5370486,3341170,-1105009,-5792604,-683828,-301817,3461850,2969332,8583094,-2371566,-5339019,-9923242,1326444,943462,-1169351,-110176,-6680500,398691,6829345,2408376,2444997,2641856,-1053382,3021390,3184094,1141231,-3494442,921584,-3081363,-513465
29157,-4298879,-8164171,-2432180,7891046,452170,-245295,-4308779,5105473,-9202030,2178707,-8528187,-5959853,3736866,1791890,-917271,2668217,-2154171,3703418,2502629,1589503,-3814350,2679320,1069975,5842833,-6187886,-2011303,-4175146,5763090,-833314,-8490401,1127434,2406584,3015058,-1170312,-2190352,-5591856,-6264454,1275761,739539,-2536033,-2602661,-3031215,1954912,5708557,-8220637,6028223,1895264,5341114,1867359,-1010739,6767594,2960970,-8195521,-6040268,264719,-5293879,-764446,5346363,2714106,3888634,698649,-1730495,5279832,5338402,6311838,1590410,-7308718,1265858,4267719,1227085,-1977555,-6847091,35207,4074035,6467312,357222,-5394628,-2890479,570697,12141480,-9462763,5198133,3189788,-3511883,-8376289,720873,1226506,-8528787,-2327941,9131093,10559488,10455873,-1645325,-701120,-4766672,-3262984,-1705082,293254,1918649,4200592,5769624,-2415658,-362410,-7737416,3345812,-932731,4019506,9083649,-559902
627010,1743815,1457449,-2656806,-1529711,-7701992,-1753746,-4150355,9275074,292604,-1384108,7501367,2903381,-7138431,1140555,-1933076,-1972013,-5510296,587629,-3962491,792436,7920925,2370328,3733646,-4826789,-1386608,10500114,-10571548,-5672907,65656,-1670618,4656601,359470,2178905,-9259785,3345611,-1403009,-4667958,718185,-5446611,4832506,3320527,-6641915,1389716,-4548628,2089991,2250079,-3332041,-10604761,2129330,6918028,-2588454,-4154885,-1555028,-2398801,-153572,3464230,3605592,-4244698,1290782,-758509,-7984910,581629,5787327,-5101902,327009,9406232,-6823004,-2480197,5583635,-92153,-3339089,6071624,7612149,5910546,657861,-6935078,3649797,7417365,-10867029,4553032,-1728202,5607252,-11729236,-6981624,8668833,6229330,-10120960,-5332407,4024583,1573415,-3918838,4217528,9808079,-1595994,-608940,3687777,-2045652,1950626,-71968,2384476,-2892402,-2876330,-2879997,35915,2841491,-3759971,4432874,-3398859,-4892882
-4466616,9208644,4568675,11344992,4657597,2337994,-5501503,-9808450,-7992462,773363,4537435,-2552614,6788956,-6285867,749408,1495656,-1474234,8057395,-680993,-6764001,-4834745,216465,3887976,6440919,-12278315,-5984011,1687610,-5005834,6679271,7150121,6171313,-10404077,2807344,2302,-5256292,14762448,1546895,2761820,1123586,2925896,11703914,1081001,-6308995,1309145,5841269,-2645292,7016839,-5147617,251800,577786,-5761055,-5484363,3190183,-5295608,-857969,3374169,-1621419,8158842,1943356,-4246115,-7596355,6757593,5375277,-4513226,5630528,-5122250,-1515330,-142259,-14311908,3450228,7082753,4764761,4536166,-1182210,-4088343,-3700889,301296,382172,-7549002,-4676170,4989161,5815676,5914321,10080152,310117,6487813,-10782246,-65068,1369001,-5525721,964184,-5707784,-3027740,-10519708,-10404975,6199000,-3696351,-4014747,-2560439,1484370,-3468315,8410446,8837963,-4905764,-4536399,167779,2257312,1868903,1251017,2698165
-1574802,4904105,2688978,14738862,70176,-4372098,1851579,689244,-3574089,-1865769,183854,4814932,494091,-2299373,5699843,-5618352,-8521712,9000636,-57340,-12843776,7745810,-4172345,-631774,7727259,-3119200,597873,-4669887,-11905825,934805,-5621781,5255053,-734006,-296187,1293079,-5882648,8313337,-6250433,3691081,-4030176,-6237243,9053253,-1052037,992708,6395876,2086512,-3740054,-5452005,3809545,-2652323,351628,893829,-10637860,-1530510,-1172757,-3909994,-2015606,4025369,-5810049,1559608,-10960822,-5467273,-5315351,-7027565,-4710521,6331232,1060266,5437657,3062938,-987621,291850,5884901,558571,-4656591,6500809,-1074748,-5798118,3381493,165413,-3239413,-10174012,-1618314,2662963,-6274638,1615017,4798528,-3921666,-295152,1721966,796342,1509611,3451279,-4985098,-9085439,-5055688,-7969777,4343728,3685253,-4188111,-3831575,-386460,-7602633,354209,3681075,-2228484,-3434745,1795439,-1786462,2845195,-5700236,-2586512
4471650,-2871924,-4650573,1133941,2355841,5581093,13084017,5002381,7437636,5295166,538070,3990851,2087855,1632238,2038384,-2117380,-346809,-7189499,-5325437,3188174,-4961125,-1273266,2441395,-6813760,6041565,2190341,-4192715,-6011050,4622898,4431015,3514409,7968497,-3626527,-3688732,-455460,-3183163,-764513,555662,-10418790,794645,-2644401,2334527,6276525,2543298,2105736,4301515,-1204067,2113074,10711535,9498994,-2367100,-839603,-1759826,-4733752,2412779,-7352949,-12779335,119117,-1828479,3958776,-2207858,561881,-972384,703110,6338627,1013883,-789083,-1876596,10190932,4651053,5981601,1438945,-2665778,-9679791,-5821766,621260,2955683,1768928,-8709732,6510156,-5452729,1421977,2736487,1793879,-1340379,-2445964,4910671,6104696,-2882641,-5536352,-5023873,4350455,-6334158,-6407037,-261985,-4698336,-5254486,6809919,3664128,1681708,2815211,3344568,2973861,-2081037,4601133,11444682,1760145,585972,5891600,374784
3657507,5488318,9895053,-903605,6687088,-7706119,3291079,4988344,-6387948,1460851,-10592798,-6597426,-7613615,-3856862,2957300,-1785687,1571489,1959230,-3042852,-3609567,4954105,1520611,-10045768,6766434,-2942530,6097049,5080401,-13878342,-2887537,-2287762,1033263,181191,-1178222,-6668605,-2005851,7593408,3884533,-2027037,5261831,-6284758,-6360623,1660354,-1445189,3236451,-3713124,1706653,-8781614,-4756518,-8219312,-6910694,-6261939,-4461662,6585360,7279632,-5593317,2240646,-1590385,2260600,-6589430,1933290,8696926,2269956,520877,-5836465,-2216827,-950331,-3965627,2499186,-2060410,-3368974,1420565,3584498,2182492,2743940,2776394,4132982,-5068218,2387410,5062853,163133,-2482197,1898397,2763569,-934052,2418396,9843839,-8966155,10526952,3848796,-5151146,3491957,-10111041,-1524931,-1958261,5132513,-7315218,-8447107,3338282,6067245,11121873,1088325,6850480,3539147,-14956450,3003708,9042806,-5487551,913001,-3708068,-2493628
