1254,-2068,1889,1801,1491,1958,-2862,-988,-2826,1302,-302,277,1799,-1037,-1463,-1912,750,-535,-3322,115,-2149,1349,-605,4365,-1228,-767,-933,479,395,-2504,1521,-573,-711,-605,896,363,-3052,-1396,1004,-3429,3977,1358,-1730,981,-1407,-770,1299,-1658,1783,1149,126,-2826,2902,-403,2703,-355,492,2216,1942,2602,-913,-2052,837,152,186,11,-702,858,171,-573,2605,-2347,-1954,1706,-1775,-160,68,731,-441,-1529,-1909,2334,4101,214,-1032,2343,-665,-2787,-1446,-4069,669,-1931,-3385,394,-1518,-1619,-276,4119,2068,758,354,1387,689,197,-936,-1681,-1451,534,-2517,-3753,454,-1826,2415,450,1908,2379,883,-1241,-3312,318,2036,2338,1391,636,223,-3094,-225,-1770,2501,-1293,-2269,-2038,2412,1037,-1344,2561,-2066,-2744,-640,-1502,516,456
2962,-2487,-4678,2255,-294,-170,-1458,773,2110,-3277,1496,-3677,1956,-117,-2988,-1685,4864,-171,-244,288,1943,10,-5,-1441,188,545,-1206,549,1733,-942,655,1443,-1229,1848,-2180,1729,-1009,2757,-1368,-2337,1295,-1725,-398,-554,89,-590,-2369,1292,341,381,1308,-3223,4207,-936,1764,655,-2758,-186,-1620,3449,-448,-314,-1273,-2385,577,-494,989,-861,-151,1013,-280,656,-765,439,2426,-198,-1157,1244,-2375,2459,-561,258,3076,1274,2502,650,-1228,-143,-3276,-4275,2559,1231,-233,-1705,-4559,3423,-952,1186,2054,-182,710,-4313,2020,1417,4607,-27,3693,276,77,25,-2328,1339,286,-1205,1384,2137,-2805,627,-2009,-227,2929,1463,-67,-2314,-59,-3896,-798,-2367,90,-1660,-2150,2779,-2424,-778,1505,1020,232,-1165,1623,810,-1129,-176
-39,-335,1985,1615,-500,1874,2054,-585,-927,2665,-1158,-1060,-1950,15,1898,-1134,-355,1076,46,-922,-1755,-1973,303,3091,-724,-903,2421,-834,2692,-1412,-429,-377,-3097,233,1309,1843,-897,791,1389,-1000,-950,2016,1138,845,-1129,12,-764,216,660,2965,-1383,1048,2168,1,-402,-1188,585,2379,684,-552,-393,-828,-226,960,-2094,486,-65,-549,-1261,-464,-1416,-2308,-1616,-829,808,-504,-1680,742,537,376,1348,1895,2359,-817,1388,994,-623,-1802,2513,-344,399,-484,-2312,372,-713,591,380,151,476,2052,-260,1256,101,303,-2931,-202,-263,1387,-294,-1637,243,1025,1474,-827,-2374,1745,-2072,-180,-2889,-792,-151,1142,1633,676,820,-818,902,-1845,1514,1317,2645,-71,1433,-1283,-1819,-525,-2092,420,-846,-1889,30,1604
380,-1761,-2,-1386,254,1697,-1236,-1794,-1069,1486,-244,1628,2858,-917,-317,2722,-154,-1569,-1664,1887,-709,189,371,2184,-1866,-89,-563,2691,874,-977,1580,1139,1047,1263,2782,-1777,-608,1288,2446,1861,1215,1628,615,1353,-544,-870,-2253,-1489,2605,-889,1529,-1746,577,114,-583,437,-368,1251,-1641,2772,-811,1885,1045,965,-695,1294,2277,119,-897,-1296,1666,141,1456,1335,342,1179,931,3929,66,-425,-1531,1136,2614,-1028,25,2031,1197,1571,131,342,335,207,-1218,-622,1308,242,318,1417,2578,409,1941,883,2190,2453,3201,271,2028,335,-84,-922,1040,-1362,1180,285,827,722,1114,747,-3036,1649,2221,-1299,1314,-580,244,304,-98,-1559,1584,-578,351,746,437,1444,602,570,1814,1034,1423,-1104,1089,1319
-285,-457,2413,40,-1913,3068,-363,483,216,2124,565,77,2377,-2362,-141,1318,1390,-3896,1275,1398,378,1332,2356,2936,-5345,1223,-780,1085,2807,-1546,366,421,867,-1059,740,-2327,-3481,843,-383,-1402,1529,3619,476,625,-701,14,-1162,62,-789,-103,998,1982,-473,-888,65,-412,626,1732,-873,606,2500,-1755,-35,1502,301,15,-96,-351,-1240,-661,1694,1169,1356,-1817,1944,-1056,-3578,2981,996,-346,476,259,2117,711,1332,-2726,121,-666,1731,-2835,-2736,-2143,-1230,-452,-1724,1956,3926,2060,-2118,843,573,1254,448,-303,-1707,-1812,344,1099,-2255,1214,1354,-754,2934,2689,-625,-745,1509,-2934,-874,2335,513,622,1447,3489,-1244,-2400,2575,2032,1274,2006,1872,-1067,-567,1318,3973,88,323,-153,576,-553,-30,-1841
1015,-574,-204,1344,70,-1642,-346,-2201,-1138,-1374,-1254,-2674,-542,-3498,63,-755,5532,834,-549,-947,1883,-228,1867,-1661,2521,52,-3999,17,1703,1816,2693,1536,38,-1184,1717,2171,-2511,-1001,1565,-890,-631,380,-2984,1996,-2181,-2072,142,-1467,280,907,2894,-1000,-1679,1384,1596,1892,1285,-1395,-1145,2855,3014,-315,507,-903,-2858,714,952,2634,-375,2968,-1440,-1704,-847,2649,1250,-955,1107,734,-2402,876,-6,2083,812,-526,1376,594,-644,287,2074,-3403,-2021,2654,-871,-449,436,1239,449,2223,758,-2305,-528,1234,-834,-1220,-2711,-535,-69,-2641,1120,215,-3035,644,1541,340,-2206,2361,-2076,725,-177,-134,119,-486,2414,-2013,-2409,-1515,-1223,1047,312,-1632,-897,1493,-385,-25,-445,962,-1241,-2182,1267,1366,3706,575
-633,-1283,1074,-481,-2943,1764,-1275,-3453,1213,1920,2287,945,1948,1688,1595,1176,854,-5138,968,1201,167,2297,-3228,-975,-2060,1472,-1099,2299,1501,939,3445,-523,2720,-92,13,-2849,1317,-449,-1190,1416,3195,-59,1549,987,-1933,585,-3369,329,-810,-3288,66,-439,969,1816,-369,592,-227,-1426,1116,1166,307,474,318,-651,-833,-1352,783,389,1482,809,1555,1393,2437,1917,88,744,-1001,1687,-2092,-1771,3443,-3749,946,-877,189,1721,615,-2142,2143,867,-307,1484,-1156,1388,1067,-373,2516,-809,1326,-862,-2186,834,840,2118,2147,-313,525,685,-404,-1221,2090,1287,-1579,1203,903,-1644,2017,-687,-1431,2884,2562,-3654,-1579,259,-768,96,3443,-92,-853,2018,-643,3020,-2759,1444,1149,-1250,1111,2475,-316,-486,631,-2766
-2788,-7,81,-3209,660,-1883,2979,-215,-735,1866,-3636,2310,-2573,-1011,-569,234,-967,3009,-1967,-1994,31,-3433,2736,1468,-421,-1271,2272,-2544,-2738,217,619,935,946,-1500,1590,-995,1576,415,2313,339,-1717,1068,269,-17,3224,1912,1821,1884,2768,-986,950,-1144,-3493,-2066,-1663,2006,1318,-453,-1,287,76,2235,745,4012,-1274,1640,1115,-320,156,-1709,-2240,649,-568,1435,560,618,1131,-2492,2420,-49,-1447,3052,-2313,400,434,-122,1033,2598,1401,2129,-1335,-1302,-172,-2567,2800,-745,-1201,282,738,1600,-811,469,-1348,-2154,-1844,-1119,-567,-782,1997,1434,1940,-3415,682,-405,-513,-1261,-849,977,-1654,-1204,-5071,1503,1450,2042,-1290,499,-1522,922,129,-248,-411,-2517,1838,-698,279,1033,139,-289,-3058,1922,435,2404
1074,-631,923,1282,-1457,1095,-705,-2895,-995,677,865,259,1165,749,2230,-255,2661,-1314,-1968,883,841,3095,-742,921,-190,-784,-2067,2273,1887,-1281,4306,-1282,57,-1109,-598,-1551,-482,-570,-261,-408,868,1790,-1931,-162,1572,563,-3225,-3018,-131,-323,2083,962,865,1954,-1928,-2064,1485,-2487,2640,1600,893,1468,-204,-692,-2384,-463,-1975,894,361,663,4738,-448,829,1665,2617,1975,1820,-277,-4003,-1717,1751,2852,-1173,143,1043,2385,-458,-2275,2213,-2268,-1224,591,-2412,-576,-136,-2016,416,129,2886,-743,428,-685,3005,684,-138,-2659,-3313,879,-396,-1502,-856,-365,175,3352,-2414,2171,-2594,333,-2480,1669,1862,-1956,662,-1097,1368,-3373,714,-713,513,1159,-2746,942,2412,-1343,1811,-734,-206,-880,509,-957,-271,-1432
-924,925,1935,568,150,-1958,-661,-585,-2900,2503,105,-465,-3746,-1337,-1049,-3169,-1483,1490,-971,-2024,575,-2964,1830,-800,1239,197,741,-13,-1450,929,-29,2347,260,-1955,502,1764,1573,-451,2409,-2384,-1520,1386,-267,-712,727,-1591,1054,-213,-24,1820,173,1106,-742,-875,1344,-399,2378,208,-2075,-557,630,-3108,-500,-1590,-1357,251,1215,438,-322,543,-447,-3869,-2675,469,-230,-3366,-454,-85,-990,1057,1103,2550,-357,592,295,838,304,-1086,1392,200,286,856,-878,-327,772,-733,-1804,-529,337,-2199,162,2548,-1044,-1359,-1873,-1519,898,-1840,-785,-76,107,-455,1841,956,-364,985,-1254,910,913,340,481,1554,-588,-562,106,354,-483,1407,10,397,-1512,-444,-515,491,-1883,1019,-2818,124,378,1467,-219,-290
