-987,824,990,901,-991,281,170,536,635,-263,-313,-1322,2012,-136,970,495,632,1616,-1673,1891,-248,398,-866,-1171,1533,-168,-962,-488,4,324,-303,914,140,-75,410,1016,-610,-275,706,-474,-281,413,82,-42,1805,-347,330,767,571,-63,-224,1464,-871,1007,-235,1194,-997,-1727,247,613,-711,277,-1099,-354,-750,306,803,443,-491,742,-234,1040,-358,-16,-1424,-1889,1401,-181,1040,-860,-450,15,-646,-1592,1315,911
607,1234,967,-781,-208,-372,85,-70,537,-674,-77,224,-311,851,-289,-1032,139,-895,-861,-290,1025,-421,367,-154,-95,-92,1113,1726,-958,49,-163,148,-102,-1174,-509,1141,-1092,734,-323,267,-1123,906,-215,-477,-292,-507,-442,164,-1080,-1502,-1505,-695,364,-854,260,368,1154,85,134,-174,-676,-1098,1553,-50,1286,-45,-502,268,358,-1053,-325,948,1193,-461,615,-722,-596,-1005,-351,-348,-871,-517,1385,-1322,-13,97
711,52,-318,-438,354,-25,-1100,-1222,-456,-4,515,763,-473,1238,-239,-1400,-457,-2115,1497,-354,121,-246,307,-461,-1143,-129,-346,474,26,146,-204,881,-840,-237,730,254,607,-451,304,-138,539,-379,118,-699,-489,1080,-1153,-651,494,209,-508,-818,-1309,591,-996,-8,526,-202,904,-1408,-122,118,464,-38,420,-612,651,-218,32,-21,19,-290,-224,239,224,669,-1113,756,-105,-1069,-828,-76,605,-697,70,-127
403,1333,-826,-346,23,1083,77,407,1175,-868,-134,735,537,334,-294,-545,951,991,-137,1341,-201,-887,793,1152,-70,400,-57,-315,-491,316,-1332,1049,-119,-386,-906,668,-707,-1389,1198,-1127,271,-1020,323,13,437,-591,-171,-64,-1095,582,-1234,-449,287,-159,508,680,-628,322,1197,1031,-507,-190,309,-842,-1504,1085,453,-422,443,1067,-107,-260,851,779,620,-557,-1271,940,-1089,-1397,-778,-1071,1501,-284,895,279
230,-122,707,-181,-408,248,605,-873,-178,-764,-45,597,-1502,512,-490,568,-549,-137,386,137,-606,-369,1075,-441,-907,-1298,-361,255,-1012,526,553,984,41,-832,-452,-626,-1388,108,23,275,679,299,-146,-839,-289,989,1088,642,-843,-671,-1324,-1028,-416,-192,-518,-192,930,135,273,-599,-486,-1696,278,1162,289,231,-37,1114,-449,234,-705,470,1082,588,1199,-146,-319,1315,-24,-1000,-603,1276,599,-250,-898,248
-970,-424,5,255,-257,1426,268,-218,648,766,-139,-273,327,329,162,1338,486,83,747,1118,-687,-390,-987,-800,505,-521,-1084,-78,-590,-343,-111,1189,-6,755,-276,-361,-3,-406,1071,-436,343,-41,-500,883,777,531,-653,951,-1573,1112,431,-237,59,401,-241,952,386,-2,205,473,420,360,-588,-922,-306,172,1289,1098,434,1392,-497,467,174,194,80,-805,-109,1915,793,-577,64,-64,507,-183,50,-1130
-962,44,154,315,-704,537,1338,330,1304,-197,784,-511,1136,-867,-397,834,-301,548,-206,1000,-457,1186,109,760,-128,-1513,-306,-472,405,553,394,395,1079,-115,-1,584,99,-63,252,-614,-497,534,-102,576,25,-467,81,1581,-102,1249,-362,-391,1407,403,-781,131,-713,1069,-13,617,275,481,529,-461,-182,340,1452,1373,657,958,488,-526,-410,-19,637,-1599,-307,427,355,-1648,-472,150,188,-244,203,696
-715,163,-392,696,413,310,952,424,1406,681,1199,-1391,-1234,1787,-1068,969,-821,594,919,1688,1105,735,-2191,-852,55,-432,-393,606,-967,-290,1204,470,-676,-814,-1105,-1449,586,222,-88,2345,595,492,216,337,-1068,228,-375,1309,-1468,625,-66,-1181,-202,379,-123,-719,1175,992,-448,1328,-1433,-365,-186,-19,-136,1947,529,-807,-81,703,-1048,817,1521,-138,937,2431,-1067,2524,1144,-562,-1,567,1486,491,-803,-1144
-563,-752,451,-411,149,949,402,-128,-816,-5,-187,427,-645,-457,-221,885,-21,261,1105,127,170,-139,-174,-861,410,326,764,-113,-1439,-408,67,347,-423,348,-750,-939,831,-80,364,622,-565,-190,-135,64,-455,800,99,19,-75,721,1637,-344,-387,-1186,621,915,502,-536,31,355,-745,-199,241,-89,-329,381,818,-163,154,252,197,122,208,-324,642,-305,801,1182,80,-531,691,1040,697,-153,244,-1142
-42,506,-102,-1281,2009,-698,711,1817,276,470,120,169,322,-1216,2160,-2386,48,453,694,-418,35,-820,-1481,-866,1464,1045,1815,-854,615,-1354,-579,-411,1387,-77,-1370,-424,834,-1115,997,1950,-535,-562,-374,734,-1464,-1370,-972,-1345,-1113,-271,1609,-595,307,46,38,524,-130,-1359,-841,827,-844,2223,974,-1509,-1098,247,-85,-767,60,1974,-1262,49,93,-417,-232,-783,-842,417,-572,-340,-113,-1337,-1074,-914,832,-1895
-31,-1490,491,-803,742,-687,23,-428,-773,206,-299,142,107,-1557,2602,-366,-1192,114,516,643,-1497,-957,-1625,739,1492,-608,-164,-2571,1845,748,1406,857,406,-356,-132,-143,619,-526,1241,-538,360,-164,-17,-649,-61,839,718,-1115,2069,750,1988,-310,-1173,-419,-446,-67,717,-257,-221,929,-143,1452,-969,875,-1366,1052,609,1471,-135,-784,63,-1162,-236,388,-1581,-207,829,1180,-1792,210,633,1301,-2377,-86,811,-266
136,-382,187,-1209,636,-1033,201,-1269,-601,717,-205,449,465,-636,284,149,494,-1702,1705,-992,-400,670,1105,44,-748,-437,-384,565,-115,1309,660,-427,-184,-187,-397,811,1065,-140,-588,608,310,-1704,324,-658,211,200,553,200,108,-329,-67,-1206,-852,-843,-1159,209,1220,-45,805,-636,-252,-470,1789,1692,351,-716,677,207,-430,-397,-825,570,-247,1412,461,197,-204,-48,-1653,169,-370,-209,1300,-234,715,155
561,304,-119,-657,785,-856,92,-203,-378,268,-229,-56,-633,563,-3,-765,218,-1000,863,14,-365,-825,396,268,-17,-634,96,1571,108,413,339,-404,690,-1126,-21,657,-588,-59,-956,650,142,-1275,463,-290,-686,-553,247,51,-1306,-882,-854,-2450,-738,525,-21,645,1089,-264,-449,179,175,-530,1458,654,1154,-1063,-796,250,-382,381,-1115,428,879,841,1244,160,-945,375,-507,564,-685,-75,798,-324,-738,-392
-227,329,83,492,37,-1649,1294,1038,435,90,856,-1197,765,-1591,333,101,-1095,667,-46,-514,333,1728,-903,855,159,-1428,252,-440,872,8,293,-603,1058,-87,232,61,384,690,629,826,-2008,922,-33,-259,406,7,728,1226,371,-813,-906,-705,348,537,-612,-866,-437,538,-195,-257,-171,1067,-566,364,-375,-344,1219,-25,303,1050,50,-560,-1245,-438,-1119,-772,-119,-647,70,280,172,-521,-1011,-174,105,1156
