1102,-3857,-1129,-1109,-271,-662,217,1958,-2824,-1058,1495,3932,-566,-798,-1944,1375,268,-240,-2815,928,1232,680,1630,-211,744,2461,883,-403,1663,-236,-907,-1262,-363,661,-3153,-1210,-397,-188,722,-1823,-1014,-4467,2115,980,-1678,732,-5067,70,-2128,2840,2697,2562,1074,1713,2391,-2706,-1413,-846,-864,-276,-41,361,414,3437,-1591,-565,-143,-771,574,651,-2437,-168,-1999,3297,-1094,-900,-30,-130,-19,2792,-1059,-365,-2005,-1262,-3502,-604,-2401,206,127,-68,1122,1004,1179,1558,1824,2747,1745,2561,-3413,-1505,2441,-3663,470,537,764,-153,-1886,1540,1361,1012,580,1317,669,-1717,-294,-1573,-754,812,10,1300,-2497,2183,-598,1603,-837,-1433,-1005,620,1059,1042,264,1808
-2532,1451,1544,-1243,2572,-11,1777,-2667,-52,1414,70,-311,-265,738,-91,-1597,853,-77,306,-452,2594,-1748,-1178,-1586,1206,-1206,-583,1058,897,2137,454,2316,-1536,2102,548,-250,-1761,-2178,-1002,-495,-780,-4632,-2860,-549,-382,-660,-193,-368,1923,-1520,-578,1398,775,2154,-1391,1862,1358,684,1932,1844,-1602,-2290,-1236,-1902,1348,-1905,-1222,-957,-1684,2306,1726,-1547,1809,464,-2547,1123,-2002,2284,2324,-1359,1021,-2421,-1230,-1976,-1965,1070,-32,110,-2460,-663,511,2576,-1897,-1294,-41,1243,-919,-305,-260,2285,310,1640,-1404,-1869,-2984,1765,-1539,928,-1543,-2962,785,-334,-404,143,-809,-664,-102,1589,994,2315,2658,-2306,1323,1061,3581,2485,-321,229,-1262,357,955,-596
319,-140,820,17,236,372,-972,-1259,-1179,-1645,241,353,461,216,-737,854,858,548,-327,-629,-756,972,397,-271,-1076,2204,2661,-689,517,-130,-1101,1454,1811,-1904,286,-235,-942,281,-1849,440,278,-1323,-1361,492,-611,-2300,454,1102,1329,-1550,1562,-1323,-815,-639,-930,10,1355,1793,410,-773,2268,-314,-279,1692,1314,-2710,-1175,456,-438,-1341,-1910,-577,1138,-685,506,1333,-755,-2119,-1163,91,1059,-1451,54,-2003,-819,-670,1092,879,259,-1965,-579,529,-362,-796,-1283,-1702,574,226,647,-435,-1311,-189,648,-314,-570,-1320,1262,-2079,1431,2218,-836,856,-2055,769,-2813,-1154,1021,1172,-419,2066,-905,285,488,3959,39,-1522,-1406,252,-2016,-2081,-3255,-2690
-445,137,-1387,936,-486,175,3579,-422,1542,62,409,-958,-3306,577,-2238,277,2425,-1737,426,2699,2622,-502,897,74,1617,2671,36,-641,1073,1369,905,3064,930,166,-114,-857,647,469,2918,1975,325,-2228,637,1491,-413,48,703,-718,-1128,-106,1624,870,2907,-177,-909,2549,-1161,-573,-609,552,-1921,-819,122,-1442,-544,-1613,488,-1269,-2016,1788,1173,-1475,-672,-718,-439,-644,-252,2569,760,1975,1346,1093,-165,121,2318,39,-190,-445,1206,-37,1003,-2706,123,538,360,928,1644,-480,-714,1366,670,1937,1682,-649,-1475,1145,-471,883,1357,-264,1389,-231,-501,-1805,-2727,-1947,647,-630,-889,-592,-1303,-187,-317,-2383,1169,505,-115,510,129,461,1657,3035
-1219,-119,427,-540,58,1430,744,-1639,-234,852,684,-1636,694,-518,-679,-162,157,-629,1275,1787,-731,-1823,-3492,-784,1923,506,-2614,-1482,-2617,-782,2406,672,211,1245,-642,962,-1708,-1767,262,-638,414,107,-1163,-378,402,866,471,-1166,-2596,-168,-322,3584,1250,-681,-681,207,1769,2166,776,-1011,-1998,85,89,-805,885,3940,1314,-691,-454,-415,-986,144,-521,-419,497,-484,1312,437,1515,-7,767,-1708,-2158,-959,877,-468,-1609,1519,-401,742,-209,590,-1190,-1138,1714,-2051,-1851,-163,449,-289,-214,819,990,858,-765,-1409,-709,-1764,486,-1887,-102,-1555,-15,408,376,2567,-1152,1594,-832,843,317,-946,-302,-254,1952,-987,301,1818,-540,1090,1134,-2285
1294,1795,207,2648,-1319,-1946,-141,-432,133,66,-2450,-1612,-1615,-2712,-1973,25,-2890,-1481,2286,-923,-1691,427,3835,-1303,363,247,-1412,721,3106,-954,-212,77,1171,153,1388,-3310,126,-2727,-118,1118,-2109,1355,743,-1750,1783,300,1653,1987,-466,-800,595,-275,-1740,402,322,4046,1182,337,-286,695,1236,-75,-2970,756,-2060,-1430,-707,2154,-1432,2167,169,113,-743,752,1086,2374,810,-790,-777,-1949,31,-307,2092,924,4371,-2955,3170,6,-988,952,-2489,-898,679,280,-2671,811,365,1052,-513,1343,1524,-797,-5145,173,-739,880,303,3223,1357,-1400,-1729,2752,-1274,223,-1667,-1715,3103,1349,1776,-3514,-1394,-1516,2295,-2257,959,754,-4026,-3896,1599,-2961,-451,-367
302,730,-2065,1808,245,98,628,-2089,1223,-2500,2010,-586,1282,1966,-629,1844,578,1893,-176,358,-848,2875,-261,450,256,1652,-1363,-754,-218,1219,-206,1170,2571,-2810,252,-1399,636,2239,302,-1231,1845,814,13,-1895,4265,744,2232,136,426,-1841,-1062,-2909,-1207,-49,973,-190,-522,-1348,161,-1099,2018,-869,2282,-1382,994,502,-580,-1239,1534,11,-342,230,1776,-1390,1341,997,2951,-2640,-2274,-91,-729,611,1173,-308,64,-2056,1367,1410,-313,-21,330,-401,573,-2160,-279,-893,353,-917,243,97,-1518,1406,2006,988,-1707,-657,1997,-1100,300,1188,-2155,-1578,-1577,266,-422,1922,-2302,619,-500,-1072,1089,-1924,-730,1398,772,-402,280,-1173,-19,-1993,-80,540
315,-33,699,3731,-599,-1,2116,-1303,1142,-2649,-3034,-2591,-2155,286,-706,-4205,902,1076,-1044,-2376,1965,2320,1478,641,642,472,-1788,267,-2224,1758,-1813,2376,-1815,-319,2092,-3036,263,1938,1343,890,-566,-2363,482,1975,-1087,-520,2272,-1615,3954,232,-132,-704,-954,1396,352,2933,-1006,1306,-507,2851,-2739,1607,-1251,-853,935,-488,716,-2215,-3486,2344,-843,1217,1453,-1426,4659,746,2305,-883,221,-1010,2859,-756,779,-1623,2059,-1595,3244,182,-901,2072,-928,514,1045,620,-340,-1221,-164,-1294,-810,2050,2042,-652,431,331,-3340,-1299,-2519,916,-2863,-1439,-423,-510,-311,-3132,468,-2241,643,-1777,-933,-1032,2507,-1761,-297,-623,-1558,-335,2180,-639,1159,1393,250,-2080
-2428,3323,-602,1569,-910,-960,2599,-3155,2147,603,-251,-3359,-2538,-89,-69,-435,-2,-269,2104,441,1352,33,-814,1897,2655,-3325,-1116,1803,-1030,2375,-758,2797,107,1082,643,-2043,1675,-626,743,3518,-1281,-239,-1072,762,283,218,2525,1807,775,-498,-3044,-799,605,-672,-3628,2039,1564,1602,-1215,2083,-365,588,341,-2924,89,393,572,127,-2644,2725,3414,199,1940,-2877,998,-52,738,3763,-551,-1084,1511,206,409,-3328,1583,-129,920,748,496,-454,-825,-561,923,-712,291,-269,-2354,-1165,2969,2915,-2791,1633,42,-1177,-1526,433,-1065,-1383,-1868,-1576,-2204,-1243,455,1115,-3213,6,1307,-396,152,651,2101,33,-773,-858,1081,2212,-1121,-1319,928,419,1439,683
71,-753,-1460,1572,-1592,-324,-567,-219,-108,-1128,-1357,875,533,-636,-765,920,-352,-952,-2211,-916,-658,1587,2377,2537,-1757,548,856,1734,-68,987,-1635,209,-1866,-597,843,-1432,2024,975,-618,213,286,464,160,877,-1124,755,1592,-1082,321,-590,-6,-4295,-524,-19,-234,781,730,-2249,-2629,1463,-90,160,985,-403,993,-1778,-2520,1353,875,2386,1312,633,1479,-348,161,-2446,-1586,-437,-869,368,1536,-664,1276,-578,-1305,-984,1302,-2201,1335,761,1537,-1151,1872,-66,391,-1211,-3198,616,691,2553,200,144,889,-240,-498,1047,-438,-624,-733,-1228,457,2512,2207,-1165,-792,-2586,-308,134,-431,-1338,-1561,857,-330,461,-1164,1797,-318,-2457,-1413,-186,-102,-548
