-141,73,-769,-321,-641,185,2081,2645,-1100,-259,-195,1654,-1152,2117,-490,130,983,287,1207,847,410,523,944,-808,765,-782,1101,620,165,-1146,-792,-1036,-1121,68,939,-816,395,573,1308,-48,1394,242,-252,209,1321,-1219,308,162,2514,630,96,1099,707,544,-1439,-451,1990,1886,943,-425,-1611,794,-1649,-292,-532,147,-330,-957,-110,-589,576,-35,-783,-1385,88,1803,1152,-1486,-992,-175,-160,143,714,-1394,-913,1610,1175,-177,-789,-837,998,2451,-1018,-138,-545,2025,1238,-823,35,-2448,935,-2293,41,-612,858,230,845,132,-599,359,-1652,236,46,179
-1112,697,-1333,1262,1599,1897,1907,-89,-1643,35,1241,-238,-2062,213,-1144,351,-687,2087,-1671,2453,-504,112,1913,-237,660,2265,842,53,-1777,2148,-1454,-1924,-1258,264,-688,-1790,-295,-567,-211,-440,-640,-476,1053,892,2098,-1163,1782,879,-1294,-69,-998,-2194,81,-952,695,826,-1435,1229,0,-2071,1580,-1398,336,959,776,-824,-1018,3223,1780,-469,773,145,-321,-455,-967,862,393,580,1219,-707,-1257,-455,-4,1820,1268,-115,383,-719,176,-333,1373,-708,1846,-2181,246,839,606,-2091,190,-735,555,2308,-1532,-180,-2037,-1546,-608,-1019,2532,-557,858,-2221,1588,1865
349,-76,545,-1529,-492,1742,-210,555,18,-1081,-1159,-1358,-1272,-2515,1772,-1101,2133,-618,101,-1994,394,-1827,-682,-595,1786,-811,-1316,186,92,-1722,409,-1051,323,-1948,596,2117,-3232,-1226,-681,-200,-847,1154,-461,198,-1581,1381,988,-687,763,-597,-235,1914,-187,1407,-372,74,-445,837,-1445,299,441,667,40,-421,-411,1422,39,-806,-901,637,-790,-1405,-160,326,-1510,-26,1398,-90,-1876,-167,713,-518,430,717,16,-726,-263,-968,-617,-1150,-1381,-917,633,184,-97,1359,359,1223,976,1701,-820,-688,242,-1233,-108,392,-1320,-1015,-1387,-408,407,538,-508,-472
1483,-147,-271,-199,-1474,798,142,-1352,88,-780,-790,-911,-1845,-152,-417,1242,-1891,511,-1193,-820,-716,-1877,-2419,-684,-1102,335,1013,-1573,-802,2554,806,-595,1113,897,1403,1137,372,1279,764,1760,-1010,71,78,-507,-831,1713,-1220,-158,-1479,-918,-1782,-172,-170,200,-823,-563,-541,-1280,160,224,899,-2103,149,1208,396,-1403,1560,1471,-1751,-2092,-1134,983,-2038,198,859,593,-152,-1620,1477,-125,370,-748,910,-136,2285,-1032,1022,992,-152,611,-289,-857,917,515,206,-66,-1159,1597,-190,1367,-682,185,959,-1673,-4131,620,-946,858,195,-1357,-163,-165,1172,-1371
-204,869,-1488,1241,-2216,-393,-351,528,1977,-893,5,183,-45,-1205,1569,-395,835,-1201,-870,1325,-437,-1430,-1109,286,-2540,480,-1135,-872,1448,210,-1634,-1046,-1432,-1177,544,511,853,72,1198,-88,-1050,239,693,2167,817,-1918,130,480,-86,-182,-1375,-1268,-2272,-1106,-1533,2724,-318,771,109,-400,1482,-297,-508,-540,-950,-1081,-473,-1284,-224,1980,-547,1725,212,40,-7,-233,-118,-1173,274,-793,433,-694,-1898,-166,-2350,518,1098,-1443,-1587,-1030,-229,-238,577,710,2135,-406,-1751,-649,-1588,-441,113,692,752,1519,-850,660,-1144,-1727,-19,1536,1354,1516,486,1194
2270,-1770,-534,583,530,1570,1460,208,237,1732,-1657,-1367,-763,153,-625,-71,866,463,331,-1931,-344,1289,-1231,818,194,1181,373,1124,186,51,-1328,1302,802,-482,-1705,-963,831,-1344,-810,1278,-1115,-785,1176,43,1605,2561,-278,-583,-1909,1996,-13,778,2405,-56,1432,249,-1990,1448,-531,-68,227,-166,-834,506,2012,-1198,-1775,-1467,-1200,-9,-277,-2056,-570,-550,-59,101,-389,791,-1811,-124,3541,548,1433,49,2384,-1602,-643,991,873,-748,415,1698,137,-568,-1255,156,-895,426,3640,1537,-1323,-795,945,-1187,-327,185,893,989,448,786,-1576,-120,337,-942
248,-120,-367,-130,623,-2650,425,-2229,-1078,350,2783,2694,-857,-658,322,-674,-2129,1158,1196,-481,-86,-435,-467,-3967,-2597,-30,719,-2535,581,-1302,6,-1120,64,1242,-1499,-1523,-181,900,2258,-242,612,1475,-1749,1127,444,-1361,1297,381,2212,85,2758,72,1504,1362,-249,-1924,1153,-1403,1018,1213,895,-2406,-1158,-778,654,1778,371,818,366,-1064,2645,497,78,323,-140,105,1301,-79,-487,2037,-1662,1764,4410,-2284,-973,2088,797,317,-420,-402,-815,2255,-3026,-536,-2049,-71,1186,-818,-596,-674,1308,124,-2141,1647,630,-911,80,1380,-1023,1208,-572,86,1222,415
-1127,123,1012,49,343,-1116,-190,916,-298,-191,-399,-1278,2858,1509,230,95,-159,1431,-828,892,751,2261,-687,1590,1060,684,413,522,-847,653,292,475,-969,486,-512,-750,-930,368,-82,-1911,46,-2452,-309,864,678,-1351,-699,229,-130,1447,398,-1883,-1633,-977,671,-400,658,-1141,1614,-711,-983,-169,1204,-645,-938,-923,-1012,2516,-122,292,-742,745,14,2872,1497,-88,-751,-520,1290,-783,690,-1455,-2006,-563,-454,-111,-1286,-1045,-957,-1181,125,22,-651,-393,238,-1640,-591,-440,-652,671,1493,1999,628,-5,1939,224,159,1894,-83,16,2343,199,-27,601
1661,-2472,-2479,1014,1248,707,911,355,1057,481,-585,-659,264,423,-265,1505,377,-1038,-855,-197,-1275,-949,-480,964,894,783,-1188,214,-536,857,-2032,965,618,1683,146,-1667,1674,-778,-1685,728,1646,310,1951,-1779,-66,-890,300,832,-2294,-356,-666,-2228,589,1031,-1204,-543,-1813,2464,-1682,2129,877,580,-155,-1409,550,-693,-308,468,1456,-367,767,436,-399,-919,-282,412,2037,488,-906,562,761,1606,635,1172,1184,-1022,-2891,1758,428,-1576,1289,-479,-108,-116,1849,634,-368,-972,135,-90,-1317,554,179,-938,-285,2161,-616,1487,-592,-2336,-1083,764,2374,1015
-2039,-179,846,-488,342,-133,912,4773,-410,-731,-204,-1074,2134,1270,850,1260,-312,-1061,-2605,3293,-1572,830,1547,777,2512,-1526,186,1064,-100,-62,281,-1020,-2299,476,-938,2299,-2194,-1592,-1744,856,-317,-1610,737,185,1017,-3561,-899,-1853,2328,-135,-823,356,-1961,2138,-63,-2406,2361,804,538,-1,-876,2603,-930,-1224,-1960,980,-3108,661,1283,353,-1087,-250,1255,1297,332,2906,1052,232,2383,-1609,-648,-2344,-1366,274,774,-108,-822,-567,-327,-1357,2580,-2817,-1373,1109,3673,-719,784,-354,260,1016,-828,2097,2520,-76,977,-1628,22,564,-103,330,952,-205,-364,219
1985,-1532,988,-1510,-1229,1819,412,1347,-880,1994,-2402,-463,-1060,236,47,-510,-498,931,-461,-628,576,-1718,850,-681,-808,-138,-432,2019,126,295,442,902,2057,-942,-1537,2766,-561,355,928,2782,-1066,-1673,542,756,817,1678,-1479,51,614,1799,-263,2268,2307,1407,-1327,-451,1716,-1172,-2341,-235,-1291,1231,-1573,856,2318,6,1324,756,-2884,765,-1921,-1045,-2702,-893,-954,621,1113,-387,-625,-469,2511,-344,1740,-624,2125,-1560,-609,-32,593,311,-794,-1819,-1731,-790,-551,-1391,-1524,2860,2949,1722,-4482,562,2049,-647,-1775,234,1515,1099,-467,933,-1859,2128,-509,-1296
864,-1945,-1625,-798,952,1226,147,-1324,1204,1033,-1069,-509,189,-49,-699,73,2061,687,260,-1654,414,66,-173,2178,566,1722,-2278,810,109,445,-1026,1687,985,1,693,-1807,1198,-882,359,-634,-339,319,2612,-1377,1266,970,1454,1,-1757,-2099,923,-1812,461,-480,1594,205,713,1514,-1623,777,-640,-655,350,931,-1395,-629,1238,-620,337,-1084,1035,-510,69,-1157,940,-1051,-106,-6,-832,-152,1130,652,-314,1089,1170,1243,295,707,-1553,-464,-413,300,330,-162,-1089,1377,-447,12,1130,1339,353,-1436,-323,-1840,-503,2025,-1755,253,7,-1967,-831,1017,1845,946
