-3812,2841,-4933,-6683,2585,3057,-2832,2465,5197,-1314,1018,542,-2430,385,3810,2979,-1347,-1406,5964,-1697,1427,60,461,-4876,-449,-3892,-2822,-1114,-4545,-2190,936,1473,1618,2474,6155,2569,4082,2113,-67,4346,-279,4098,524,2778,-4892,-8137,5902,3427,-2701,6710,-3104,2371,-422,918,-4860,-1439,546,-1345,-4277,1032,-821,648,-5075,-5210,2142,1080,-5602,-208,1654,3401,-3432,2387,-2792,-518,2378,-925,1902,2391,-4841,4953,-1496,-3467,-6812,-6621,1828,1619,-1303,2443,1090,-1606,915,3528,2119,-2041,1593,-3408,393,7532,-2984,-1594,-2436,1949,-2475,-394,-3550,3912,-3519,951,884,664,-2036,4113,2709,-1946,-2073,4131,-1001,-2602,-1972,-942,-1630,-2249,582,-4592,3396,607,684,-2568,-1372,2312,-3419,3794,-726,728,2000,2851,2396,-3736,-870,-1418,-3921,-869,-2229,-1959,2063,-5990,783,1143,3352,-467,1278,1075,-4376,2326,3682,984,1382,4315,-2714,2277,466,866
3470,-4448,-1364,-2154,2639,2465,-3714,-1191,5213,887,2049,2460,3300,-328,2634,-413,-1967,-5059,3240,4015,468,-3,-351,-3202,2291,-1847,150,785,-986,-5320,-663,1900,4279,1246,-2353,-4485,1388,-335,2197,1361,-2292,-5220,1725,-1581,-2169,-321,941,-820,4250,2595,1248,-78,2925,-3325,2086,-2215,4913,-2431,49,-5650,-614,1523,-3020,-125,-548,235,7001,-494,3206,-887,2525,1374,5332,1564,-1295,-2497,-4175,1913,2318,-1566,722,-5004,-3309,-2221,2521,2377,-14,-2221,929,-421,-2999,-1631,-1754,-4130,939,-1182,592,2377,-133,1089,3437,347,-4437,2635,1518,266,1409,284,4990,2035,-3839,-4665,-3590,1656,-4260,-685,1493,-2526,1131,-2717,2445,668,2403,464,1408,-2840,-3308,-2703,-1256,-3905,479,2434,-1698,-2624,896,-2163,1559,3165,2513,3490,2435,-6522,-1260,1839,502,-2984,2916,-3627,2331,4341,295,-265,-2818,-315,3352,5386,-454,1699,3213,149,1817,-1412
-1162,5718,224,1678,2237,-828,-2546,5109,6329,2599,-217,-4916,28,-2683,-1475,737,460,2560,2364,-3075,3304,2246,-5507,390,-2012,362,-3275,-3792,-6977,-682,1452,-3346,-626,1743,3856,318,-459,-2280,7150,4865,-4529,2862,-953,2210,4163,364,3232,1103,-303,693,433,-1194,-6893,-5397,-2495,827,74,583,-1552,-476,-548,-1870,-848,524,-373,-2732,-2355,753,99,-5437,431,699,-4601,-3381,2480,2084,-1083,1133,-3794,-2721,-1840,2553,575,2955,2649,1975,-592,-885,1649,3402,-3067,723,-25,-4196,-1485,764,3148,-462,1908,2226,1184,-1306,-600,-636,2932,4492,-1540,-7544,851,1965,6160,-166,1667,151,-896,1165,-3662,-3393,-2933,977,3812,200,-174,-1553,-2775,758,-757,2368,-780,5505,-1381,-640,758,-3854,1625,-1442,1979,-5135,-2214,954,3611,-66,-1416,-2209,-4016,-473,-647,3305,980,-5184,1096,1101,2598,3706,-1500,733,-1644,373,5184,-1185,3894,2700
-1214,332,-253,-2438,-1281,3281,4194,-5319,-5537,4315,1513,780,657,2676,-4894,3055,2294,1329,-7417,-1449,-4798,5138,2643,4910,-4999,675,-830,2404,565,-357,754,7370,2892,-3143,-1596,-2382,1851,-1432,-182,3082,-2460,-2859,1145,455,39,1008,2891,-2476,-609,5262,64,342,-36,-2242,-1711,-2677,846,1125,-5967,1921,-1803,3043,54,-1649,2999,7193,-4368,-193,190,-1429,-1434,2981,-2161,6527,-4290,-2217,2204,377,-4915,-2130,-6458,-185,2049,671,-2043,-2698,5532,1424,-421,4839,5121,4214,1049,1266,1005,-1674,6251,5635,-3837,-3283,-4727,-589,2322,3081,-794,-3864,-1502,4572,-4193,1848,-2573,-1429,-843,-727,4523,1868,-3827,-2145,-3756,2537,-3489,-1215,2612,1651,-798,4614,360,631,517,-4678,2237,-1535,-5594,2552,79,-1410,1751,2946,1511,4027,-2936,3447,-6628,-3592,1790,-1062,2964,-825,3782,151,-2934,2013,2710,-1247,-6433,2082,-1088,-2399,-4934,545,-1029,-2752
1285,-3021,647,-2648,4119,3777,-1169,-2397,-1226,2439,1522,3887,427,2821,-2809,164,-2396,-3579,-3091,6390,-469,25,-716,-950,-4236,-1763,-1295,851,583,-3855,1670,2531,4398,364,3186,-1347,1979,-399,1162,2348,-971,-1977,-452,-745,-5062,-1016,-542,322,-2294,3103,-28,548,1391,-3524,-27,-550,1960,-1000,-3676,-6254,-3215,702,-2266,838,1563,4895,6901,-2085,3362,979,-528,2727,3626,4514,-3696,-1326,-2417,1060,-2139,1097,-1420,-3908,-1740,-778,-2662,3506,912,-536,-2503,-2385,-1243,840,1419,-757,-1652,-1649,2483,5689,-2098,-2663,-337,-418,-1434,-1046,732,-2212,-3844,1211,1419,5272,-3787,-5076,-2070,5050,-1134,-153,-1727,746,-1485,-712,4558,-2586,5988,3546,-3060,-4665,-93,-6560,3933,-66,2250,-1220,-2064,-2968,-5904,4864,2716,2446,-167,4401,1030,-2775,-3657,-4057,2555,-4048,5885,-4165,2177,1231,2407,3751,-1787,573,1102,789,-3936,171,405,-2886,-1296,-2486
-2730,4833,-4370,-5335,1437,240,-3833,1780,7166,-813,551,-1247,88,-784,1349,893,646,45,4643,-5827,6213,-854,-3591,-3771,-69,-5475,-1848,-6146,-7793,-1463,-2544,2877,-1978,-422,5001,1824,3600,-1128,2315,1489,-4104,5270,-5223,529,-694,-4307,6135,517,2075,2857,-4591,3280,-4507,-3835,-1067,-2283,-2932,928,-996,-814,-557,-267,466,-3345,4249,-2737,-5308,2463,1338,3836,-6693,531,-7503,-1539,-1112,-260,-381,584,-842,1397,-2944,-2629,-2323,-959,3213,409,-1758,2241,6918,3523,5758,4813,1342,194,-4664,-1720,-1249,2969,2849,261,-585,1877,-2510,2811,285,1106,-1904,332,505,2688,1162,2153,679,-1762,-1065,2444,-3581,-4468,-3346,613,-217,-1548,-1248,-3911,4063,3013,429,-135,-5582,7717,-2089,1400,448,-2834,4686,3394,1694,-2351,1925,-1355,371,-722,-1580,-4912,-6604,-3083,-4262,2288,4868,-3675,2181,-3439,-3698,2288,3036,1119,2254,4269,-775,1014,2403,1151
-927,1917,6306,-1083,6330,-1295,-1888,3411,-1198,-5344,2556,-7958,2002,6213,1437,1102,4449,-2702,4008,-4849,3748,-504,385,-1925,-3634,-2340,-2700,-2365,-4257,2774,-2087,275,-2161,2032,5393,4572,1991,-57,3623,1812,-1274,-818,-2302,-3770,3792,-3540,-2291,3097,-10286,1608,1885,5122,-5921,-4549,-378,2014,-933,2901,-930,7456,2206,1805,349,-9819,-4381,-2237,-3860,-3446,-3874,4088,-3811,1434,-4121,-6875,4248,3614,725,-3475,1097,1973,4485,3157,3316,2135,-3215,-1037,-103,-148,-577,-2838,-283,816,73,3181,1496,-3297,3675,4637,2039,1018,843,937,-3398,-5322,-2608,-1192,-4197,-957,-2560,-483,4848,4462,-1774,-1929,-3747,7724,-364,-6545,-1716,5174,3260,-342,4257,1364,8346,351,-3477,1466,2339,-3334,2436,-2508,8329,2940,-4198,-1763,-428,-4980,5882,610,-2233,2577,-313,-7407,3539,3347,-1782,2660,1439,1300,-589,-3023,-2372,3347,1946,-4912,1068,4482,1142,-1559,3286,-2045
-7664,-92,-72,-6339,2248,-3207,-5972,1531,509,-5994,-1149,572,-6677,2754,-1275,3925,3904,1133,291,-1690,-5573,-4842,5003,-3732,2919,-2529,-1135,-1454,-1735,3261,771,1116,-5370,-4235,-147,4101,2833,108,-2706,1466,1108,3677,-2384,1581,-3445,-4035,3667,2150,-2303,4785,-4779,4750,-3408,2722,1681,-3294,-3705,-1345,-2811,6515,680,-1927,-1100,904,3081,894,-4598,2777,-4508,871,-1688,-2415,-2566,3431,-1758,970,1644,4611,-3134,6458,865,-730,-6481,-6043,-4216,1330,-4073,4564,6086,2089,-1148,2047,-1417,2713,4828,835,-211,3841,-3105,-149,-4104,1209,-1058,132,-1695,-842,356,1344,-3610,-2038,-129,1107,-1000,-4288,970,-61,839,459,268,987,4547,-2170,-2043,-3776,4972,2574,-130,-501,-5085,4990,-2652,-1592,-3774,-4321,2806,4949,3798,-2150,-3172,-875,1641,2547,-1316,-1354,1211,-3879,-2118,1832,-171,-3055,-2415,-2006,-5908,3300,-3597,-3158,5838,725,-2875,-2496,-862,4310
-1932,470,-1140,6341,-3190,-4047,-53,1683,-3492,-4676,-2282,-976,-2676,-2288,1559,-6982,-916,3070,-2591,4227,2130,-2224,-251,2716,669,-922,-1073,-1902,-2824,6245,3225,-1577,-860,-3433,-3199,1484,-3179,-1838,-3784,679,5907,-192,-6636,-529,-3892,-1377,-3141,2219,-3860,4,3437,-533,-3097,5086,3563,-234,1826,2863,2301,846,3610,-3277,-2553,2489,-795,2228,731,-1659,3434,1612,-854,-129,-2155,1453,3214,362,1590,1602,-2583,1950,4284,-250,5506,3868,-4647,-1902,-4749,3063,2047,-1261,-2173,-3715,-171,-4503,-634,7118,-637,-2910,567,-448,1805,-2571,2665,-1500,1772,-1911,-2132,-4407,-1775,-227,3567,-3807,1830,2053,-919,1569,5814,-151,-4481,-234,55,-4123,-509,2487,1263,-2670,3476,2713,3247,-2505,3594,3636,2969,508,-6236,-2399,7223,-4342,-2443,-536,-1668,3466,1864,726,-5223,-1482,1596,-1771,-4300,5587,-2378,-1232,444,1476,30,-3028,-7853,-1893,-1353,-1212,4780,4834
-9588,1290,-2014,-11379,-94,-4012,-7230,-323,1075,-4170,-1702,854,-2300,-724,-9629,1460,1145,4541,-3317,-4239,-1039,-7761,5258,121,1504,-7129,-2247,-6232,-4381,117,-59,1057,-7048,-9146,1989,4507,-583,-1228,-4433,3873,2901,3744,-5756,2691,-5293,-1922,3468,-729,4350,3909,-2500,6485,-2465,2367,241,-2927,-4666,-6489,-3011,4546,1192,-4611,2215,3385,6813,2182,-2411,3759,-3464,-556,-1991,-2575,-7207,-108,-2737,-547,3446,5507,288,9596,1473,-2258,-2499,-2577,-4298,1482,-5295,5576,7657,1483,4151,2965,982,6806,1902,-3902,-2135,4729,-7292,1453,850,-2182,-2929,-2057,3488,503,-1368,2637,2928,238,-3861,8446,2594,-4349,-1001,-859,-409,2944,-64,2264,2955,-625,-2545,-2425,3060,3010,2337,-3798,-15600,7395,888,-854,-5613,-6314,5690,5144,5132,-281,223,-3410,1406,757,-3693,9,-1148,-2653,-4712,3218,-5785,-4894,-23,-1728,-6598,3587,-3455,1335,2993,2298,-3863,-3759,-2610,-2694
