737,-333,808,-1858,-399,503,2874,274,-789,2237,745,-3313,709,-1558,554,445,207,-11,-3422,-1766,-501,-560,2599,-812,-73,2153,979,-192,-4249,2288,-897,-3484,2015,-122,-1380,-2,-1985,-1997,666,-458,610,-2238,-718,385,-1169,1042,-675,2183,-1289,-3111,1351,1384,-426,705,-985,275,-85,1268,-961,626,-1215,-947,-671,-901,-496,1289,53,-580,-155,-992,1197,606,557,-1525,-1495,-1172,1456,3008,-3338,-84,422,-1475,663,1399,-1014,588,-133,1012,-2836,-2642,234,1264,-1994,1943,-1417,-811,1140,-160,1753,-1535,1662,766,1101,-1055,-364,744,4,150,2062,1384,1620,-2172,1238,1683,-2054,-1563,-1093,500,-846,-1550,-1148,474,2777,-887,282,1342,305,-225,-1135,2198,995,-377,349,-2306,629,3039,181,-197
-2951,312,-52,2252,186,2630,853,-1685,1068,-2573,-495,1624,237,-2046,-1308,2599,-1673,1044,-583,-1376,270,-96,-4356,-2037,672,1918,-2003,-181,-453,-2480,921,903,923,-37,1387,-1510,-929,908,1821,584,-1711,455,1060,1210,496,1632,600,-1469,2980,1637,-1073,-2237,-1973,-1387,-174,-716,-617,717,-556,-2464,-989,719,-1839,-1744,-2199,1508,1022,-2398,2369,-315,-480,-1070,2249,977,-1261,-1637,-2541,-386,537,-33,-2756,-1141,2645,-2373,-592,-917,2324,1101,-1007,410,-688,-908,-746,2095,0,306,239,1370,-1328,-853,1110,364,-1599,-297,-1264,1000,-854,1049,-2817,227,548,1983,115,-2242,2453,2413,-2742,1010,-1764,208,-522,-1962,1712,2806,128,-500,2385,891,128,-3428,371,-1921,1313,-1524,-748,-2617,999,488
509,-2039,744,2712,-3200,-760,2718,1338,-2134,-2093,-772,-648,625,-3468,1735,1700,-734,1255,-896,3182,-2563,-192,-440,-3102,2410,-795,-2151,-438,88,936,-2324,-939,2020,698,2530,-2314,942,617,1,-2611,2049,-313,593,15,715,-2055,-3432,-1676,880,-710,-4271,966,1408,-1020,724,946,30,-571,2654,-3275,1411,883,801,128,392,-2734,661,-352,-2322,-572,3414,-500,589,1454,-1293,-1770,1687,866,1987,-2200,328,1990,-1537,-1597,-14,-888,-1618,-2689,-3520,-1496,-142,-1176,628,2580,-2778,-516,1841,-1780,981,955,1348,365,-1243,678,-2549,1173,-156,-2319,-133,-2037,1573,938,-1150,-852,-221,827,1700,2634,-420,450,-1185,-2056,-3076,-2836,318,-1639,2392,2093,-1856,641,-144,-2601,-942,3252,1072,-2232,-2733,1551
-917,-985,2699,-1927,1319,-401,513,-330,698,2851,-1663,-345,769,182,949,-2144,503,968,-1678,2028,-209,2214,416,-677,816,-308,889,827,147,2255,-3335,-297,3712,326,1407,703,-2443,-147,2097,-4601,-3675,-1831,-1636,-2478,-1733,1202,571,798,-512,-2433,-1213,2137,1243,-209,-2162,-705,-1580,-2957,2138,52,-885,-554,-1234,-3479,-1656,193,-1679,1091,2893,-2059,1525,2533,809,1700,896,-937,1262,-1354,-2539,-439,-485,419,-975,1905,-758,-272,-2885,-1055,2638,-3123,-1667,1960,-1497,2591,2050,251,-95,1626,2678,217,3124,-313,73,-401,375,1045,3898,162,-3117,-173,501,-1963,368,745,-747,1355,-311,1393,518,-2085,2332,888,2427,2060,973,-853,-127,-2431,-2597,2575,-1865,-490,-1378,-1573,752,750,369,-373
-783,-419,3182,769,2069,1047,3296,566,-2139,1245,-2644,-2174,52,-3591,-1469,-401,2672,-1884,-394,1716,-3242,566,3871,-1178,2119,1346,1927,349,-926,422,1894,-1898,2901,-861,2030,2178,-1018,560,-1877,-2059,527,-1814,-2851,1387,-346,909,-3277,1540,1552,-3713,-2599,-280,1300,306,-2527,-1023,-258,3225,-2078,1212,-1368,1853,179,-3126,-1849,3815,-1245,-1121,3089,1493,61,1864,2470,-515,1118,1250,1473,221,-349,-1710,1951,-339,1523,-827,-2494,2451,3155,1919,-160,-1207,25,-2536,-101,2770,-794,861,1072,2496,2532,2194,1498,-1138,-1590,109,-1785,-250,2775,-875,2065,1930,-689,-1825,-172,1823,1305,3057,282,1399,3151,-2044,844,1913,-552,-1435,1525,-4043,-1593,198,2072,-1108,515,-2238,2342,-2204,1635,1148,677,-614
306,1080,-111,-511,-534,-968,-2283,567,-335,-1104,2427,-2891,-1039,-594,1365,1099,449,-551,1934,2348,830,-657,3204,-1370,1315,-375,332,-1154,1714,-949,-1419,1461,-3393,962,359,1272,-3055,-2354,-117,-101,-292,2572,-616,226,-634,1170,-188,633,-1535,-1255,2822,-711,103,716,730,1921,-1327,-2008,-1150,1496,666,931,784,1154,636,-875,-1312,2628,-1148,-208,591,1981,-47,-2244,1235,-1498,-879,1174,-8,-193,1129,490,-505,1782,-1444,-1298,-2414,1192,1720,-2027,54,756,-996,-1399,-1292,-64,-787,274,136,-372,-1273,-668,2144,3376,-882,-206,840,964,1679,-845,-785,-1190,-1592,1628,-1099,-893,914,1829,984,1103,-352,-114,-3500,185,-215,603,-551,363,239,2169,-2343,2593,-428,1130,-259,-458,323,950
-1387,501,2945,-388,690,1467,1418,152,330,850,-1937,-1130,781,-2861,-1148,1370,909,171,-638,620,-2117,1611,205,-342,1879,-2138,656,1661,-3921,-1323,1163,-185,1871,-3046,3882,1355,-1221,-120,1215,-394,-1276,-2333,-195,-730,1525,938,-884,1529,3452,-3734,-660,186,-1186,-202,-1058,-458,2409,-451,-3407,857,-3553,-1245,1328,-2861,-365,3577,-362,-717,3171,513,2700,592,1620,-1380,1413,1100,-510,-1593,442,-427,2944,-208,1607,64,-1917,-232,1321,2094,-856,-464,-529,-1217,230,2013,-1234,841,-1592,1158,1481,1,-68,-1425,-2530,1446,-2181,4530,4463,-2674,-804,-49,-1008,136,602,-932,987,456,-2174,2290,1758,-1743,-205,-1149,635,-1133,792,-616,-235,1257,-1658,-417,3,-727,621,-1192,-2572,-1333,165,-898
-727,1366,-408,2418,-71,1003,-2378,2776,2668,-1634,-840,166,763,495,-129,650,1825,1951,3161,722,1213,145,-1478,-343,2489,-4675,-595,-2285,-702,-2037,1834,496,-1594,1262,2274,1990,2075,704,-1552,-994,2007,-135,3865,664,2918,-977,-932,126,7258,1373,2007,-1091,-2968,-2235,3676,-1272,-94,-255,-3099,896,205,-574,-1525,-466,1108,1189,-682,55,588,-3102,3001,294,1838,-2005,3615,2359,147,-2419,866,-4354,1781,-2042,915,-3044,-2888,-385,2431,1370,2247,-332,469,-2168,2941,-336,-3040,2729,1497,-1371,-2977,1702,-3068,421,951,2370,-42,-1048,2143,1212,-1796,2348,-639,1109,612,2748,-80,1496,-1624,547,2512,-882,1643,-3134,1591,62,-469,1400,4417,3389,2426,-1946,-311,148,-1973,-782,-3558,-4321,-1087,-407
-933,805,1130,-968,7,-3360,-736,2498,-457,1749,-876,2059,-227,-100,628,-4371,386,1600,7,2711,-1328,2248,1799,2986,2352,-165,-1106,-1781,-693,43,-750,-2289,2208,592,1207,-993,3081,-444,-1174,-255,3477,1079,585,-3133,610,-1540,1010,-300,1192,-210,-1773,-211,-784,-1030,-1889,925,-3854,-1960,1182,-689,-349,-456,534,500,1308,2341,-1310,-1029,-655,-1208,3323,-1017,492,-432,892,-1574,5300,2064,587,680,-1095,1535,-2536,-1794,228,-1542,802,-716,-608,-1325,193,33,-701,1192,-1449,25,1302,-1345,1932,-667,-565,-1489,-98,-81,1750,-2371,-405,-3287,-1219,1120,-973,3132,874,1872,-250,218,-138,885,-771,-1790,401,919,326,-1537,2956,929,216,-2838,95,2416,-1792,418,1411,376,-2068,952,-152,728
22,-1083,-2077,2962,1774,-1667,-768,2885,-1340,-2496,17,1494,-296,988,-2109,2132,-180,-560,111,3436,-4868,-2711,-672,547,-229,-1748,-3075,-1604,1873,92,2412,1099,-2152,412,-1704,-3165,2501,3091,-3769,1751,1272,1735,3049,-826,536,-2411,-448,48,-431,1183,-3363,841,1655,411,-955,1038,35,-317,1399,69,1595,-129,3307,1403,2221,-1833,-1166,-1657,-2929,-138,1134,-841,-1086,-299,-736,200,-980,1800,2913,1261,-850,1085,-1828,-1122,3995,880,1159,-2695,-1763,2249,31,-3463,1007,-355,3219,-796,-331,-1570,2053,2313,-2937,106,-1946,3114,1652,-3305,-3426,-366,1065,-1282,-182,2420,-183,-1588,2341,594,-1562,1414,1408,3591,579,-783,-2288,-1906,-912,-2243,-2055,-255,1829,-825,2241,-269,-714,3411,-440,-1817,489,-535
