-2021,-1292,-1007,204,-1482,-2,1064,-137,-1721,-590,-901,306,287,1356,212,-1461,-2034,-964,1323,-36,1190,1758,-559,85,-674,-290,-998,459,24,31,-524,286,-1155,13,-774,-666,689,1594,-214,-413,239,-155,-359,-1102,556,888,832,-1177,543,1160,-582,-170,522,1231,557,1877,-634,65,-375,1,1415,-465,-463,28,349,91,-557,-257,-293,-498,1036,1487,-639,-135,81,564,-433,-114,1319,-847,1224,735,-456,-57,9,-1533,-1155,-530,-384,-489,-95,2110,1459,243,1026,644,-33,-643,-4,1632,-666,-735,-214,776,1046,-1042
-709,-1254,-261,1890,900,-1304,175,-816,-1654,-907,-2785,-720,-982,980,75,1330,-640,-993,-720,931,486,348,-1046,1075,-1145,-271,902,2169,-130,571,-873,882,-277,-247,693,16,-699,1719,-107,-294,917,-1658,443,249,-38,622,-276,-1579,624,1481,-106,-922,-472,306,-1152,2196,-1440,50,1656,-1201,1812,-1049,-612,-1040,1689,-1567,1557,370,-1580,-33,324,280,-784,627,-517,-691,-401,-1470,1799,-1218,1316,-1389,570,-1033,159,-158,-5,-68,733,-670,-1133,1458,844,474,-598,-197,575,364,-83,-180,1013,194,167,877,1301,430
-75,-180,-286,1111,387,-977,895,-1786,509,417,-401,18,-899,1598,-66,-290,-187,-999,882,-1566,1085,-522,-1436,1226,1451,412,1190,1442,-1217,-332,-1342,-1073,-899,2182,-343,-2665,672,783,-1034,369,-560,866,-1215,1353,-687,-869,1218,-215,-934,528,-60,-1242,-386,209,-942,1459,-530,695,-964,-336,955,651,-1399,165,-1027,542,-1478,703,770,572,1129,520,255,-370,-901,-642,409,-109,568,-1730,1435,265,164,-37,-1726,-1273,340,-570,625,475,-2467,1147,-315,400,-746,623,-283,1089,733,-633,400,-493,1368,785,46,1463
-802,2284,244,-1691,633,2235,215,1189,699,-1482,749,409,630,-1498,-512,964,290,-63,47,1067,1685,655,233,707,-1214,1745,-1338,-1120,300,-913,1243,1358,-29,-1893,-628,812,-225,-1415,56,-133,-548,1114,-704,-976,-2319,-952,-713,1128,954,-217,-2583,490,278,662,1015,-1516,428,689,1898,-1186,-1856,-329,1063,951,384,-1558,634,296,1392,605,-864,-734,2398,-632,-80,2262,-322,1916,-30,389,-899,-83,-455,32,-396,30,-1027,268,515,1784,-1113,-321,134,623,1137,-500,2523,-1296,98,67,149,-852,2370,-548,-286,935
-175,204,-1639,1587,899,-562,-695,-701,-1320,1661,980,-908,-50,1850,-199,-1402,-263,-693,986,-1262,-15,350,205,768,-2465,37,-530,-942,-651,-1015,307,-350,-1538,501,-18,726,1810,766,333,-148,1605,-978,277,-2460,1595,396,1024,-700,583,-643,495,1332,722,-980,656,46,832,-642,1734,-821,-681,477,-117,-441,75,1288,505,-1960,-296,1414,1386,32,-408,-118,2361,815,274,-13,124,-933,205,1258,580,-686,293,-1195,609,-710,-267,-968,-604,150,-804,784,233,-696,-973,-649,-455,-1367,-332,467,-8,-383,962,656
-878,-2222,-2519,1175,-1016,188,461,-840,-627,516,-218,547,490,1329,-27,-287,-1792,-1088,1418,-942,611,564,-1360,-308,604,-596,1333,-559,-769,917,-304,369,55,1141,-860,713,-725,2345,22,769,752,1016,116,-283,608,-157,1068,-524,-586,1375,1288,-155,1048,-215,-655,1906,27,-1820,503,-431,256,-895,29,79,1413,24,-902,-983,-684,-671,57,-698,-241,-145,1240,-137,726,72,412,-1092,2159,233,638,207,183,-2131,57,-623,-1944,-201,-463,-1236,633,-947,2757,1095,-423,144,-29,1243,-1743,235,-737,800,-95,-544
405,-1078,-1408,-865,571,-119,-998,-172,-127,-859,-861,-319,-471,171,-917,-1394,-519,-1102,-1000,1075,-2227,-401,426,-221,-140,-2684,1809,372,-474,2007,1358,-100,-165,-379,-1365,1119,-818,1485,1881,1027,-19,-606,622,-422,590,-1009,-1993,-1416,839,1352,-260,1236,-331,-2212,467,-269,720,-2516,672,-208,-677,-1531,267,536,-277,893,468,-423,110,671,230,-1512,1026,-1010,-61,-1883,-1098,-906,-1112,-640,-630,-2382,-1281,-2479,532,-561,990,-2390,-464,-258,-1954,-2589,-1533,-1854,1086,-892,-1704,-941,-682,-690,203,1756,454,137,-198,-615
203,-1131,524,-217,-225,111,-75,782,450,-652,-1720,-959,488,-360,731,393,-754,-844,-603,1827,432,-740,-373,426,-1159,-1179,617,1390,-779,473,-580,-205,515,-150,883,250,-1665,-420,588,1235,556,-1039,282,809,-352,435,-1781,-514,-372,120,-349,-635,1284,-596,-642,125,881,140,257,37,562,423,-221,307,910,103,-154,756,733,-1563,355,925,-262,294,-632,-1463,1040,623,1537,107,575,-942,443,132,862,-492,-271,729,186,20,1264,-747,-64,-709,-325,486,-421,162,-406,1212,663,272,-1,-180,-172,188
-297,-51,1583,-1712,-624,-52,-744,2457,1549,-1256,-1564,-922,253,-1979,871,-801,1010,655,58,1692,59,-1347,-528,827,-353,-785,-2219,978,-58,236,1069,-530,2356,374,1892,543,-184,-1963,1669,-8,1618,472,2288,642,-1665,1247,-796,281,-213,-596,253,-1017,934,708,256,-1365,1197,991,-605,959,-319,-88,-82,-106,56,1123,-1131,-222,1929,-1742,323,-592,331,-1162,-1566,-439,-1125,-985,42,-295,763,-1744,-661,1459,922,1304,109,2063,-252,224,1390,-800,1485,-676,190,725,1099,691,-779,-512,1456,385,-584,-775,-67,265
188,275,421,497,75,-2008,-740,-897,-561,-842,842,1036,-2210,2905,-2513,-308,2916,-1516,49,-2462,-600,-1624,-1216,1453,846,251,-239,-370,178,400,-340,-419,-1320,-1039,242,368,891,1608,-453,-199,1551,132,372,977,1446,-1731,496,308,144,-960,93,-1004,-267,583,-965,2420,-364,1255,-728,1447,-791,-2203,1365,-854,-178,-292,108,-1146,384,1752,1734,597,600,-1349,-437,855,-236,-813,-2000,-2053,-769,23,-1218,-501,-1740,179,168,-1290,-1146,-1736,-130,603,-508,653,-1126,-167,-469,-555,1733,-387,310,-2167,227,863,-586,445
