323,840,-3357,1008,2542,-666,2744,-3643,1550,-348,-1748,-613,444,-2059,-951,-4006,991,-1549,1083,1203,-4064,-1143,-1105,1154,1260,774,1037,-821,-2357,1628,1223,847,-1069,1970,-97,-694,-1389,1811,898,-2717,1805,1488,3985,-1264,14,-1291,-281,4901,-2251,2386,79,-1224,2038,-673,170,2041,2627,4141,92,-1306,3228,1655,-354,-3257,-1747,1794,2430,1638,680,-194,692,-2800,1861,326,558,-127,1137,332,-3223,-4772,3055,-1729,-3920,998,-643,-934,1406,3249,-513,-1954,-2783,-2423,408,4950,136,1290,-169,-782,-73,-1402,-396,316,-3166,-532,-1200,-98,-1207,-1860,849,1053,-183,219,-2147,1276,2044,1763,-1647,946,2230,2314,-415,787,-1690,2173,4,-596,596,1598,-4062,21,3711,2152,539,503,-1632,150
-1324,-141,1824,-1191,-1156,-2772,1446,13,-1071,-1817,2239,2095,-660,-1148,305,3727,1017,-1857,-1407,-29,-433,-162,-870,-2583,762,103,1413,-256,-1252,-179,-208,847,271,206,-1432,443,1623,-1316,376,2429,-464,853,277,1956,35,-394,-564,1255,2571,1312,1550,-319,-1589,-1006,-1505,-2911,-372,-1235,-90,448,-1706,-820,655,1852,-2945,1539,818,-627,-487,515,1691,643,-405,225,-436,435,385,1516,815,987,643,410,1023,2435,-631,-76,-1566,-1237,742,1903,717,619,-866,-168,-2141,-1045,-538,634,-899,1342,-1040,254,2562,-2582,210,-1932,-1813,-390,-1328,56,-1832,161,774,-1130,-1619,533,-1672,-1399,-1504,-773,-2630,-439,-1083,-2308,-3351,-175,-1732,125,477,-315,-2520,-9,-2072,2693,424,-599
1581,1885,-1609,-747,-3504,-177,1652,-4047,1772,-4,1027,373,-685,-2521,98,1382,-2816,2005,-817,-867,-942,710,689,-311,610,1421,212,-1155,924,-1349,441,3393,2208,2318,2517,-203,-1068,-1902,2033,2588,-3385,331,979,-4300,-2956,-1540,-1265,1365,914,4256,-2528,286,-1980,53,2125,215,-1887,-1130,1225,2750,518,1150,-2003,-542,-2727,241,1487,1337,602,3068,-519,1317,3187,2278,-1449,1842,1707,1308,-1322,-1246,2275,-1895,201,-459,2619,-1284,-1733,210,902,-132,-1342,-1482,2203,2933,204,5797,441,4032,-1343,844,594,43,1140,-3736,292,-413,-1531,-2220,5212,-777,-100,1643,-2019,-985,-109,2880,-362,-826,2652,241,1585,1473,-1648,-2103,3102,1731,2123,169,-1326,1603,-526,-25,99,-276,-642,-1835
-2932,-1298,1518,-832,2577,264,1754,585,-1524,3384,-319,-976,-2370,323,-319,796,-379,-4066,3120,1133,-1903,-2274,-533,1623,903,-4326,1400,2437,1809,1389,-2733,-571,-1647,-2992,409,380,-19,-505,-2736,-2596,2573,-314,31,3916,-2842,1076,2883,846,-2477,-2173,955,-2117,-1900,-1241,-4637,-2669,-1987,844,606,1811,-819,643,1455,-1126,-139,196,95,332,-2610,-2447,1876,-527,-2538,-620,1823,-752,-926,2177,1587,-749,-728,893,1323,707,51,-2144,5087,883,-867,242,-934,1537,-213,406,-158,-1789,1408,-1378,312,4080,803,-727,1195,4258,1550,1010,-2636,-1942,-3260,-3567,-328,2882,542,-1245,-536,-1898,-3822,-1645,1954,2105,-3358,-234,1670,2171,439,1756,2265,-1247,-117,495,-2323,-846,-1396,-1738,-2173,1435
-1469,-2893,455,2327,3715,-1545,493,-1679,1717,1127,-1119,1928,-5706,1620,-725,-552,-2018,-177,1249,-927,206,-197,939,2172,-2686,-2101,1597,-1495,1988,1628,-337,-2141,-1756,1093,372,593,2985,255,151,-661,2005,2720,337,3444,-2261,1490,487,19,108,-671,-71,-578,2209,758,-3215,-1123,4703,3760,-1008,3772,1603,-2463,-1099,-2174,-2763,1170,-1779,920,3714,-1569,1766,-2780,-2593,1718,-257,-690,-176,-286,-2519,1419,993,2297,-2716,-176,-2512,-1481,1863,3099,-1407,-375,-2463,-2359,-195,941,-612,479,-1250,-640,1126,-1659,-386,806,-1466,5038,705,-1601,2422,-804,-1914,-246,621,-198,3638,-422,605,2503,2198,927,567,4474,-3324,-514,-537,-963,-2891,-967,2067,-1360,-106,2204,-2885,-487,-2955,-358,743,-320
703,-3525,2234,796,190,453,397,-1405,1930,3927,-189,718,-3202,3323,1251,-219,-1175,-676,565,1431,-724,-275,-448,894,-1416,373,128,-1153,-2709,-2827,2193,-571,-1632,3052,1333,-1490,1403,-2194,-89,-1628,336,-1893,154,1077,197,1655,2475,-1738,21,-920,-1810,-840,-2066,-530,-760,-1734,1709,749,4446,-523,738,756,-440,-1911,1592,735,-257,925,-17,-967,955,-1262,-109,560,632,-1756,-2112,-607,-1450,432,-36,506,-559,586,1193,-835,260,-186,-526,988,-1712,-1601,3100,-2347,-1319,307,3621,2526,1648,-1819,-732,2081,916,-688,-169,-339,1574,-326,1546,-792,1116,-2131,-1898,285,-865,1305,-574,-1079,-244,550,158,-845,-1676,1257,606,-783,-774,-1416,-1452,-817,3010,-1382,-343,-1616,-333,1929
-1238,463,-1472,-1335,-306,993,300,-2253,3034,-1846,125,-845,1106,550,522,798,-1254,997,-1445,-943,638,517,-318,-254,-1068,1468,646,743,-2492,97,-1499,2316,1397,3288,1924,1745,1432,-288,1329,1528,-784,28,944,-937,-955,518,740,1191,1588,1226,-377,186,-2209,-2647,-425,475,238,-1257,-306,401,1659,606,-213,1133,-75,-190,-483,-1308,-77,189,-547,-360,1691,-1745,-2427,973,-387,-559,1770,79,1244,-1187,-1179,1877,1332,617,-1308,1509,-167,1300,-1224,-1155,48,642,-359,-63,1436,-460,55,-972,-133,70,-2581,-3232,-100,31,-49,151,2484,907,-1280,300,-997,-755,365,-694,466,-292,941,-947,476,766,-123,-177,1013,1130,3052,-1970,1194,1608,3454,1351,1090,241,-693,-298
1215,1456,-2796,1030,633,832,-1329,-221,2686,42,2056,-2676,-1440,-90,-2441,-898,327,927,-1972,-1234,530,1104,1034,-706,-1177,1094,-360,351,-990,957,1484,1565,165,93,-740,-128,-1339,-53,-310,1912,-1135,-1369,-203,-1195,-2427,429,1033,1314,-47,1954,-129,792,1187,-1622,1119,-724,532,-925,-1431,1657,-401,-2530,-278,-1842,-1437,1399,534,-370,386,-263,-700,-2398,1278,-518,-425,724,1764,1685,-776,1260,3082,-2124,-45,5,-1555,-1711,-458,1878,-2290,670,-1245,-1284,-67,1343,-2,-555,-1053,2884,211,-1744,1338,4427,-1846,2308,3489,-584,1854,1316,1920,2646,-917,-484,2725,-1017,-17,335,391,-306,-1659,3111,1479,-1608,620,-54,1183,-188,2240,-3149,-824,2025,222,-455,-1153,187,1572,227
2558,2299,1025,-2182,-4623,2747,-1263,-1089,-611,-1718,1186,14,1196,-275,1257,2582,-1576,-679,773,-40,1339,353,576,-1064,-717,1233,27,-308,809,-2295,496,167,2084,1347,655,-931,-1523,-2126,89,2810,-1802,208,-1054,-1965,250,-115,-1379,-1598,2556,-64,1490,-206,-1223,1104,-338,1292,-1323,-1641,2043,-1108,-750,1829,-635,2729,142,-2759,315,891,-2818,1285,1446,2661,1046,2138,-2026,1445,2970,116,2637,1851,985,1076,1426,2148,2146,-508,-1518,-844,-1542,-3046,-48,1953,746,252,-1215,-1015,-666,-707,-1248,2359,31,-3,1595,-4087,-1521,-753,391,-596,1157,-722,1995,1725,-2115,578,-1022,-1234,-812,-1601,-799,-2070,2427,-956,826,-1438,1410,-664,-776,729,-926,744,629,-890,4744,776,-642,-1013
1840,1922,929,-1530,-2534,977,-343,-426,-1564,-2132,23,481,2976,471,2965,-264,-370,937,17,270,628,1676,306,-363,639,1360,-1115,1701,229,-551,754,2012,1979,-1374,-1597,-1112,-846,-114,961,-61,-971,-894,-306,-2625,307,443,-2931,1043,18,-542,884,11,974,-171,1608,1277,-970,-1409,2485,-3566,-944,925,782,2781,1623,-2673,2141,-1519,-1295,955,704,213,-58,2433,5,221,2489,-1114,1914,-986,331,-2459,1600,779,2661,706,-279,-629,2965,-2198,2250,1036,814,102,-256,-502,-386,-395,-1377,1005,515,-767,396,-4530,-732,-336,1547,-1363,581,455,2509,485,-852,380,1206,-328,-1178,50,597,-1060,2831,-679,-380,-1652,249,-1938,-1665,1027,1509,-1490,949,-629,2533,104,409,-1546
