-3786,-4148,-321,5072,-4330,898,-2579,698,1626,-1756,519,2484,-1695,-819,-1310,2222,2313,-407,2253,728,2257,-3319,177,837,-2315,412,-1896,4410,3502,-1979,3847,-922,-4338,-97,1934,440,1493,-732,1547,-7,-1126,-95,1951,2067,2880,1190,1002,-1811,1804,1257,-245,-3042,-1557,-2996,564,-4678,-1746,-217,1839,-5258,-1829,-2667,517,-56,767,-1799,1280,330,-2206,1145,351,585,-861,908,925,2301,-2890,994,-4170,-1011,-2630,-555,-5758,2647,-4418,-1045,-557,-810,2578,-1755,1186,1633,-1915,137,-613,-474,-1205,-1123,1417,-749,2759,3557,2736,-2673,-2007,-1687,-281,1213,1781,1086,2422,1005,-639,-919,-2825,433,1949,-1874,-1830,-1157,-1301,-1963,-3509,-2546,1676,2876,-2408,2166,-5588,-2163,514,210,-4507,2080,-1077,1382,2795,1092,1487,4114,1009,-3970,-2022,1623,-1159,1650,1485,1151,548,-2229,2116,-4807
-2251,-2697,823,2563,-1311,483,-743,2666,123,1691,506,-1210,-1123,-2173,3927,1388,932,2303,1039,-2007,-946,1701,-1473,341,-515,740,-812,2374,-1740,963,3678,3973,-2697,2768,-3583,-568,51,603,570,3232,3759,630,678,-766,1187,-114,2057,2476,730,-1004,558,-7971,-1191,-3600,724,576,-584,701,2716,1292,3242,-2941,935,1676,388,-2058,2277,-313,-5892,-410,2597,1623,2360,-180,320,1098,1007,-4788,-2899,1026,-2198,4204,1906,3147,-5538,1551,2806,1914,1366,-1420,-121,2708,-624,-3657,-1257,1795,637,-5176,-1159,-246,7154,3553,-315,-1745,182,-259,2311,-385,4011,1142,-1984,-2722,3257,-2177,-900,-184,2613,2541,487,4862,-2511,-677,228,-1406,-418,1451,-3154,-993,-892,-922,-3736,-2188,1667,1119,-1233,-1856,4436,2271,1922,416,180,3300,-158,-29,43,-531,870,-3368,541,1002,-864,-658
1027,-135,507,578,2815,3641,175,593,-1337,3446,-1157,-2408,1495,2413,1167,-795,71,-3067,2719,-3292,-1839,3085,2396,-1670,-5659,3623,-2211,-3867,917,1409,497,436,-2977,-1876,2349,6767,447,2143,-2315,1957,-495,2193,686,-6192,-2364,564,1552,-460,-3895,3309,1911,-818,-279,-1922,-337,-1093,-113,2320,643,1015,1241,-160,2561,2433,1629,4300,-809,-1503,-2067,1620,-3741,-1092,1309,-1496,2198,1895,4769,3196,5084,2036,347,2489,-1075,-1200,1681,-2814,258,-2868,4678,5025,-1096,2186,-2005,-3333,1571,1774,-416,-1900,8,-4033,413,2036,-2219,6455,-1999,3204,2827,-4871,3569,29,-4027,-1523,3799,269,-1273,3039,1950,2826,-398,1599,-1163,2557,1139,7092,3846,627,-159,-4020,-1746,-888,1281,-4330,5478,1246,1512,-128,1302,2477,-255,-2750,-3064,3907,990,-942,984,-2961,-1594,-4383,-1292,-818,-4507,6027
671,4578,5608,-6039,1683,886,1343,-1782,-1325,3428,-1236,-48,-26,2159,-2817,3022,3978,-6050,-682,-3447,-395,858,-1288,-47,-911,-925,2323,-2222,-4509,-1050,3048,-985,829,5975,4387,3368,774,529,-5182,-1344,486,5223,1563,-1011,-177,724,214,1117,1436,-2420,-1584,1637,1088,2896,1354,4345,4010,-157,-5300,1854,-28,-1032,1035,-478,303,-1894,2607,2631,5473,121,-1284,1553,-1865,-1494,-6580,768,3575,1883,389,1963,824,-4233,2630,1042,-360,4056,2271,1806,-2641,-2445,1031,2882,1573,696,-75,-115,-3170,-253,-1443,-432,-3096,18,749,540,2510,2615,2127,-895,-2282,-447,-4600,-7775,-519,3857,3766,5890,2379,185,-1757,2421,1833,8984,3081,-1363,3901,-2113,-824,-3571,2374,1448,2587,-916,849,-2401,-1814,-3220,1380,2183,1135,-5091,2170,3621,-417,-3778,4882,2552,-4171,4660,-2233,-2098,1419,-100
-1122,-1572,-1003,-444,-1095,-311,-664,295,1137,-783,818,2758,-1100,1298,-1866,-1616,-2604,-297,670,4242,3861,288,409,3238,36,-2839,11,2580,996,2625,-1301,660,1658,-1593,1539,-879,-1384,-603,-965,-2484,-1503,-712,-81,991,641,-1059,-2801,1657,-2028,3142,1152,-745,-321,2613,-2663,214,57,-1450,3404,548,-1309,4213,-2303,-990,-1764,-1802,1472,-890,1271,681,-1348,293,-960,1266,-922,-1361,-4959,1881,1660,-72,649,2920,-1410,-226,807,-954,-130,-308,-2958,6,325,-358,3343,4984,1282,-462,-3182,3407,619,1044,-1048,-2644,-3981,-206,488,2565,32,-1131,-2022,630,3432,3236,-742,221,1653,-416,-676,727,-1503,-741,21,285,-1232,2685,2318,562,-2828,4076,-395,746,1302,-2211,-1431,1818,355,1457,-639,4156,-699,5946,2295,-1431,1632,-1261,-5447,239,-2824,-270,-1180,-4171,164,-1411
801,2767,-435,-855,260,-1508,-743,1497,-428,-171,649,-376,3561,-42,990,-1487,-2471,2834,1996,1175,-1795,2068,-1493,-760,-940,-3949,-1586,-203,-2387,397,-3264,268,-502,-2311,-1255,608,-3096,-574,525,1361,-2530,-1763,-971,-1746,1416,-1545,-1355,1434,-411,-2099,-921,576,-1315,-693,-225,2587,728,3367,-1003,252,329,937,-2615,1964,1957,1065,914,-1852,912,-1333,2481,-1477,5339,-682,1313,152,1962,1247,1342,-4478,929,-885,141,-2460,3054,-285,1735,127,-2800,-3171,1150,-1852,1290,2485,-1179,1850,1520,2072,-2312,-1116,-1677,-3120,-3569,-1632,1511,571,-540,337,1732,2658,-5670,-225,1255,-665,-1168,-1682,-985,-1157,953,165,-2071,-1548,864,38,562,-2794,2593,-308,1585,1578,-1881,1171,2446,1061,451,-2706,-2694,566,-1691,-1206,-3223,1744,428,-939,-2742,1011,-866,-893,-41,1184,-1063,760
-614,2053,1070,1073,-850,2713,263,1943,-740,-1122,-4059,3405,2470,-903,2735,-1623,1816,-1985,2241,-924,-3025,1286,1438,1185,-923,2100,-4146,-2026,-2138,-2077,-1813,-443,335,-1462,462,-229,1065,-2455,111,1433,924,1303,1154,-1643,3229,1483,3600,-831,1738,268,-3196,-154,637,143,2773,-2024,2800,4378,-658,985,1544,-1294,38,6974,672,2044,1280,596,-1180,4485,-723,610,-55,-1987,-123,-1285,848,4742,1116,787,762,-185,1450,1186,-1777,-809,501,3553,2459,-840,2350,2670,-827,980,3316,6055,-581,-748,-1699,-58,4263,1033,-537,110,-2319,2339,2348,835,2222,3390,-2195,-947,924,-521,-7,-3217,-2627,1400,725,1616,-4581,-803,-958,210,5455,1562,-1937,-2988,-2693,3835,-2267,-2747,730,1279,1467,-2371,559,-1112,-790,-1534,-477,1031,853,-2228,952,3528,-1445,2571,363,2579,989,1188
-201,-220,-788,-894,-40,1053,1417,-1459,-4801,3819,-453,-2491,-4869,2444,4402,-3384,-1715,-5246,-5460,1792,4275,-415,-7051,-2355,4282,2961,7616,-7165,-1818,3467,5701,-3106,5937,2764,171,-766,-236,1904,-3267,2183,1493,130,53,2151,1236,-6141,-489,464,-5523,1171,4964,-485,-2528,-1809,-1045,3128,-1457,1059,422,1767,153,2118,-6061,-1249,2290,-1386,2370,-1636,70,-696,-613,1932,-529,1219,1355,-674,-434,-5832,3629,4859,-1296,5170,6084,-398,-1543,-1349,1128,2641,-1248,2333,4007,-14,-888,-4194,1608,-2178,-869,-3084,2531,732,-6411,6415,260,656,1752,-796,-1710,-5452,-4600,-2814,2323,-1221,-198,-2955,2448,4166,-3936,4921,217,-2138,3630,709,4212,2781,-1650,3465,1496,-1307,-2838,170,3022,1559,-572,-265,3322,5322,113,-1352,-4784,-725,2956,-772,2046,3646,165,-5351,-3125,-3153,-2671,-3067,4274,6832
5892,322,-1084,-3666,2095,-2041,111,811,-1856,2728,971,191,-135,3307,-270,-1308,-6931,2969,-3083,1402,2214,-1844,1304,2789,2198,-3997,2008,-3656,532,1126,-6665,2075,-625,-1671,-2629,-1000,-2601,-144,-1305,428,465,-353,-2927,-1303,-1593,-987,-1901,-3897,-4757,3820,3071,4999,-5229,4950,-3853,2577,1157,-944,-1620,843,1441,2142,5012,916,-3399,3689,1477,-930,2880,400,-875,-7175,67,-1001,-1765,-231,5079,1094,-265,-3999,206,-2480,2165,1013,1434,-2446,3312,-1483,709,1286,2335,-3379,1709,2188,-932,-1647,-2943,976,1412,1694,-2291,-1406,-288,-1665,2240,3386,-908,-3585,-918,-3074,1507,4412,-2518,616,1537,228,-740,-1732,4448,-2641,448,-2629,-1564,1755,-428,-710,-236,439,572,-2128,957,5363,1872,-1220,940,-728,-1739,1397,-1729,419,-1502,1685,5356,863,-3881,-4357,1135,-4781,-3235,-2935,-3063,546
-2237,-1856,585,1042,-4184,-952,-2499,5880,-2276,-1085,-250,2188,-1619,712,1024,2220,-2481,-2807,6400,3305,1970,1252,549,2544,-2622,-3280,3496,505,432,1968,859,4100,2987,-326,374,-124,816,-1660,1900,-669,-583,-1412,5308,-537,532,-1962,284,-294,2092,1173,3669,299,-988,2652,-1974,-3456,1174,2491,-2889,1606,2870,-900,806,-722,2060,-1955,1529,-499,825,-393,954,-5016,3986,3595,119,1742,-4637,1943,2161,-1657,1918,-430,2465,3655,-3200,-4382,-1024,-580,3372,-828,2433,4146,2228,3583,-3138,990,1246,1167,-2037,-1254,1854,1423,-2144,-117,-860,-3019,-4675,-2417,1885,-1900,-4407,480,-1250,-4034,2268,3366,-199,-1308,-944,-1128,1362,-1204,-299,519,4172,2201,817,3242,-3121,-1361,-5247,-4405,-2630,3190,-1911,-1846,-1267,4770,1425,-398,370,-1697,481,-4070,-256,1993,2225,441,2215,-4303,-872,-3470
-98,-567,3234,-862,866,-3531,733,5494,-2109,-3935,-318,-3040,-288,3200,-323,-760,237,-1719,290,-1904,3744,758,239,-859,1758,1112,3111,1925,-1983,1026,2235,4063,2410,-391,-139,308,2553,567,2685,-240,715,2941,476,-4663,2573,2733,1461,-2153,-1044,1490,1065,-836,-3503,7039,-5655,2380,752,-652,-3432,6013,-365,-575,3191,-2331,392,2255,-1748,-3249,2101,1544,734,-2764,21,1783,-3113,2056,732,921,-324,4380,1671,3268,1612,917,1459,-1280,-797,-110,564,798,-1114,4388,-1952,1703,-1229,-2310,1156,-1286,1902,1475,1282,-1107,-1967,-830,2456,-467,-1320,1652,1112,-1792,1651,-376,-4812,-882,4767,1043,-2095,-3163,2426,-1034,2441,3014,648,2129,1960,1414,-1692,2682,-1764,-1507,-1928,-1686,-2392,1676,-1546,-2749,1831,6086,785,160,1666,-624,-978,-4159,1344,-2719,-475,3456,-4916,-1626,-1981,-65
