247,289,-442,-66,-572,323,27,727,-182,2,-72,98,-6,-64,-346,55,367,210,108,-371,-176,202,255,67,-185,-255,114,207,264,-103,-703,329,-812,-381,284,-557,-450,-352,-447,-324,-8,278,-56,214
-118,89,245,-240,-71,-202,-203,-109,306,184,59,-21,139,-134,406,-619,76,172,257,-326,-257,-704,226,-191,156,-93,-225,-191,224,-362,-220,-191,-255,27,-155,-650,384,-492,-131,41,311,112,197,-113
-153,193,-202,-282,-55,-176,-241,-172,211,172,-228,52,-273,-190,21,-52,126,352,574,-125,-157,-1,89,51,160,208,-25,-113,-224,-347,-79,-95,-9,-339,-73,-360,-204,53,-346,44,311,-307,-111,142
-101,230,-124,88,-915,-71,196,-100,-135,-413,-101,-74,370,149,-89,34,-278,261,12,-598,421,-228,-31,-615,343,-58,362,180,182,-92,-293,83,431,-817,-180,82,-456,92,53,-400,903,-449,-212,88
920,-478,22,-141,57,-108,370,189,243,-177,-347,433,215,178,-121,230,-325,-240,246,764,62,131,347,801,824,358,-130,-142,-105,-964,519,92,50,-55,165,-219,-248,15,589,-166,-654,579,-17,226
-5,221,-116,-52,557,-329,-32,-155,19,-162,150,-380,-140,-21,147,621,-354,-279,-254,975,484,495,663,7,-326,-350,-313,-28,179,-497,-134,34,407,384,-399,441,-271,525,30,-73,-423,190,59,-368
-173,331,-634,-492,-245,145,97,421,-261,144,4,-165,-447,-192,634,-253,-240,108,-416,-207,33,-221,144,-323,189,65,-259,-277,237,-139,485,-152,611,180,111,-304,232,-46,-367,223,-132,-529,-373,-235
710,-647,-714,174,-121,-296,464,-118,114,-307,-25,142,-26,736,-383,352,265,175,-185,181,106,325,549,417,221,303,11,257,-641,-285,371,99,324,380,-44,527,-320,533,-66,-400,-308,47,217,-464
19,-530,-136,-356,-540,120,1079,-426,-12,-19,-287,892,-702,-152,-522,-427,22,81,719,271,-180,-332,668,9,149,313,399,271,-82,199,-399,890,329,-390,423,77,-219,-58,-267,-143,578,-555,-298,-277
-43,196,491,-483,617,185,172,-486,466,79,-31,11,-133,-241,723,409,-539,-265,209,-24,-9,-576,180,-423,594,380,-44,579,-50,60,-86,211,11,-672,359,-86,659,406,-72,-168,56,157,-376,-166
-360,-291,34,-64,299,-419,-996,-390,471,-78,80,30,372,-142,-236,-349,-234,-215,-294,251,702,-214,-434,201,414,-583,-346,-805,-573,-258,237,145,-268,309,292,36,901,306,-34,532,416,-581,-497,-202
-241,17,497,495,127,206,-193,220,-98,495,256,-501,179,409,146,-108,275,-287,-569,86,-115,191,-354,-107,42,98,280,-35,293,496,-403,-231,-527,1022,198,134,-426,-19,-226,-127,473,403,1286,-82
-4,176,-9,-279,-363,700,458,225,91,288,-200,-39,441,213,-435,233,137,595,24,-114,-491,283,195,-74,-317,-81,169,123,631,209,223,-51,-443,-232,122,92,-721,15,-233,-457,-22,34,159,938
286,-127,-143,76,64,427,-403,689,-147,47,607,-412,481,-479,541,-535,-88,-683,-160,-43,17,-180,40,295,494,-10,116,-34,257,-563,1053,-420,-468,963,-10,329,335,-121,-214,601,-56,-73,-128,-408
757,-567,-22,186,-333,530,64,1043,245,-423,292,-229,717,-122,86,-246,844,-557,167,-588,11,-35,-92,16,419,185,-233,423,-175,202,-353,-24,-213,639,361,173,-154,-480,-51,61,-571,213,368,-425
92,-240,-296,-272,-172,-104,-60,-276,347,-61,36,509,-564,-173,-50,-214,-178,419,-4,214,28,320,-43,277,407,-320,-672,43,-799,-314,604,-297,97,84,752,-302,275,16,176,-302,510,-285,-42,-275
467,192,539,686,-17,372,136,-294,28,24,-249,162,-30,-424,252,563,-903,-372,319,-19,200,429,-316,-501,128,25,140,156,303,-540,421,-445,417,-238,283,124,196,176,-108,-212,517,75,-170,294
-213,307,206,-142,417,215,-147,193,261,362,-193,85,216,-128,52,133,-163,31,164,-305,-370,667,220,-14,-524,-193,-340,-92,459,-226,135,-196,-438,-617,-436,205,-316,-10,193,435,-30,-370,-20,6
-256,92,698,173,-332,915,491,75,138,224,-407,233,130,-1,-68,-597,121,-54,287,-531,-10,-273,-311,-350,-511,66,544,319,309,508,-453,204,-900,-559,648,93,529,-484,127,-9,667,-189,-188,355
212,-35,456,380,-19,-317,-28,71,93,-312,665,148,-3,-608,-463,-154,73,-36,507,465,-708,-69,338,639,-35,-150,-51,-355,-118,31,-824,479,132,47,505,828,-221,-446,-40,388,-79,419,785,91
228,-242,-386,245,-803,-39,207,520,-752,-1165,669,275,380,-147,-655,-308,65,633,34,240,503,592,-339,-102,274,-115,-127,753,130,606,392,99,28,296,-109,-359,-674,241,615,4,53,123,154,-42
-345,531,-124,-851,129,-4,338,-219,577,399,-574,141,-417,570,684,470,-95,622,4,-364,-345,-376,-142,26,-673,418,112,292,286,-351,-363,-709,-494,-575,113,-395,64,545,97,-232,-579,-415,-158,331
-76,-176,44,-275,-95,307,-144,-96,646,225,-269,27,-670,-281,645,72,-41,72,540,-569,552,105,1,-257,224,-276,-625,-94,9,188,29,-322,303,-679,279,-394,249,-281,18,-427,437,-311,-136,-227
148,-312,129,-246,-78,95,90,364,186,-117,277,20,38,-665,-175,-111,162,-112,102,137,-562,-390,56,625,382,176,-299,-146,-203,121,32,-27,-18,-77,216,201,19,-450,-226,-360,-207,58,328,-384
216,-569,-402,-398,-174,-21,690,515,306,154,245,946,-653,153,-506,401,-288,358,-401,629,-320,291,-210,318,118,154,-492,-178,400,480,-441,68,67,-212,313,770,-513,227,283,-1264,223,-225,109,-436
-288,193,-331,-439,181,-466,-273,81,-238,-242,93,-61,327,99,475,-199,-102,-253,-927,305,-139,356,-288,-345,513,-302,398,-46,-455,-317,7,-269,1,562,-260,-601,209,13,391,836,151,-196,275,-162
22,-28,-68,-597,250,242,154,452,-227,755,-215,407,32,77,-185,-381,244,278,240,309,24,-379,482,159,-159,99,28,340,-252,58,298,16,-127,590,683,-353,-213,323,-299,-238,-372,245,116,-292
-46,304,-52,-238,397,-121,322,-186,-592,204,-1066,208,171,298,7,309,518,342,98,186,77,466,83,-673,-486,-69,143,88,298,-322,15,-353,-196,-267,-80,-260,-661,594,691,334,-833,-80,-333,451
-62,113,14,38,444,-494,-276,-473,-235,-26,188,-446,244,48,124,64,-229,-45,247,-58,89,-263,733,-46,460,-43,9,337,-399,-161,66,169,287,9,-769,483,249,-270,-341,213,-86,372,300,-47
74,-282,-706,-75,-305,-373,398,149,-490,-278,-60,84,-277,-52,-331,52,444,97,-72,-157,61,229,697,191,48,262,-35,542,-619,-310,99,-315,896,235,-245,207,-82,-37,-275,246,97,-562,-13,-308
-80,49,-257,-165,-467,-311,-86,423,-638,-153,184,320,-13,-202,-747,-497,332,767,795,-140,-591,45,97,286,-210,161,255,-433,241,119,-30,490,-350,-204,-266,-515,-426,-335,54,-380,-300,374,132,50
-240,116,-55,-140,-292,-293,-349,-181,267,491,-78,191,93,108,-427,-397,212,666,493,-78,-547,-107,156,226,-323,-151,-2,-520,110,-149,-14,248,-616,87,-68,-577,-356,-445,357,-342,-274,378,-49,263
