758,461,145,462,78,486,25,-151,326,-218,-206,424,113,175,-216,253,398,-208,19,64,-488,-725,-42,250,79,234,-9,369,748,-465,413,604,-15,292,-788,470,-187,-183,-143,1080,-222,-11,92,180,66,134,320,167,-441,-207
144,-255,-250,112,180,296,-232,21,-253,116,129,432,5,-83,-114,353,-275,-148,599,-369,-181,330,320,-77,-176,-168,248,-127,65,-66,239,-266,-252,-57,-92,-107,170,-382,-174,-469,580,877,-40,620,364,-101,-545,260,-813,-969
-54,-776,-304,350,390,281,259,-430,119,305,504,898,-841,-290,269,-327,323,493,-398,33,-453,-34,-108,292,-6,597,-265,614,53,111,12,-688,-352,477,297,671,-731,-118,-247,-305,57,541,64,-51,401,609,133,117,-220,309
-117,-442,213,442,-58,-444,-185,127,-601,287,29,113,-180,-302,-1026,13,110,-261,295,369,-507,262,-177,155,720,-390,-46,750,-372,-134,23,971,321,-280,40,-148,8,-267,-225,258,79,-436,236,-66,-11,-432,-288,-145,-692,-305
19,199,193,258,-17,-219,93,712,-59,-279,284,-100,644,199,255,-159,-135,968,-249,527,25,471,-211,512,52,-439,145,50,-529,363,-310,-89,-463,455,-109,524,-117,131,410,71,-1103,337,-83,709,-307,-68,-1071,143,276,624
-689,229,191,-224,592,-539,165,-20,245,0,587,377,-97,530,346,-163,-1040,98,809,118,31,432,528,481,84,472,-128,633,425,354,-921,596,-366,-429,-314,-21,-195,41,-654,100,256,-108,408,-439,-41,147,-41,-697,-91,689
-133,-118,-74,360,-292,-835,19,52,-575,448,124,-31,-39,-330,592,672,83,108,-203,26,415,253,33,-506,181,-633,71,146,229,149,-538,81,-515,221,-268,-268,-48,-15,177,199,756,-16,-346,-727,126,-186,135,-161,-265,600
267,376,502,269,-221,27,13,332,38,-171,168,-451,233,-178,-72,144,-625,-466,-141,260,-247,58,101,347,-446,-936,-432,207,-18,319,-51,881,-11,-145,-137,-52,-75,-857,384,270,-296,11,59,89,-382,-936,359,-188,-94,266
-287,-24,-693,267,-141,-200,556,-412,-107,-10,346,4,612,380,489,91,-7,101,463,-769,866,-321,107,-185,-343,294,-87,-479,637,407,-394,153,-762,-266,-418,-567,179,290,33,689,-236,-125,387,-389,216,-318,-15,-545,146,224
-242,-115,-402,178,-662,-38,958,-18,473,-1108,-72,-1100,312,653,-351,111,234,122,-308,-38,633,-200,-212,-122,906,157,293,85,-349,-629,-87,104,-391,841,-107,8,699,-113,72,195,-283,295,-98,-54,-141,-504,92,-665,-193,-28
-114,-91,-291,-150,-413,-233,367,-540,441,-873,-23,304,-644,-588,208,252,50,419,8,256,484,169,-412,62,139,119,-211,-201,354,31,-385,-521,183,-188,206,185,360,-58,143,199,666,38,-430,-164,-110,217,176,302,312,542
-2,-158,256,-10,12,128,-162,398,341,-550,-6,-46,50,291,-186,494,156,-28,-193,24,-112,96,313,838,329,165,458,851,-276,-627,121,141,-435,311,-152,374,261,-388,460,242,-162,543,169,738,413,33,-200,273,-209,402
-311,-1064,-165,126,564,1172,-324,212,416,40,-658,354,-351,603,-585,-182,-187,30,111,-522,-583,191,803,145,295,-1034,-235,847,-503,590,527,-249,193,-413,499,-78,-229,-688,183,-218,786,-280,-1077,94,-2,-379,-55,322,-269,-165
-198,342,231,-565,354,-327,-102,-324,-274,281,37,-283,-164,-2,-88,-564,132,-231,499,-68,-212,109,-164,-368,174,542,19,-236,240,207,67,244,469,-788,191,-357,-170,492,-1067,-275,225,-107,35,-253,91,289,-159,84,184,-206
247,96,97,-540,510,851,412,420,-25,-72,658,558,-1156,40,475,-219,-3,282,-625,122,-31,-270,-72,-160,-117,137,674,446,95,195,-243,-442,120,124,-348,-11,374,-330,-351,-91,-471,63,423,477,355,476,-106,-292,35,248
46,236,584,88,581,373,761,306,-501,-186,-328,34,178,-297,-238,-259,821,338,241,-96,76,-205,107,517,-583,125,-132,869,-15,-457,24,-270,497,-30,-905,-517,207,597,-124,600,-599,-238,697,-502,-320,-304,808,747,118,-241
-270,20,654,-413,-229,-395,-834,815,-164,412,82,-111,257,-413,-669,-622,-112,132,533,-188,-153,143,-344,78,125,-813,165,237,-331,658,-152,305,62,-420,-24,-116,-395,-428,-322,-98,339,-310,37,-309,-172,-412,-404,175,-487,-173
-398,235,444,-76,177,-881,194,-93,-739,-146,-181,-559,606,-231,-355,-95,-22,-177,625,-54,-381,319,73,406,-23,57,514,85,-21,154,379,640,276,-156,-486,-117,-270,175,-146,825,-69,54,879,-378,-351,-306,223,-319,123,84
596,14,252,436,412,37,-113,-544,-21,842,359,714,-332,-115,494,467,293,299,-90,13,-496,-9,463,646,-1,555,634,-41,711,-60,431,168,198,7,-340,353,-848,278,-420,629,140,409,200,159,288,278,94,-152,-16,5
-218,-225,352,-44,-372,-247,-174,315,399,-80,502,-239,-461,469,-167,-187,-427,-294,-88,630,311,661,51,-54,859,-217,175,597,112,526,-443,218,17,562,410,93,413,-995,-50,-251,291,-192,-974,-7,547,-185,-29,-155,-212,230
-4,522,-100,-304,-546,-802,-1072,753,463,0,-504,172,326,-291,-497,-57,31,-212,847,1347,351,104,-264,527,-281,-252,-34,-470,425,181,-1571,359,-18,-408,-175,-147,69,-331,538,-216,250,-96,139,743,490,-244,-882,740,-147,-106
271,12,-145,475,-236,-195,-253,-258,64,329,-93,361,301,-448,-39,76,-139,116,27,3,-39,-192,166,162,204,-472,-498,-150,-313,-136,54,-158,-15,-59,-141,-158,-62,308,242,449,-397,123,-7,-144,-87,478,-118,206,-287,138
329,-459,-216,727,-459,320,37,-133,200,390,731,222,-384,-576,414,-169,28,-148,-136,590,-490,353,950,128,-425,39,-267,-277,-389,-445,433,-551,75,755,0,733,-707,-812,-38,-315,-124,803,-958,18,642,349,966,-175,-954,-63
-263,-564,-386,30,-154,439,428,-167,-536,186,-303,-856,37,-232,-896,-974,187,-941,-136,-356,-145,140,109,-124,39,-29,-149,-313,-779,-354,101,-344,320,-73,-376,-83,578,-344,340,-590,-191,-123,123,157,-3,-949,509,-297,-702,-498
-155,144,475,-117,301,-32,-456,430,416,226,-375,410,520,361,-72,-142,-212,406,449,-40,-112,-501,311,655,262,-259,13,320,209,695,-186,-209,-548,-24,-31,-707,-596,-136,15,804,464,-113,-190,426,-742,76,-474,115,107,-42
230,-87,360,-1,-290,-486,-306,-429,378,489,271,122,-159,193,451,48,470,110,-205,213,493,-124,-85,289,248,642,649,-266,370,325,175,-625,-483,481,-44,-169,-330,-282,-354,372,530,-128,-439,-509,293,118,229,325,-209,-217
-441,-319,-730,147,-416,-200,523,-530,286,-778,24,351,19,69,91,-24,56,128,670,131,689,-175,5,-312,9,-216,-707,109,-545,-381,-26,-253,579,741,-222,22,391,-13,-217,308,336,76,331,-596,-261,-348,255,182,-699,6
90,445,111,-175,-336,-140,-74,-421,56,-232,-193,-137,481,22,-234,203,-81,-393,667,-140,-63,-534,-95,74,-374,-177,-355,-726,124,153,277,375,807,-37,383,0,285,355,204,309,-313,-191,671,94,-181,-121,289,-114,83,-132
475,618,627,-452,5,664,99,398,181,-1,-212,-574,-62,-315,-333,-227,252,-246,-779,-382,-284,-63,-34,-395,371,731,545,-344,143,-805,119,-364,342,324,-420,55,-232,-30,133,348,-463,36,-11,437,-130,196,-394,-427,139,-542
259,-528,-650,93,-198,559,-246,-1508,1406,-42,-322,506,-228,1080,-398,-364,15,-723,-5,-229,278,-546,-75,192,873,802,-422,55,200,-398,300,-214,-140,243,134,514,-660,30,-31,113,467,290,-427,-267,123,46,204,323,224,-319
