-304,633,493,-52,166,113,-1360,-203,-202,925,985,-444,-431,234,918,-803,-574,695,405,390,-964,851,1855,928,1067,578,-850,140,-547,402,335,650,-361,-790,-100,-400,-716,1267,-454,420,-998,-791,-493,343,150,125,155,1113,-543,-334,-2,290,453,1032,452,739,497,143,1079,1049,-1187,-690,-368,84,-170,153,1134,-919,196,187,519,32,-627,-421,-26,410,842,479,-656,55,-297,-1432,79,-528,-303,92,421,1149,-487,-581,-1828,-162,40,-122,110,-577,54,-524
-17,-792,-327,1079,-917,-1095,-678,-122,879,-204,233,-545,114,-338,1095,-431,643,764,1570,711,-70,810,911,-518,-69,-125,-763,-439,187,-1350,-413,511,305,215,-206,-1116,-545,-728,-1366,744,-942,-905,93,-87,-455,-338,-482,171,1426,-373,1333,-534,1049,-501,-132,-125,449,-375,835,258,-17,-30,-12,-610,-9,-206,-442,-676,-210,-607,-937,-16,-1558,31,155,302,-147,766,26,-237,-440,-301,-35,-68,429,-768,-88,156,1262,-635,-766,-741,796,549,110,-1441,490,-102
-12,90,-9,-46,411,299,-21,-380,734,244,-422,149,-108,-310,-393,-233,-427,755,-283,63,-359,-359,445,-384,-366,611,-448,1255,-44,228,309,236,-391,-52,-619,-304,-274,-150,22,-449,309,-82,669,21,467,599,164,399,-23,-753,1233,-157,450,34,-1170,-73,70,-76,-224,-302,-576,299,-17,169,175,344,502,-608,-18,-851,225,544,-57,90,119,435,650,287,252,-211,157,-672,-68,18,426,330,965,739,-261,326,151,623,374,772,466,186,102,829
341,-775,1228,-874,522,-416,1073,-759,-961,-154,144,-211,87,1574,-737,758,395,-547,713,-537,820,-99,-1221,213,1411,-788,489,-372,-79,1117,-1671,-115,-340,299,-297,204,719,-1754,352,-40,825,627,368,12,1330,1822,462,435,372,1607,-994,1121,1117,-2029,469,-895,-189,1319,713,-397,238,-747,-1219,-171,-687,924,1861,932,327,735,1485,-279,-472,188,-630,-1414,-720,-1050,-569,-596,1135,58,329,-911,-30,-1953,895,-719,-704,76,1454,-1435,1498,-511,723,779,56,1053
728,1132,683,-812,651,255,-195,577,363,-881,-1479,364,41,819,-819,-375,48,-530,-1131,-684,-506,461,-502,375,-128,-126,537,-1070,-806,-610,152,-982,309,-845,-641,-148,-333,-202,467,-79,413,-683,-230,-239,-664,571,-459,408,310,811,895,-733,-23,-1217,-194,433,1522,613,-982,144,-1395,-169,575,-90,-45,-238,-662,-1464,-214,16,671,-351,-171,1032,-1286,-333,-823,562,-402,789,768,-500,-521,-119,758,1482,1091,102,-112,-1300,636,-850,-244,818,-93,-503,-1062,-27
136,943,90,193,-737,-243,-1302,-88,572,-482,-435,360,-269,-880,-113,-984,1068,-601,208,-1000,-1511,258,-408,-438,-672,183,-297,374,-630,222,124,-18,786,853,447,1267,-426,-679,-795,869,-249,-1344,-636,165,-881,-657,-399,-575,659,-222,154,-14,-1226,-406,-30,142,564,-776,-876,312,573,-154,340,-50,-192,-736,-813,-855,149,-113,76,-1966,228,479,741,140,-80,306,-373,1013,718,-242,-1008,-151,449,-413,-297,-220,426,500,-53,413,-1519,1469,-1380,-690,-314,-514
548,151,320,-286,1110,1008,-88,-360,-304,166,-318,-491,893,-411,71,997,-1207,1185,-762,-229,258,-426,-1351,1159,-97,1008,701,-1118,1545,862,410,24,-372,-462,566,152,-179,1653,19,370,1121,111,-383,88,-15,-77,212,-4,32,-126,521,185,988,794,424,-698,-894,-301,-173,950,-262,49,-485,1026,-395,-814,-118,-685,-557,1213,17,1361,-922,-1336,581,333,-89,1386,611,199,-358,64,-908,-46,-145,1507,-391,-539,-1000,-139,518,280,1413,54,581,1027,-69,1098
-368,-425,471,-108,-766,720,-742,-1037,-1518,-34,779,-358,-668,-182,722,524,-1508,-806,-896,-1939,-1052,798,-922,-66,736,372,118,-461,272,580,36,-673,-1068,-60,9,-831,515,863,14,-1169,-1677,1565,-508,222,581,-458,568,510,-315,279,268,648,-222,887,1021,-731,96,305,-783,-613,-48,1799,822,243,13,-150,462,378,1466,38,-261,150,-1594,965,-115,-1038,-234,-253,-116,-151,1059,114,-1524,17,-412,127,-348,-376,-409,99,-989,1035,-689,-369,-1675,-696,-547,-1407
-358,-1100,898,-118,-458,-929,-431,-2078,51,-941,1452,-496,594,-233,307,736,-609,-527,145,-124,-1054,-662,-571,-698,-465,-75,-477,916,996,-377,1291,115,-131,1367,250,380,-371,1351,-20,1496,392,185,-159,-114,101,-301,359,-369,464,511,129,681,577,-268,332,-1066,264,-789,142,1115,281,-580,380,979,-782,-190,586,-919,469,-531,51,2,197,-1170,956,204,369,-448,832,1339,-489,-570,-291,158,620,-423,264,-219,1146,836,219,2060,-241,576,-249,456,539,931
-1082,-658,-515,270,-799,-936,-1200,-1331,548,677,1635,363,26,551,-43,-404,-548,-196,410,-250,199,1011,1899,304,656,565,-1711,-24,543,931,476,373,-334,-703,-99,119,24,310,297,425,68,274,-577,-522,-136,-261,882,-7,31,-33,98,837,210,-105,390,-730,-168,153,1860,131,779,-157,-661,-819,-296,148,-277,-497,987,620,-122,-2004,877,-1199,-149,-220,1106,-149,861,-492,-272,-959,1515,-22,680,-378,70,-410,710,1704,-736,950,-473,66,863,-176,573,274
-1307,-965,282,-460,-1615,-909,-129,-1721,532,-430,-438,405,1612,336,1136,282,-1003,688,-559,-95,110,333,-215,-1405,594,1051,-344,1894,1024,-737,-20,-826,364,863,-490,675,187,-492,-633,958,108,1162,546,657,1505,-147,185,-266,-34,268,-134,-428,407,314,-35,-439,249,-984,639,-1120,92,-66,353,-284,-587,-481,690,372,-733,-1471,-2053,-162,778,-413,173,-162,461,-1207,-593,977,295,-293,-152,415,1245,-297,-14,-1300,718,330,-70,639,1144,202,-738,185,-100,750
-871,-1691,-1463,1379,-1776,-1072,676,-766,901,-232,1227,-543,-678,-1052,909,-12,635,-711,1083,1236,805,32,1092,-1350,-1754,-922,-1695,1624,738,-1342,-46,784,234,1591,1319,653,144,-263,-683,721,303,183,314,-2,1075,-732,1008,-1308,124,-694,-1200,142,-1118,39,-1131,10,-1360,-1013,152,-136,1697,344,500,-1453,-440,91,-607,1038,-312,-1653,-1262,-60,73,-495,1721,619,240,-1802,1479,-795,-161,1149,807,737,-1117,-1167,-663,-116,-525,1690,-180,1286,-884,-1129,791,-270,-168,-697
486,968,1004,562,313,-947,-1798,26,-366,2219,-329,-545,-1995,-2346,487,-720,-704,370,-184,656,-2583,28,-444,720,96,-2260,675,469,-2078,287,-396,704,-398,-598,90,-478,559,884,-255,-632,-621,-218,295,636,-505,866,-197,1912,99,-852,695,500,-423,825,-1,274,412,-1865,-1312,957,-948,743,1086,-83,1295,-278,835,-644,-1260,-371,2077,1523,-1571,-231,211,739,1023,2175,126,-1650,-828,-671,-603,-288,-1258,-254,-349,55,269,-1573,-126,-306,-1414,-227,839,-371,92,-530
-689,-1166,-150,20,-861,-1447,408,-184,491,-187,116,-438,-571,726,83,-17,782,-1263,-159,78,133,803,-97,-1050,517,-633,-17,-502,-623,-1410,-1422,976,-381,358,10,-305,-5,-364,-163,1153,21,-618,-62,-6,608,167,808,14,226,1032,40,608,-235,-365,-1138,531,-704,-990,-133,-263,481,-422,422,-1934,-1039,973,64,992,282,952,-345,-926,-917,279,-307,394,-125,-523,-148,-1578,714,-462,26,-863,-669,-1516,-558,607,1738,-168,-606,23,-756,-1020,1016,-67,176,133
-221,-496,1051,656,-835,-773,-416,-906,518,-784,73,-241,40,160,681,535,-313,-460,-490,9,-1360,467,-568,-1331,-922,-830,-569,1022,-237,-1928,744,264,-242,547,84,-494,-282,1369,272,1218,-588,-1091,-133,639,771,752,-599,-352,273,1070,1160,536,744,-522,-11,797,205,-860,244,-418,-541,497,958,-80,585,-342,-631,-1254,165,-1637,-423,-834,-1028,781,-80,-834,129,-432,-940,973,576,-763,-464,-833,267,184,-475,181,1320,-406,-1093,617,-739,369,-691,-398,49,488
-1926,-818,-503,-1292,615,-531,137,-1030,1454,-22,2157,816,921,800,1217,-219,-1064,-190,-1668,-627,393,567,1326,-1495,240,1780,-1312,-111,2005,-753,1857,929,-552,-225,-254,-751,640,1934,722,1520,488,584,-1235,208,329,-828,-676,-706,-962,773,1027,136,490,-350,-395,-1028,-1025,-186,766,-1203,85,151,1311,-613,-1747,1754,-1605,665,214,1268,-1714,-1474,77,-1061,-328,596,1303,-867,767,-445,261,359,376,1109,491,-1491,992,291,861,1582,-1304,1143,744,471,-668,24,1605,-606
-1209,787,835,-1413,-883,47,-501,-232,-170,1079,-1489,882,-346,323,-1381,294,-1053,176,-398,-2178,914,581,188,-62,1998,1732,426,1517,-577,88,-180,-206,-181,22,-258,111,-405,-1164,-1201,-86,-698,-539,998,139,831,-188,465,797,-269,589,602,-449,-1258,13,-264,688,-498,-570,674,-979,-114,-154,-150,-258,-509,924,-180,212,514,-734,-679,-1081,439,1102,416,-974,-1405,-760,-1145,-200,515,-1033,-142,-81,-64,658,-75,24,273,382,-1041,583,120,58,-1104,649,211,544
-925,-161,-303,-281,-327,-1516,-1089,-978,1505,922,782,557,129,-1210,1101,18,-261,60,222,-235,-158,871,1210,-482,1081,-28,50,558,195,548,88,518,1300,868,319,339,1564,135,-1416,578,929,447,653,-654,186,-154,475,-9,432,-85,-555,-1193,71,-1504,-409,-1142,217,-1769,-674,-314,728,496,799,-1252,-455,639,-612,-52,-924,885,-374,-1132,-611,-152,268,321,1107,-200,750,-52,182,193,355,569,1159,-1725,1554,206,1301,1545,270,477,-310,-207,-84,651,390,-110
-270,615,-100,-1027,1203,2306,1299,50,-344,-770,-1064,404,605,576,-637,-236,-247,1299,-1072,-244,958,492,-424,802,-303,1062,991,1119,383,790,1051,199,674,170,-988,-1786,-1605,272,714,-1205,-1135,319,299,679,432,346,-1662,-1443,-154,-881,368,130,-158,632,-114,1337,-556,618,-47,-341,9,667,-89,1090,-1408,1072,462,808,483,-853,-948,933,1396,100,496,-1077,-849,-283,-5,-33,-134,-288,-1705,884,-421,303,-70,-8,-988,217,-253,376,883,18,-38,35,-789,227
-748,544,-216,546,-312,-608,-695,-471,1242,223,-462,928,307,416,819,-567,-537,396,-1387,1057,-1017,1681,1990,138,-139,-845,545,569,-1127,-845,1225,104,990,-573,-599,-167,216,762,-245,655,-105,-326,-1002,504,1326,71,118,303,576,-939,136,578,-924,-52,-387,1285,1239,-764,193,-453,-121,-52,781,-855,-529,-52,-1589,-886,-347,-1012,-259,-563,-357,958,-136,-501,298,-426,-90,875,-330,114,1250,-30,278,158,727,257,360,156,725,-464,-1635,-939,-496,-591,-1826,-51
127,-597,-777,417,226,743,292,-215,253,-291,330,60,283,-405,705,-940,104,1175,-389,323,-22,-317,347,-927,-1322,825,-581,-595,1260,-1152,563,45,-448,-82,-1000,-139,445,-38,-240,-443,758,1274,-991,402,160,-745,-1081,-13,-100,-1239,-359,40,392,1028,-213,-357,-48,-435,-1670,269,-532,655,591,446,-139,-718,-311,336,851,-648,-1381,1078,-385,-1105,500,493,-14,-117,1034,92,-553,1095,-1163,651,490,270,256,-569,-432,645,93,-346,663,356,-2,-62,-357,-808
1297,-407,500,1229,892,1781,874,183,25,-1161,-232,98,759,103,1014,1674,633,1135,-759,1248,-1233,-141,-395,93,-1563,-170,861,570,299,731,481,239,-83,866,274,-876,-193,185,702,724,-94,-365,355,243,1316,-225,-219,-435,584,-492,690,1235,1622,293,394,-309,-235,567,1155,-810,127,610,171,261,-1142,-421,-39,-387,-1103,-541,172,966,-183,442,-233,-135,-664,384,-15,1205,117,289,-1577,-806,-1,817,-843,845,-907,-812,1058,429,455,-72,388,-459,-616,1090
662,-178,527,-637,198,540,792,-1129,-1081,-1884,-984,-1065,930,-561,-41,660,-181,-206,191,-265,-230,-1506,-2096,-366,-583,1106,423,-4,-203,-337,-177,-435,660,-532,189,703,-687,295,194,-765,47,638,-172,-1054,-63,-71,-1144,-1952,431,539,160,-750,109,-96,-597,-325,160,155,-1069,159,419,-99,841,504,-274,-784,764,638,-803,-659,-486,639,546,356,252,-1091,331,-74,99,398,809,1256,-73,428,657,322,-231,-499,-612,-752,-69,1141,-598,1480,-107,145,-497,958
