-379,1008,-26,909,324,107,-20,-290,-789,1020,-1003,-1164,565,-317,-311,10,536,-1379,1994,-3,564,-554,287,327,794,323,-744,-911,-436,575,778,521,288,630,-249,744,128,340,399,-63,-116,373,90,-309,398,-632,-320,-207,326,185,-1552,222,-1401,-173,-232,205,-502,20,-302,923,230,-493,741,-169,-1259,-370,102,-122,-379,629,481,-10,-1222,-16,977,754,-522,-620,-1327,-261,-520,32,-840,8
-830,546,594,-803,662,638,133,-1002,238,-143,949,559,441,-915,-593,449,-832,-633,216,-609,-308,440,-804,1985,339,-835,-532,-765,824,871,-1254,381,-139,-176,-82,-828,-71,133,-128,174,707,1085,-144,1394,165,-1102,266,199,847,-576,217,-54,-34,-568,50,408,-7,548,42,-763,-619,-259,980,831,-1005,-174,-426,657,399,569,-3,-552,1029,162,-595,1384,-1123,-409,-1167,-389,117,-569,-1315,-64
66,472,640,619,33,-313,188,1904,-111,-931,1306,-289,-1215,700,-930,-528,86,-106,249,-628,266,-505,-212,322,-188,1175,128,-1311,-630,-915,1308,-680,-86,691,-358,84,467,39,595,-222,1080,174,1207,402,643,270,36,-793,0,-226,-377,-154,58,-411,-483,97,-1292,-558,-236,170,-713,34,-409,-556,230,182,76,-407,652,392,247,-447,-549,984,6,-907,-101,854,928,724,-1132,-335,-486,-93
143,-454,-1636,-323,-597,429,1133,60,615,82,11,-324,95,1351,809,320,371,-74,-1496,815,944,141,1335,705,1206,1191,678,502,-597,-131,-144,-1286,848,539,-374,226,-923,362,699,416,-1328,-74,-355,-188,110,769,-1258,-358,-515,-588,623,329,280,33,174,-135,372,1093,-187,1339,152,-332,-889,524,-453,-379,8,462,-506,-496,1053,832,65,777,234,-1338,-921,586,295,-120,854,935,-317,2215
296,-542,245,-934,218,-218,500,-124,320,-308,512,-448,-188,-82,-105,-535,-396,-251,-544,337,660,255,-267,369,424,-286,91,-244,375,-248,195,-494,-740,4,-7,677,-818,1108,-169,950,-266,-535,215,656,-619,457,-162,24,131,-129,152,-153,346,-462,-84,24,38,-157,988,-27,-864,259,-72,-390,-324,54,-548,267,228,-155,-288,-419,515,-421,-67,243,-529,240,1213,310,297,-318,-678,-282
-282,-302,-156,188,405,131,619,-408,250,300,-291,-822,682,489,1032,-385,770,163,773,146,341,344,485,-60,351,-214,-513,-469,-12,-257,751,266,-329,-52,27,1090,-646,391,-30,-166,-394,416,-218,140,-785,-702,-143,384,6,-396,-558,-285,-408,-293,-367,46,-367,-146,39,194,54,196,830,-280,-1034,474,164,-109,-239,-839,-245,609,160,611,-308,126,-420,-770,101,-20,691,48,68,267
-1242,477,-49,686,-104,208,-1198,-108,-158,119,505,-29,-895,-600,116,-662,-629,-808,-1176,-215,83,1453,308,726,-474,-72,1472,480,808,176,755,1277,-21,425,1116,-1418,1244,-897,1110,-1381,1674,109,-578,196,667,164,-2033,86,523,-1615,-187,54,379,-87,859,-1041,-840,-549,-375,-137,439,311,65,242,-254,605,203,-161,769,-285,-773,111,-550,-171,-580,-203,-355,218,-679,-178,442,880,-1663,-452
-780,-582,-716,989,1579,1005,401,-998,-265,907,-203,-711,721,401,1149,66,424,143,810,945,422,476,849,-57,-372,-615,-740,-104,76,1004,1056,727,923,-1342,547,317,444,639,-536,-727,-34,573,-1565,-1090,-383,-1108,-470,161,-176,-194,-1268,-438,-32,257,677,-146,-913,-208,-156,-538,200,53,-114,321,-508,-778,511,136,-910,-1279,94,1296,-557,-557,-17,25,-261,-206,-539,-367,-912,-86,-38,-921
-82,-68,147,293,-415,488,-68,329,-370,-503,-710,403,-366,-354,-420,-229,-339,-349,473,-177,325,-73,289,-888,-103,1483,69,856,40,-1780,-39,-176,-641,512,439,73,871,-1639,718,34,-844,-724,-1076,-68,-712,976,638,-120,625,653,256,-1,-73,-77,-828,-599,-989,-64,381,1252,289,358,127,43,121,49,-4,-1460,553,-822,295,1172,-366,716,203,-1371,289,-1131,-623,-390,2,237,-9,289
354,-742,-191,-95,-535,-30,-205,-343,389,1332,-972,373,156,-523,1173,-904,1592,538,-288,-174,120,544,291,-1044,-154,806,-707,688,-1132,-43,-27,-259,-767,-715,1671,429,-459,132,-933,281,586,-1177,-916,-900,1012,926,-521,334,-511,-343,-83,405,-496,173,303,377,-815,666,507,754,861,646,-830,-1045,829,259,-356,459,667,60,277,-471,-3,-1194,-788,-690,1227,606,780,496,287,-51,978,-288
