-981501,-3507030,1503554,1579450,-4489900,4081610,912737,1385116,3374187,3274317,202299,2872885,-929246,-2973884,2076282,2308527,-2285009,-153322,1488175,-635499,2851172,-8396433,392607,-667415,-2917642,4746429,-8349943,2878478,2938819,807484,485941,-1162316,-1383462,3170609,3089679,-948727,-4506077,-6978998,5049423,2002555,2390919,-3047169,3314101,800455,3093990,2481559,-2116437,1451795,2080635,-2012858,4150448,962198,-1858614,4125200,-1361626,699494,195449,-1390035,-962866,-220936,-5685437,-1613098,-4047437,-311972,-1004007,2849216,-110973,-3570078,-6151293,1935181,-4008557,-2633472,2107105,-4491925,-241197,1674653,4671552,-1573979,-4057122,1463872,193153,-2882963,-4282897,-5916812,4261079,124957,1422693,-2595996,-1968306,-1813040,-2264898,1070288,4129625,2807116,1397222,-3424092,-592173,-5317543,3324800,78371
-2320924,2225049,-1832977,-3441772,-4874597,-7641927,-782397,1292537,-634769,-1006269,-844213,-984636,-1472410,-2393475,2818315,-72761,1097911,-894619,662331,-3038667,5005446,5747120,-5373827,-6610350,-4723622,-3231769,2499561,-628207,-172051,3377854,1453815,-2336483,-1297547,-2870142,-4713081,1523946,3404126,3117101,-1459826,-613057,-3061695,-1532414,-3852835,-674722,2122967,3779491,7411892,-3557134,-3871771,3969171,-539805,3202921,1526827,3329751,1185548,1182465,4139975,3745442,-1259393,-3503653,7046012,2911106,2293582,-5076044,374612,-1979770,386093,-3752998,2513635,4758809,-2407760,-852239,3534905,5934434,3299325,-3711862,-193941,-769882,-3827240,-4790072,4649443,741300,4815811,-4025029,-5106600,2563898,-431563,285966,-3079970,-1096074,412241,-3659147,3983436,-2143001,3957245,-1506549,-2159884,6073137,605543,-3964056
2570847,2213986,-2284317,-4028626,-1287812,-2008303,1274723,2245211,-5021795,2003015,5456047,-4402515,-1843850,-975958,-1708151,4201396,4345598,453525,-4116794,-927769,1378425,-1658106,-799582,-3717269,2217331,1981126,2151877,-2668632,-411021,756670,4395762,2126631,-7154305,-974764,2268188,-812872,-1228427,-3883461,1668958,2056433,4652723,-346575,-669973,-542216,5418166,-2871685,6215703,1546509,-3042382,2332561,-1455964,3687320,-2997374,-1130984,2296127,-1913215,-1918695,1060982,-1647988,-133439,5793022,-1209089,439612,-3047190,-3609088,437914,2018631,-5001324,3403276,128712,-5765477,909372,-1323147,-403184,-1302514,-534775,501911,384736,-522980,-1110244,-725922,-5135785,412913,-324117,4190397,-2139234,2935447,-2526211,-557554,2092966,1034192,-5196385,-462523,-118358,-6286174,-2156536,554856,-759993,-3537083,-855068
3118979,-410891,202729,-3183768,-1027841,-4762,-2249301,1181840,-802010,954644,3700443,-773441,-2870700,-5051222,1083506,4289192,2189907,-1140941,2024894,3150379,4400553,-1599358,-2955918,-2997572,1513035,1487876,-8430250,1236042,-161491,-3427213,5613788,-2625993,1171824,1074484,3216066,913023,2199949,-644840,3050998,1410769,5241195,-3819846,1418112,-1339248,9083029,-3740805,4207707,-5256056,-1577839,1979828,6184583,4000456,-2973700,894787,1281634,1288347,-4227920,-2768451,-674873,-2889492,-1984316,4070954,-2012390,-97530,-4113331,3440094,513990,329509,3110225,918916,-2118554,-114380,2892224,-2361299,2799814,-552908,2979050,-880286,-758176,2148269,2104647,-5873261,-820664,-1914042,6355207,825067,2214269,877028,-2075565,1683541,1867825,-3823729,5518363,2572022,-2892975,2732081,-938865,-3842372,-2362767,-4813992
-1540200,391005,-612766,-1091823,-1453616,-3128306,-910578,-4894011,-7498523,-3118127,-4908139,-1777954,-924731,-1045974,1094600,6393973,-4062787,128978,1090094,-2703621,469415,1649946,249431,-922099,889624,-940489,482283,-3476239,401898,-3719171,205096,-354388,-250412,6400778,-1669861,-1984217,6651344,-2339193,-932445,1889549,2144364,727693,4892398,-8742920,1309546,-2330703,1689975,-1816662,-2405139,2252670,265297,3117890,-490160,1118367,859826,5335329,3081903,-1579741,1111946,-3486756,2479517,2207062,-2913084,-2518626,-6423046,2879722,-1499182,38388,-1615024,2728538,-1567864,-1833818,-369691,322651,2859183,602702,850157,-31421,3164893,-2428068,-362078,-555150,-3924112,987061,-818803,1196012,2776497,3956319,415228,3898082,1952726,-348574,5123332,-490601,3856590,323801,-966849,-752942,-4025720,323371
3226588,1596739,-913915,-2449230,5081397,-515761,5519594,1459308,1803301,1509237,4199757,-4432041,-5019947,-5196816,-1143041,-3559329,908456,830457,1975357,375042,5426851,1229214,3272691,1012102,1271450,-1867985,3886515,7254856,-2912180,3287503,719223,346136,-1922702,432958,2268782,2861895,7042919,6236851,-601620,4034705,2840048,-479111,-1359433,3510016,552483,-2204437,-1327589,-830904,1036604,-2142551,4398491,145308,6070472,-1570187,-37934,-1775688,-9329941,-53205,3755506,-2938159,-479262,2483192,-146768,966282,1118222,-2660561,2169737,-415337,2028125,1154980,-51912,897284,-1848002,4462272,3175064,756639,-7535339,-1435257,1207373,-718647,-2542063,-4396395,-1465927,1287087,5109337,-2916849,-6201381,649134,-3419979,2057069,-2837910,-3087412,-1271428,3119280,-2065071,3097698,2228976,-4821053,4859705,-1560266
5856925,4644568,-1209417,-2773147,-1504794,-3897000,-2782415,1348721,-2233057,2972982,3788983,-428308,-736563,1280015,7253480,-271411,6204000,-33149,-1403343,2102771,604928,2341884,-1521944,-2824706,-2306023,-13986,-687462,-3970777,-3123339,-691437,-778166,-5873038,-3046588,-3200626,-940450,1327353,-1448816,4701899,-898485,1340780,7243736,-3125664,-5822377,4044627,1224916,-1301122,5435837,-3281808,-4999032,7444141,3098738,3724106,165165,106250,4586227,6445437,-1313037,3591418,-3178254,-6725483,2988135,5970988,-1354978,1735492,-1754107,1604260,1813224,-969054,2067499,-3020991,-2317880,-2641510,-1056385,-1587177,6145346,-3338624,-173191,-372789,-3149952,3178990,2718646,-5216890,5572630,-1288360,3380270,4622217,-529850,-3497873,-2026919,-977407,2273207,-2017319,2579678,-1208986,-7588067,-916173,-3381637,-508930,-3807165,-5750670
-2929758,1293321,2061496,874502,186592,-608756,-4172038,-1505101,2378430,-1361685,-3039163,2694593,5631178,1443609,3210631,-1201794,-3353081,-1649724,560618,1411316,-3141741,4044108,-4994344,-2611175,-2696382,-1854478,2937485,-3127661,1947316,-1174843,1249999,-1933943,1918329,1558788,-6240613,-3767718,4198936,1051705,-3035047,-351455,-2100610,373435,-753175,-695176,-4608210,-1867751,2940109,-11114,-2177467,2427059,-2381871,609229,938167,2335791,-3148130,1572902,1480597,-503939,91195,620567,-13374,3058608,-2532732,-2053381,2070587,430599,-2237281,167040,-2194861,2033259,-1114035,504328,1545478,1418468,-2194275,2705303,2805179,956592,2489182,496347,-575135,24932,5284344,-567148,-4439735,93574,2172823,2130976,-561331,796992,-140698,3339073,714096,-2651339,2887483,1345340,-315719,3413299,1763202,2344162
-1676357,1901076,-557351,-4145752,-1329830,-2462218,-397311,-4064058,-5343993,-3720176,172752,-1091378,-2020482,-772785,2061313,7601997,2313705,1390026,-556559,-104766,5216395,1058216,-4563378,-2729320,1082526,-431358,-648226,-7423952,3210485,368145,3509592,455165,-3779054,9408981,-2913848,-2926319,6591143,-973539,1432558,-833343,-1378057,520540,2848190,-5892365,-36699,-5756304,3238143,-1094020,-4083832,3813678,-233098,4702736,2310901,2874043,3394736,-1428491,-2569198,-2076319,1576958,-4709670,7167879,1333363,435281,-5741416,109844,-567010,804762,-3458620,-2378867,4505723,-3912610,-2315350,1640440,704322,-2704499,2154010,187401,2875075,415713,3671774,2323371,-261142,-2901397,-4173995,2119339,2089636,686970,743153,-113937,3732426,5615465,-1593735,4451680,-4568167,590076,4490038,1572085,-1910048,-904048,844778
-345824,1755920,253440,742152,-1999491,1244368,-904686,1122822,2290113,-1013626,2430122,104102,-1406839,-2768601,4562186,6545280,-1541984,976654,-4195085,-870621,563244,-2371667,-1746597,-5158765,178214,4223139,2750445,-4815438,-990424,-3844889,4142514,227733,-6478342,1043612,1947740,880796,-2267314,-335578,1643520,1495734,-182401,-303334,4085528,1795754,-1509643,-1426116,693301,676299,514785,1465903,539952,2636436,2749716,3343304,3235862,-680228,-904157,-1350223,-464104,3045822,701968,726321,-1109703,-702490,-2249718,-1595612,-3477060,-2029692,3372535,2991432,-5072503,-635048,-4480058,1734753,-5892625,2581261,3167963,3296812,-2986243,-669334,46736,-627535,2158721,675986,-801457,2657393,2809049,1405174,-2950245,-1870052,-1564745,2076379,-3099450,-1444097,-2678674,427335,2515367,1123469,1562925,-1692596
