16672272,-9194701,-6658687,4368958,207246,18534887,-3471779,-5053178,-18236072,14369238,-23081336,-7294378,16680231,4408834,15635042,-210844,-12125598,9706769,-4476375,-6891403,-3113210,5849347,-11726538,-18766123,-3347527,-11978640,-4946388,11357722,5361124,9858014,2983584,6394918,-22760451,15777465,4135263,-2981108,9654002,-690978,3326466,2451843,-542422,21857356,-8292993,8962788,22179719,-24728651,730899,-1678773,-8836765,-26642418,16025486,18871045,-6591303,14752039,-10024335,-18023890,1656836,-2996970,-15374544,-10916364,-6708471,-7219642,448343,16856839,7170604,-14640114,-23114904,-363798,-12041178,8322677,31996751,-12393051,3529348,-24685308,4119380,15673287,159683,-4599376,3615886,-14915143,2296786,6164884,1741995,1036808,-13428945,2988076,-4993909,-2407844,12151154,6564360,5901905,24175851,-14100091,-298917,10478427,8218537,-6531261,2193647,1651466,-7403776,4882519,-7580031,11336229,-4217841,-22031242,41787496,14894114,2655942,-18151194,-8961079,8425011,-12906344,-4668326,-2634752,7300865,26592269,14979187,10604531,-4790320,13568826,-7682309,6209342,14013787,16830739,-6120613,-3926923,-20746667,5173641,-5604682,-9070683
12891452,4048748,8271914,12136881,-11554688,-440322,-13016920,1852896,-16548522,-406890,-8076444,-401060,7182846,12587541,7249468,185805,-400978,-14337473,5442488,4448664,-2389440,-14611279,10848490,5760730,2447929,14613495,14379251,7098480,-13978661,-13309561,-161592,-7499115,1435012,4543602,-18870074,23706782,5846435,-17916910,-19648534,-17364387,8253311,2300138,4996010,-6995477,-11647486,2112529,-4554200,-4165000,-34925573,-14116600,-19758448,-23323610,5004630,-15719748,-6906266,-4792036,-1708329,7804556,17134041,15070593,-2076509,13264942,1006944,19392291,3340351,24546173,-8392618,16874686,-13163891,-5179180,4032691,-14832441,29959593,-6671468,-9730753,24124212,-14480938,-21296140,-20364124,1679088,25984390,-10110214,-6822380,-3680098,-1654400,3181925,-15070835,7675560,-637381,12208396,3116907,-21965597,-32841529,-9264686,9749372,-737499,-15174625,2546021,11832396,-20114247,16408731,4624416,-9984304,-14428545,4536228,-27761629,-6741760,-11143429,6717784,-8026337,13425314,-6791387,4833728,4758899,15604079,8405130,-7979205,4681299,-15404915,-2520148,-6632309,14168009,-10903927,22147169,5409060,-3644016,-5525798,-10124204,-6362586,-5774014
-5221231,12498579,-2504703,-1133016,13103845,-15805657,10408105,13472417,15360864,-9320974,18540041,-424736,-7096010,-1501363,-17547371,-2065048,-5821409,-13460402,18467853,225659,-11011430,2376807,-11347241,22326898,11518844,7674047,3247633,788516,17415134,8856226,-18019184,7215102,32137678,-5824887,4818124,-10714730,3431325,4668159,3322749,1671976,-4410022,-13473927,11525517,-10864603,-4017390,-1371230,6033150,2825509,14181326,3586030,4828752,43622,9981954,2100314,18557853,173767,-1233395,-14220097,4381401,5710977,6996141,2759052,8735692,-36521114,-15744964,-698872,-8164147,-3588688,11818953,12541197,-1511971,17980677,-2875341,-14159579,-10036447,-22046149,-3108712,12595960,11309828,1684430,284109,-7745257,-15903128,22507980,3749816,-4001298,16451787,-4329319,-9743154,-24092216,6597336,-1743289,13504903,-8346807,7814808,-11415625,-940395,3483644,-5273054,-4894874,-5533465,-5910090,19344452,-9535652,11922447,-3472333,-20097545,5345113,19834372,9920469,-3453739,14395467,-7621738,756875,-4302027,-17175931,-22117682,-19858490,13786894,-15831946,5195329,10957379,7816999,-2729678,-18844956,-3530277,11392629,7201725,-14382166,5960180
4021643,15765822,-15424433,20897894,-8292112,2638292,-1017484,-18120578,-4057347,4406064,10874670,13917135,-771305,12802935,8547195,1627694,-4244344,-20427501,12025909,14600831,-5500003,4992020,-16245684,3931976,966846,4574295,4059377,-10283112,-10265346,3533502,-13302476,-2539861,6683697,7290450,-21793021,25209645,7653320,14602595,-9615384,-14350296,9067770,13919282,7206041,7320886,22015142,3054140,-4861077,5005295,-24033934,-17993582,-11765489,-7044521,-8371767,-27809126,3387722,371588,3083014,-10151698,17870691,-2073281,-10793426,23043321,6035280,-9591701,-7464685,16160628,-22083670,12164525,-25711792,-1059346,3342884,8751505,2364385,1887775,9054241,23436627,-3703250,-6802228,2793575,1352812,2985289,5414766,-11829568,-612247,2500109,6593882,-14693910,16862020,3095685,6855320,5305218,-10652418,8778406,14928877,5782543,-13412451,-780541,14829408,-10603816,-18735274,-165363,-13616365,-19289018,6630763,1599230,-15203226,-1575226,-9958688,10548679,16896163,30367523,3712419,2287833,-3501430,4447808,6902949,-16329204,2544264,648480,-2394875,16591279,-11499545,-19804869,-474291,8078973,-13365891,9454294,10640426,-7031776,3969677
-18155347,17130555,6809076,12184877,5005221,7039206,7043388,-16238235,20225917,-2884189,8248191,20073522,-19230247,8194073,-11206422,8861354,-1592197,5319059,-1875402,-15382890,7973463,2594074,2800641,8340704,-1853512,6787432,969261,-1956101,11999628,22167866,9930994,18342487,21896798,1090301,-11937458,8177885,3168269,14776788,-5801002,-9408005,4575288,-9171784,-17298862,617594,-23603774,21423018,-17682727,13105865,2780135,-4042194,-8903435,-829987,-10455631,11540588,17503808,6988643,-1974416,-4724174,5820829,4365875,14751499,18088853,14629918,-22275666,4118327,21220860,-9743,5572602,10283461,15598959,-17734557,-7349652,-5285985,22830903,-6834769,-24932588,-8909191,-360509,-25759167,1023495,-13159935,15858128,688093,9398699,6529480,17587385,916262,-7996737,-11253915,4282680,-3586633,-24437482,-1782319,-20035135,-10627379,20900851,14710034,-8138916,-190215,7423606,-403280,9295431,4033759,10178873,27450188,-21804333,6993436,-8423089,-2899093,-4822575,-11800100,6829361,7445985,14020768,-23063977,-32245433,-3822131,-7388857,12506064,-14985413,-15982408,-16592029,5931509,1307931,1794954,6469274,23943860,-16362018,-4833806,8708661
-19506352,-607496,-3617740,-1179228,-7643793,-13450541,-10597081,18376694,13013394,-1686042,7914934,209807,16049309,-15872508,-2401346,15836297,24253948,-8254730,5586237,19335997,5840025,-13432795,4804829,9300830,4606373,-3338340,2229622,-14307948,12152590,-19092659,-2577435,-1634228,12183472,2438531,8114221,8033389,16174133,-6237954,13109006,-543499,659308,-27064709,-15614892,-15649295,-25324984,-8789381,2726119,-23705981,4123155,9966659,-17539804,-26937191,3561333,-11431478,-13741998,14743880,-5587704,-6773424,13214059,5578747,-2536146,-13435166,1841759,13372076,-14943540,-1276883,9959610,-13202504,3782549,-4468146,-21126731,2791568,6765113,19895443,-6642608,-21221976,9189119,6207255,2931985,-15465238,-25046298,-3442878,-16228017,6888680,14861314,7792987,7131247,-2910607,-4595719,380817,-2040153,-18612689,4461592,11959624,1862389,-171536,15883369,-5873242,6438590,-8030283,6757050,4921638,3818396,-1035484,13378346,-14795842,-8017403,-2548971,4527533,-3453355,1155148,-3980906,6824879,572346,-3374676,-2658078,-1425474,-12088745,-11468363,-2504195,802230,5200842,-2236958,1075922,4856618,-65133,-2190665,12363472,14660178,-7772364
-1736833,3275514,6196677,-2982785,2122174,14783002,-2743118,-4942645,-1368315,-15553129,3033441,-14193603,-1483027,8754702,580219,-22431123,3972110,3851041,-7612951,-16523913,22825226,-5452416,3015682,-798391,3363223,-6175761,-5332988,-6967441,-15132602,16112885,-15938341,-10080442,-11992319,-929809,1305731,61604,8227243,-12342393,-22510,-5712131,4229097,7901712,-6974764,5727400,-1125339,9552082,-7233934,4866565,7457347,-2831577,4670391,16788202,-10075723,11413317,21494395,-7544836,-9062479,15070953,-3727707,17125941,-6901885,-19690559,3771452,-7320353,21809318,-15233813,23223419,9452646,12323773,-6405182,-17518525,2407800,20998139,-6356799,14737728,-9665577,-7377217,-11965603,1498298,12090712,19782307,-13224990,10066760,-9038088,10767940,-7052087,-2178232,-6799900,7911946,-10521956,10224506,2449040,-16591818,-15528295,-12995279,1828398,8226668,1644869,10010857,1687967,-12445886,8700782,5941000,7749948,-1610152,-11109570,9266413,33586799,-11424735,-3663466,-4006919,9464414,-802983,22408584,-13101939,5456317,6424176,9502884,206433,5486705,8135558,458024,2445950,2666372,-10958840,-13882641,118844,-5725599,-4568209,4071702
-18602159,25572085,-13634684,14290462,2683488,14457817,-23255700,-14743362,3648050,8518871,15325095,11266139,2443572,18125735,5769819,-162804,1687328,11036153,-11233625,-7121270,10702812,-2223748,-18983663,-3671991,12343955,9633498,-3415054,-32033300,3256228,5164726,9147470,3014614,4642760,8288699,-1864362,-5087538,10836215,11403036,-17020112,9998388,9557593,-10291895,-18007311,15854808,-17094543,911365,-16327041,13624953,14524092,-4622934,-6228927,3261512,-19709449,3269025,23965772,29849786,11076796,-18850798,-8575044,-2202716,2098593,1412303,6700056,-9170796,14906290,7076429,7700011,8179313,-2193356,16702886,-12648515,-7929833,15447467,8031418,3535637,-19631193,3493544,13683384,-8442122,11292201,3700292,12211656,-19995566,18023897,-2192349,3812596,892535,43831,-3151057,16052981,14077016,-8071310,-2618856,7657801,2258926,13515729,1456641,28613298,13311910,11143544,2313295,10823581,-13953247,16238681,24820103,-20878403,18105693,17148400,-13056509,23065702,-17924153,359369,29729112,20250126,-24244228,-7065499,13601900,-5955278,1783234,3270100,-23369784,-1995966,4706647,25238310,13067466,-22822278,12700223,12602721,-2171425,15636319
-21187091,7649146,-5988058,-4018201,839577,-5257466,5553875,-5082889,2460594,-21976455,25565990,8535006,11194155,-21817889,-8827656,1096347,-7763325,16801400,-6490738,-1737325,11882879,-10311314,33483,1218890,-18481952,1631416,-22848982,-3601718,8913180,4777529,8254244,-9712268,3976776,-11240727,-10411456,-9534090,-4864210,-1138080,17916007,-2190161,5064663,11102640,-12737797,-2226603,5058935,-17231147,-11092432,3713606,18637735,13380259,-1741604,3963300,128662,8307432,-14115793,-13143267,-17387464,6069337,22379864,21410635,4674022,171228,6599737,-12354536,-18077772,3981910,19973650,-3451543,14906927,9184097,-15055254,-3707901,-7255917,-6024007,7781292,-30747902,2518847,4823931,353611,3020251,3235055,4000628,-5308598,3831511,-285347,13432454,-5446160,4967845,5158837,-11083967,6172775,-10599370,2669836,-1458434,-5478757,3785883,-7753582,-7167439,-19057680,9608593,-16260753,-21547144,2756583,-9248328,1984584,-10566621,-4557898,3588156,25176878,-11751358,107403,5238567,-506032,6820732,-9282967,-6476201,1940815,-14727259,5106803,-21183744,14839371,4233919,-12216665,-9833670,-2376868,-4096532,-1267462,-14182744,7768656,-18408638
5004079,24415275,-14314639,16219247,2949036,5009283,-25120798,15488391,-11537224,-6104132,8051004,-7577944,18994235,17089375,8704337,-18160849,-6027517,-5114263,4491044,13677899,-12048098,-10236640,-15141598,-15887444,8033287,10918104,-15953051,-24119431,-9841812,-9853561,-1527557,7444530,7905253,6573419,-5199410,13634150,-2175932,12207916,-3674483,-14109539,5023752,-5378930,-17582218,13272599,-18582912,1440179,20666554,4311438,5212422,-8334833,-15429409,1172951,22782329,-3718294,-2581954,12062978,-2851961,5460373,1416023,-12920967,1235486,-1307924,4913388,6051056,-1436235,-6335553,-6768056,1043437,-17058822,-1646099,-3658030,-3034017,14556209,-10055124,-151954,4364704,-2893290,3352157,-5665875,22828988,3641846,11245100,-29375401,6110524,7367776,-949697,-7229873,19869459,-3206715,-7373866,14717831,-15967013,-19493608,-16059504,12453862,-11112471,-14073230,19977506,23674217,-22637344,2410972,12435492,-18073049,-778420,-4793249,-3146893,-2874009,17139541,4446489,17946576,22936525,6183607,3242280,18264623,9077974,20221610,-19430378,-23429493,-4172853,2684079,10587204,20496317,-3017739,16927267,15420645,-27027123,-2502374,3864898,-18124441,7061109
