-4013,3833,3631,2684,800,-3113,2106,-1471,736,-260,-238,1363,-5264,42,-5104,2756,2861,377,-3548,96,-719,-2474,-1947,-1659,-74,-439,755,4302,1408,4812,529,-2406,-4137,1612,-4164,527,-1511,-3375,2881,-2878,-1533,2233,781,1475,-1806,2789,1556,-1408,3607,640,2458,-3990,455,-1326,1040,3493,547,1252,-1072,-900,-1629,-3787,2914,-3599,1322,-3693,-6699,-2722,484,-327,3815,-1973,-2754,1453,2970,-1519,2395,-1365,2194,-2075,-1008,2681,3340,-2211,-4082,-5105,-2759,1665,-2564,1104,-4317,741,2365,-3030,-978,230,2945,445,6277,-514,855,146,1757,3633,-4215,3125,-119,-1705,-1775,3849,5502,127,2499,-2892,-6520,640,-4401,-3249,-5833,1391,-1681,-1077,1324,-1018,-1292,1418,2385,-21,2837,2368,-3583,-453,5050,-5491,715,-3770,-2552,410,1267,-2069,78,-1622,2852,1806,-1156,-557,-1728,-878,502,837,-4463,3701,354,1709,-1343,430,-956,-4409,2489,6028,-2464,2862,493,-2924
1161,-1564,1904,190,771,3283,1812,75,-216,119,2068,-1302,3402,1734,5355,-48,548,1774,-3244,1933,1202,-2983,-1789,987,-244,-2421,-222,-4142,-116,892,-270,1703,3560,3877,-1636,-818,-326,1013,-1179,-1682,-285,-4043,683,1171,-1661,235,676,5661,940,-1632,883,2471,-4275,3115,-2079,-3067,-602,-4761,3624,2210,1245,569,-1943,1151,-2012,2107,2462,2054,-2045,-1492,-2784,-427,-808,-99,846,232,-175,1374,-1248,-446,-744,-4424,2076,-112,228,-1213,-387,-695,-1363,-602,-312,2789,1325,-1178,4807,2039,-2844,-4005,244,-3696,2634,1709,-11,-1757,1896,79,1880,657,-1110,-2230,-2435,-453,-746,-3009,826,-594,2666,1221,6104,1911,2168,2673,-2458,972,-5,484,-1363,299,-1620,-4538,52,-4336,-779,-308,239,-823,-69,-118,-934,3129,3202,2947,-283,92,2480,426,2150,3053,1745,-1029,-366,-2851,-1305,1525,-3047,-749,-420,-127,1708,-676,1557,-261,-1038,3114
-1095,291,2864,7565,1875,920,3922,479,1091,431,-2123,3191,178,954,753,2561,-1887,2139,342,-442,896,-1596,5457,-551,-693,8,1963,-1602,-198,-877,-1920,-125,-2141,3819,-4124,-1986,1968,-2496,793,-3703,1304,-5370,1103,-1224,2733,-1303,2397,-3381,3478,-823,1094,-957,1527,-6518,3119,-1929,1617,4340,663,-3270,-1979,-3808,-1811,-1138,1014,-3566,-4820,4354,-1729,-160,-5018,-2005,1652,-1603,193,3714,1672,-1481,-943,1940,-4693,2249,3283,-1175,4772,1086,-199,-6405,2396,-1716,-2702,-2371,-2427,-7302,-175,-403,2644,1136,4118,-312,-2615,1282,-1470,926,-2344,2845,1486,-2641,887,1616,169,4025,1253,-2816,-239,-595,3826,-28,-1058,-3840,2579,2119,2120,2666,538,1407,-581,-1343,1480,1719,2317,-3003,1599,586,-3896,1860,-1620,-2951,-2358,2872,4919,2508,392,-1842,-2571,299,5279,2607,5396,17,4889,-544,1253,-1304,-1566,394,-3127,3040,7124,2075,-2340,-1781,2766,-2003
-1185,4533,-931,-361,1081,-3118,-924,2169,556,-1019,3459,-1708,-1282,-1073,-3021,-67,-3490,3702,1388,2026,4004,-734,193,759,2392,-3529,6915,3730,3504,-3070,-974,-5073,-145,-327,-3743,2338,-141,6519,-1901,-735,-797,-624,4121,-51,-4581,4429,2810,-390,448,-146,-121,1708,-392,-110,981,745,-397,2574,-1839,-1604,-439,3102,-1073,1219,3621,2614,2112,276,1903,922,1124,-3324,-1757,818,-3398,-1975,734,-2350,4395,-3796,-5319,-30,-68,-370,-4202,-1207,3098,2520,-5403,-7944,3088,-4584,977,3211,3492,3397,460,3752,-1026,3834,-72,4774,390,2066,-31,-312,-318,309,2579,2360,-3289,235,118,6068,847,-782,1648,-3617,-4627,-1906,-3066,1452,638,1619,883,1551,-1193,-4655,-891,2776,358,674,106,-3722,2240,1418,591,1441,-2910,-3391,-1498,2676,440,338,1081,5531,-3356,-7881,2150,-2581,1027,2789,4523,-2135,365,4995,2720,1486,3030,151,5980,-934,807,3623
-438,-2492,1816,2192,56,2233,4993,2456,-1192,-4416,-1315,2247,3020,3784,-403,516,508,-131,-3413,-1509,215,-2232,1667,1570,-3881,-1031,-742,4719,-1356,159,-749,1733,148,1639,-2503,1375,3079,447,-327,3805,-2623,-302,1151,-1897,-3030,240,-350,-383,-2930,2383,-991,356,-590,-3461,-641,-4157,-27,-1303,6254,-978,3223,-1193,545,2569,3493,1162,3514,-649,-2784,-374,2326,-327,-2149,2319,1600,-4349,-3706,1653,2137,-2917,-1543,763,1386,1044,-2271,-4472,20,1452,1067,-1993,-1008,-5698,-1465,-639,2001,-4224,2430,2238,-482,-2097,-3036,5287,-622,3156,-1334,3142,-199,-4589,-2606,-720,3837,-1982,2398,-2338,-4968,-253,-327,2407,275,1160,1266,-2903,1226,-1425,1665,-490,2576,1625,108,-2389,-399,-751,2061,-2170,3438,-2389,1190,1171,-1280,233,-993,1488,3177,-4161,551,-4224,2187,-133,-3377,-5313,2159,4054,-2279,107,-654,-715,-610,-4700,-1289,-992,-863,-3230,242,682
-6938,-2407,-1431,6962,-895,-3584,3749,1235,-4647,-2437,1344,4429,1764,4391,-2570,5730,3676,3323,512,6067,-3871,-3552,1505,4510,1578,-2075,-2537,942,1058,5802,2800,-2968,-4899,210,-3652,3847,-1613,-6114,-2270,-1663,-1390,-9012,2192,-604,-789,669,1436,1942,3877,-5381,-1095,-473,3759,-4029,-2841,-2612,-205,768,4661,-1100,-8790,-5520,-3051,-3061,8042,-3850,-5986,307,-2512,5367,-2300,-6106,2846,2413,1064,-6012,-4862,1403,4849,2209,207,2522,4913,2539,1655,-4875,725,-3051,-887,3847,-4365,-4359,-5059,-458,347,-2612,2029,2447,53,583,-1036,4838,2397,-2643,-283,-3291,589,-6025,2329,2455,2980,5103,1103,-9353,-1853,2294,-5217,598,-201,630,-956,-1343,6258,-3509,2412,7683,2305,-2206,-1650,-1821,-432,-4507,2082,-566,1981,-3527,-3744,-1540,-5710,-2960,-416,-2437,588,-1779,-2525,1194,3781,2041,4852,-1275,-428,-3615,3243,452,-2862,-569,-316,-2699,3811,6344,-749,-1245,-2497,-7642
-176,1817,3483,-100,-1604,1795,2404,-1205,865,466,1689,-3013,1338,-1518,-303,-573,-4524,-2103,-1543,-1126,4479,1209,1374,365,-2031,2629,2161,-4403,-3066,-4845,3068,66,2076,7910,-291,8226,4223,7640,-1182,-1873,6657,-1000,1151,4213,506,623,816,1755,-410,0,1026,-2779,-4079,4272,3215,855,-3371,-6034,3931,373,-49,7149,-706,1936,-6144,2395,1835,-3128,4595,-2120,1241,130,-272,59,4391,490,1100,-4124,775,-2207,-2994,-1880,-4343,-4018,-365,-1947,-5056,5604,408,-283,-1065,1739,-3302,-242,3152,2194,-239,3972,1270,2734,-1353,3080,2327,475,628,2585,604,628,-974,-2186,-4942,-2649,2514,1961,3435,-41,691,-3428,4605,-536,-4385,1932,-2345,-3775,-3499,-5799,5324,-1527,3447,-6627,918,1755,-5031,-7006,2120,254,2397,-264,5952,-964,3719,2333,2733,-3180,1938,-6703,-4708,3370,-2004,1558,-2739,2067,-3319,2688,2953,2186,1191,-2990,-2753,-3037,1692,-1300,3410,4597
-1186,764,3815,1064,-1694,1842,263,-276,-2555,5123,-6252,1803,-3567,1752,-1683,337,3723,-4047,-1879,-6589,-2624,-120,451,-1232,-3803,2062,-1738,3368,1064,-1845,-2902,543,3597,247,2037,-56,-448,-4248,6274,-4066,-757,1591,-1991,-1940,-551,-1377,3650,-4777,657,-1226,-1613,-4529,4324,2095,2307,2478,-4312,1046,-283,-1004,-1551,-5042,1381,-6234,-2844,876,-4969,-1674,2370,-5982,4086,2333,-5563,3844,635,1255,5287,2343,-6308,-2475,2114,3203,1873,-5052,-3306,1641,-5319,-730,-977,4231,-5923,-961,4311,-201,-5212,-6093,6044,1552,6671,942,-328,-2129,-1682,1853,-1072,-1084,1687,-4797,-7941,4038,-1084,1441,3250,-1988,3075,5440,140,-2387,-2758,2948,632,-1110,247,-3954,-6330,-638,4894,-2549,5723,1661,616,-1482,3223,-424,2465,-491,-1800,-678,2016,4369,3633,-281,-800,3468,-3469,-1483,1483,3029,1241,-881,-1476,3104,-740,2659,-3115,124,-367,-493,-2795,1070,-2875,-3124,6393,-981
-828,-3144,1655,6026,-1425,1850,-630,-5353,-1517,37,-3086,986,-577,571,2637,-1936,799,-2252,2300,3762,-1945,202,7110,-1806,-3464,1847,2120,-2896,-1474,1598,1260,4633,4639,151,-303,-3858,-566,-1764,2732,-4790,2215,-3348,768,1511,4458,1731,-3568,-1126,502,680,2128,2235,371,2227,3466,-744,1297,849,-3471,3084,-2958,2969,-4497,-3146,4254,-5884,-4662,-680,-424,4655,2226,181,2813,1922,1023,-1784,-725,-1050,193,2698,391,1172,-1019,-659,2396,-575,-535,-7109,-2976,1783,4640,3717,-3916,-4468,526,-2557,1898,-1650,1930,1256,2551,1971,1692,-2585,-1732,382,-934,-1841,-2572,-2901,1445,2979,491,401,-809,99,2255,-352,400,-466,1922,4741,-4355,-3865,-1184,983,-2771,3795,2638,-261,2133,847,-4691,1861,424,-2455,-2704,-1299,5625,2547,4452,4686,-4932,952,-563,1911,3507,3161,4104,1876,-98,-1436,2139,864,-1469,2141,630,6361,-17,3211,-2789,-3772,3564,-101
882,438,-938,-1909,3837,-2281,-2105,-412,3387,-3719,715,3490,-2643,495,-2420,-1913,4620,3637,2841,1857,391,-2578,1571,6418,3136,-888,-5025,738,-55,1094,122,464,723,-3543,-3202,-3327,-1313,1023,3971,1948,-668,3993,2779,2861,-1506,1756,1227,-284,4307,333,-3620,1933,1894,-4475,-1269,2466,314,-1072,1497,82,-1172,-2669,-5643,4142,2130,1079,-1032,-4501,-3282,3013,1552,-1059,-1002,2128,-3547,-1833,2326,4426,-1017,269,878,2714,1660,-8,429,-2757,-1907,2932,1064,-575,-1654,484,2553,4195,137,-2241,258,62,-5831,-110,1511,-2676,919,4484,-4249,-386,5201,1955,315,-2296,4892,-5002,-1308,-592,-808,-1601,-478,2407,-1882,314,-1147,-4177,-30,-1252,-1177,7005,4672,-1731,-2110,3805,-770,3161,5212,-965,4253,-507,1869,361,-4856,1741,-686,-2791,-497,1527,1977,-2476,-17,-931,-1288,1684,66,-1608,-3133,393,6060,-2007,-3418,1131,-236,817,-306,-484,300,453
