-1473,2456,2811,-1266,-2158,-2219,-1556,-826,249,-1797,-741,-682,-647,584,-1226,4407,-1363,1340,756,1786,1414,142,2123,-745,330,-4101,-1082,-2092,-2243,502,427,-1625,-317,749,-1006,1684,-682,929,-3414,2056,510,3867,562,-697,-2914,1720,89,498,-1233,-451,2689,1744,5110,3201,-773,-1045,771,-1072,5116,1117,-1740,1909,-1444,108,3654,-679,3985,3289,1418,706,-1242,-305,990,-554,-1477,2841,-1369,940,-1925,-794,1118,-710,-1608,-594,-3920,-558,720,-1262,873,1539,1686,1659,-2910,1660,-220,4033,1215,3033,-1260,1231,-3931,180,752,-1572,-3806,-252,3003,1537,382,-2522,-1791,2238,-539,698,2982,-2320,-794,-209,-627,1451,-1253,1346,671,1755,-2171,-1138,1819,-275,-122,114,-1877,2897,-3982,-1151,-135,3621,-4324,-1498,2560,3209,3914,1756,1147,354,-1343,-2424,-1036,344
1431,-475,-394,867,94,-1795,4039,628,523,-4621,2566,-2851,-3775,741,-554,4960,-1854,2281,300,3632,-330,-899,2335,-1024,1485,-659,1004,-3039,2338,-578,744,2217,-3793,486,-870,-1112,652,-558,1597,2396,1576,-3153,-1161,-741,2010,-3668,732,450,2056,987,3560,300,3376,-474,1828,1970,2695,-2023,1415,-975,-459,1438,-11,-1475,6,-489,2346,682,4027,-947,-1892,962,-503,-687,-2246,4813,-2473,2629,375,2282,1598,991,-1463,-2628,930,-3880,-446,-382,664,-71,-1828,-2261,-1304,-4167,-83,1723,894,1864,299,426,-1550,-2973,2496,-875,-2836,-2776,1018,-753,-197,-1154,3448,-3870,284,777,1915,-2849,3882,318,-1324,-1143,-4071,-764,1267,53,389,-879,683,-2181,-2208,-533,-1204,200,111,-181,-2066,-1121,-815,980,765,3219,1492,1843,368,-2490,1369,314,1287,-703
-3030,465,2406,-722,946,-2229,-3244,-3112,414,-4823,670,-2156,1560,-2288,-765,358,-2046,-1340,-5541,-3104,346,4321,-2733,689,-2558,-1242,1943,-2934,-1244,1069,-19,-2436,4712,1312,-1253,769,3475,-4240,-1287,324,180,1209,1920,765,-1379,-1049,2856,696,-1363,544,-2049,106,-394,-1060,-435,2257,-3070,-1381,1411,-1207,-495,2168,622,-15,1069,226,2031,2388,-1580,2489,1727,-8,-2355,147,1310,-841,-1882,2683,645,-523,3124,33,1475,-128,-757,-1759,-256,-2966,-612,-1719,-2410,1652,-2210,233,-2165,3796,-1726,-398,244,357,-94,991,-2512,-44,-137,3523,1595,408,1253,4325,2603,1077,-971,2637,-2207,-486,-1772,-1927,146,2020,148,-1169,-2244,3686,-613,2958,567,-131,-1775,-182,-820,3064,-1886,2686,2854,-250,-2681,3468,-325,84,479,1087,-3186,-259,4333,1150,3881,-858
424,-643,973,1051,4630,-4114,-671,-1371,1496,-476,1795,-1277,-528,-1773,1015,337,3430,440,-1143,-3354,-1536,1349,-1457,1282,-1971,-1053,1522,2713,99,1014,237,903,2543,-320,3770,-3801,1697,-1004,-861,211,-2518,-1260,2065,-1814,-3196,-1465,-528,391,264,-3247,-1263,-1127,-1921,-1067,3558,275,420,-498,125,274,-927,-3719,80,-534,-61,-829,834,-247,-145,-1258,-506,-2142,-2478,-94,-1987,-78,2442,3338,2372,586,1324,-965,2302,-3431,2946,-1928,2410,-270,2247,-1134,1048,-1507,1041,-758,-1947,-1901,-1595,947,-231,223,2514,2470,-2818,-2750,1740,910,-972,-763,43,543,-720,-1756,-1433,-2396,-841,-3573,-215,768,1655,4774,693,-2234,-1757,3786,2121,3784,712,-1997,830,24,1916,1490,2328,-204,842,1818,4941,2806,-1335,666,-1737,2330,805,3778,163,-2775,3536,2755
872,-911,-617,1602,-881,-2072,-4104,-896,-424,172,-4202,-1672,-246,821,365,-2249,-1778,-361,-1432,-4010,490,-965,-1155,-1392,-348,703,4530,1106,1480,-1880,-162,696,280,-3354,1698,-943,2050,-3835,-848,-1953,-507,2242,992,3885,-70,-2970,-3710,354,1072,-1272,-2896,1547,1028,-2096,265,-1976,-2516,1706,-1195,297,-771,1530,1715,-290,1844,2048,-60,646,-3639,3019,3785,-1921,-1353,3874,2458,-275,1922,-3223,-759,-1373,625,-907,-1746,-707,-1488,1790,-556,-1825,-4787,1458,-1906,1798,-1508,-344,-893,1010,126,443,-417,401,1963,-1791,-1376,-967,-880,2733,-2290,1002,3999,1409,-2273,107,409,-1044,1820,2832,1037,181,-4342,-2621,-3407,2443,-2896,3588,1232,32,-1383,290,-521,2085,-1356,30,-305,-888,3919,-393,-282,-300,1286,-2884,-485,-5127,-1298,614,520,497,1048,-766
676,-1352,-752,3232,-123,-3518,-2559,-58,283,-215,-4472,-796,-123,-997,752,-6020,205,-1313,37,-2330,-2511,991,-497,-1750,-1225,2480,3587,-1460,-1003,1269,-656,900,-536,-1958,310,-559,2496,-1103,-691,-2805,-3335,2294,1445,5177,3741,-504,-2178,-399,1234,-311,-2965,-3672,-1908,-635,448,591,-1529,120,1357,1196,-3423,2809,2965,-646,850,-425,-3504,582,-1238,3409,2240,-4147,1334,3537,5061,90,2330,-1082,-73,-847,2615,-89,-192,-3738,1564,1319,893,-24,-3174,869,-3832,634,928,1016,-881,-500,-563,-2423,-321,125,2259,-3866,-1498,-1395,-1125,4744,-2727,-1265,2221,3657,191,4451,843,-2722,-194,1840,-71,-751,-2059,-1665,-1499,3197,-3454,120,1710,697,-2078,1754,-1259,4594,3622,-1747,357,1150,3878,-3786,1925,665,765,-1995,-2114,-4458,765,3538,1161,-123,565,-1094
-2945,1886,1666,1289,-2680,-442,-439,-702,-850,-2068,-3559,-1822,2049,3116,84,3030,-2652,-537,-1670,1442,1263,1646,-14,168,2678,-2205,1438,-1792,1623,868,343,1333,1127,-176,1760,-1902,-413,556,-2251,1292,2324,1186,427,-1686,5104,-2032,609,569,-2800,2492,2880,2555,2597,2237,-1989,-3571,-2817,-1658,-2498,-840,181,2170,-631,-15,17,1109,935,-211,-246,-11,-179,1333,-1919,1574,1640,598,-1438,34,1677,2772,2847,-3553,96,1865,-958,-823,-1716,-2403,1923,188,-4041,-112,-3632,96,-972,-1352,-1698,1033,1045,522,-29,-232,11,1672,-92,-926,-392,1556,813,-1551,2745,1922,-1647,1816,3048,590,187,-2591,-2597,-443,456,-2095,-787,718,654,-87,2352,-156,-2865,2341,-340,1460,60,219,-975,-1612,498,1409,-498,678,1004,-833,-1177,593,-1329,571,2336,-2509
-1129,1081,867,-2835,-2134,3032,-2838,-2746,-2408,1492,-87,793,4545,-499,-422,-2033,-1565,-4104,-3757,-1114,199,1571,-2950,1024,-1493,775,-3279,783,114,-986,762,-1169,1925,2005,-1008,946,-2275,1097,-55,-1944,1655,1513,-914,-676,-1769,2224,-1709,124,-2521,-722,-2594,1508,-1872,-1145,-2667,-107,-1723,1434,2475,327,333,936,-618,-3250,2930,2131,373,785,-2858,2069,1013,2986,-394,-476,1552,-408,1237,-769,-2901,-4579,-1291,-44,-72,4884,-911,1106,-660,-2711,-312,-1116,1141,3125,4623,1174,1309,2470,1926,1256,457,-779,-490,706,881,170,921,-2735,1676,-145,2945,3223,-3301,740,3854,-293,-1354,2933,-768,1829,970,1035,1617,149,1905,896,-1220,-1995,1816,2241,-1150,-2151,-2055,1543,-1279,-2398,442,2836,-721,-1427,2016,-103,472,-618,-2669,-1177,590,115,-699,651
-1939,-517,-171,-2742,516,4444,-1599,589,-1984,1318,466,-336,1277,736,-788,-568,-226,-1547,-401,923,2159,-386,-2353,133,-2249,47,-1640,4845,-277,447,1209,-1799,761,169,-406,975,613,-498,-1112,-1833,156,243,1377,-1764,354,515,4082,634,171,1369,-1217,-717,-2779,333,-1193,-1588,654,782,-4173,-2392,-401,2459,1167,1208,-2318,-1253,-2333,-2030,-397,-1238,1477,693,-1333,-264,-1532,-3344,2462,-2407,2398,-772,-1525,-1515,174,3017,-2397,1709,-4648,-1035,395,1642,-3081,-100,-130,1033,-920,-1608,131,257,1309,1928,-295,656,714,2019,1931,1098,550,-1987,-2420,-18,-530,-839,462,1960,-3735,1675,-1334,368,1152,46,1575,677,2110,-409,2211,-2572,-1570,1493,2239,-2,-405,-378,474,1092,-3554,-952,-2586,-278,-426,-4061,1958,-4050,-1122,-375,-979,416,-1841,270
3270,-192,-470,1205,-561,-1619,1800,375,-106,-496,1591,697,1068,-1247,-71,782,-1915,441,-704,-208,-175,-3172,45,946,-975,2531,-1419,-2253,2718,2157,3234,725,-2160,3262,2876,-621,-5142,2523,1539,481,540,-2855,-4032,-1324,-1048,1716,-3098,-488,-255,-5351,1341,487,3884,1134,-278,612,1109,-1003,2125,984,-2207,-2358,-1686,-3243,3432,3861,1950,1582,3239,-2618,1210,-559,3889,50,-652,3119,-836,909,-1170,-1039,1141,44,-2087,-1917,-159,-1012,2366,-176,1961,-1086,776,-2802,3745,-2184,456,-2553,3854,217,2015,-1715,148,-3248,-606,-2618,-222,-5444,-675,1344,1870,-985,-954,-329,179,125,3151,-3814,5253,-1012,-2068,647,-63,-2622,2674,1,-500,-3306,2240,-1659,-1716,-1267,-957,754,528,-3899,-2536,-582,485,1040,83,3713,-1152,890,-2421,-168,-515,-5456,-773,1430
-787,408,-845,49,3673,1207,2259,-1188,1904,-869,199,377,74,-1233,1526,-2366,323,-1690,1560,-3259,1645,-2524,-1918,-1131,-2539,-574,-2355,1246,-2387,-1965,-695,1672,-536,3318,-1344,27,1557,1860,-197,893,639,-3640,-175,825,247,-1006,98,-1257,-682,-3225,2062,-466,-3824,-4619,2011,250,-1049,-406,-3115,2802,2283,-339,1892,-1570,-1958,-574,-509,2071,-952,592,-274,-885,-2847,-2461,-882,-1214,-556,2476,2178,2662,1925,-3151,387,-595,3998,-2267,4984,-388,1333,-440,-3615,-708,-712,717,-2878,-2431,-2003,391,866,-855,3844,-852,1029,150,2456,663,-380,1621,-4422,2254,2140,-397,1156,-410,-1515,207,-958,137,-479,26,2476,-1427,-354,-723,-533,-1466,-726,-77,1910,3701,2610,-1216,-802,4177,2056,1078,2167,1398,-1202,20,-2697,1442,-588,1900,3601,2238,2174,2421
-316,-2526,1591,256,1128,2102,-1057,1883,-259,-473,2039,-2569,463,-3480,937,1671,2184,-1702,-78,-1615,-1779,736,-2027,-823,595,-333,1314,950,2324,3792,1287,-1992,-787,1819,2951,2314,3553,-3581,217,-1463,1430,805,5,-2663,2125,1517,-1916,-335,-291,-2057,636,854,-44,434,3945,-1634,-379,-1278,-4297,-133,-518,1477,-845,-2706,3017,21,89,-2384,2240,883,1495,-731,-1209,1581,-646,-1499,2259,-469,1799,3842,-2540,-1747,844,-361,709,1200,-1729,107,-807,-3078,-1304,-511,15,-585,-117,-2446,2449,3472,-2737,-1185,-1209,2687,3337,1595,628,2473,-807,-770,1251,1285,-1193,-3541,1277,1354,-4463,2788,1796,3175,-432,102,1436,-2303,3475,-1280,3474,-1986,-1517,264,625,1085,186,-1350,408,878,-3793,-1014,3152,1536,-1017,-3086,2720,-4369,-1966,340,-1835,-1589,1182,-2029
1081,1176,-1885,916,-3728,204,352,-497,-1771,1776,-686,185,-1128,1924,-1033,-834,-1856,1292,-1115,1824,-656,-297,1576,-2565,2086,2721,2273,317,1952,-215,-1011,1540,-2532,-1801,2765,1580,-3951,-793,1687,-862,1633,1632,-2613,2603,588,110,1532,-95,-166,272,-2614,1417,2690,-497,-1862,-1581,1591,2629,1949,-777,-3333,-1775,-181,3485,242,-144,-1463,356,1486,-2775,878,-3762,1809,-97,68,2056,-2365,-4489,-2734,-1361,544,441,-2035,567,-346,1571,-746,-464,-1652,-105,2248,-1367,781,-149,727,-2193,4641,-537,1477,-504,-874,-4193,-2220,2418,-3463,-768,-561,-1440,3833,-1317,1740,576,1402,3254,2032,1834,2228,-98,-2081,-2207,-334,3885,467,24,-185,-142,-910,1659,-3075,-982,-2554,-578,1165,-961,1114,-640,-3738,-2779,-370,3204,-383,-2887,62,-1522,-4151,-3838,-3444,1273
