-2632,5344,1811,-3351,-2777,4803,-689,-1665,1266,-1671,8539,-1911,2869,7538,-7027,-3135,-39,-2065,2015,2231,-2537,7250,276,4564,-107,2959,-4308,-690,-1493,2582,-2648,-5643,5903,551,1630,-964,4318,4553,-873,581,-5232,-11861,4432,-6493,-2676,4289,-7603,-57,-3882,-2002,7558,9456,-12763,-1473,8230,717,1194,-4282,1421,-4132,-4867,-5151,-6086,-4719,1483,2256,4705,797,935,759,-7952,-1106,8915,2276,-4631,567,-5007,283,-427,6292,361,-5855,-3239,6787,1415,-1000,4139,1445,-1393,-8275,-1578,1347,2178,-2404,503,-447,-5721,1763,-4469,-2393,6752,-5813,-1630,-954,-300,2194,565,4008,4863,591,-5326,5345,-1143,-1651,-1200,5111,3512,-828,925,5897,-2043,-2157,6788,5522,-133,4486,-284,-2828,4639,2820,-260,-1700,-3150,-701,-8192,8631,-3844,1654,166,-448,-1391,-5271,-6187,-2612,962,-8973,2419,-6531,1905,7298,3565,569,4452,-4198,-4839,-1621,480,-2603,-1325,-4764,1087,-3245,3402,5489,-627,1918,3097,-5583,3190,978,-3578,-7306,-412,-3767,651,4660,-145,-1415,4537,-961,4599,-2226
7781,-4897,6547,1889,1389,736,1813,-2675,5902,667,-1371,-4437,6843,-4116,8534,7760,1879,-856,668,-4801,-4560,5308,-3067,1655,4150,-2618,908,-601,-2702,-1822,51,-7244,-2933,-3029,2589,-3942,-2660,-4071,1961,-4145,6086,-1203,-3297,-4219,-3542,-4847,3819,2455,-981,-4008,4021,2295,1999,2683,-1795,-533,-1433,-2179,4787,-1116,-2461,3867,-890,5216,-4175,-4994,-312,6115,6507,470,-619,-3480,-6031,-983,1960,6161,-2190,253,141,3570,-329,4456,-2569,-2051,673,4179,-1531,-3315,-6300,4214,-2223,5618,2571,1411,-3558,8615,-3230,6659,2959,-4611,-2764,-1535,-2446,1305,1206,-3600,693,-3285,-5542,-2139,-1188,-2151,2731,-6011,2809,104,-5114,1767,-81,-3213,825,5172,-465,2039,-329,-5792,98,1535,-4154,1836,691,-1467,-2330,-10441,1311,-3505,295,2327,6019,2492,-2431,-2379,4967,-3874,-8748,2101,3736,-1780,7335,546,-416,-106,-3461,-4999,2081,5529,276,425,-57,-2240,604,1156,-8300,-2110,3589,-1493,-73,413,-6414,-844,685,-3215,-1657,877,3590,4628,-3190,335,3396,8234,-533,11124
-7206,-1337,6459,-8846,-9672,8463,155,-6017,5215,-4000,9542,1934,8252,-5386,-4502,3206,-2804,6629,3191,-2014,6771,-444,1068,9688,8171,-1255,-5724,3407,-9886,-2062,1254,2842,6641,173,1803,3665,6486,8260,-6570,8465,4234,-7222,2155,-582,2101,7331,-2014,3629,2925,-276,2586,-2078,-5422,3181,11126,92,92,50,-1779,2551,-1274,8901,8825,-659,495,-1283,2860,1382,1524,8579,-6159,10330,1866,-1738,-8763,-1025,-5888,-1904,802,-8780,-299,-279,-241,2864,4070,5262,-335,3083,10665,1412,-4305,-1686,6147,-13791,261,6466,-5814,-3564,1068,9307,-1452,-4577,2860,-6079,-6023,1076,4483,-688,8018,-1659,-4371,-2449,-8131,-7027,2086,-966,9496,-2621,4908,5123,-5533,-7234,-437,-5085,-333,4472,766,-2028,-125,3487,1638,-1819,5632,621,-4846,10808,1128,-2307,-3314,-5573,7084,-1556,1814,-3592,3114,-5577,-5240,-6525,6883,11459,3029,480,7379,-4485,1630,-359,1269,-2921,8095,-1576,5142,-5778,-9235,-3336,-2443,-8398,-6616,-9472,3080,7521,1092,1040,-4335,-12877,-1637,2214,929,-1834,5684,-2111,-6901,-696
1427,-2461,42,1424,3617,-4601,368,-602,-1350,210,-3267,2388,2148,-3159,-2945,-839,42,-418,3399,1584,-2714,-2810,279,-2818,-493,217,-698,2874,-1528,2095,3233,4369,1831,3560,2310,489,-5756,-2840,-4500,-4719,-3831,6909,-2397,223,1834,-1973,2503,4269,5005,57,-3615,-816,349,-122,-3696,2389,4008,2966,-1228,3606,3142,5508,954,7492,-2889,1942,1996,1863,-2121,-3326,5370,-2866,2940,-1343,-116,2778,5075,862,-3377,-6465,232,69,-904,2228,1519,4639,703,4453,1599,2299,-1140,-3076,-350,7719,-1255,6383,510,1744,2458,-7951,-4655,2252,-847,7119,-1098,2327,-6507,-2224,-1759,-2444,4030,973,484,859,-640,-3948,-6678,4304,5174,-3781,-222,-341,-2921,68,-2047,-5130,812,-8257,1148,-1087,3954,-5623,7762,-2682,4468,-1302,-5292,-5604,1010,386,-3742,-1947,5677,1608,-1950,7527,-6716,6984,-2497,-2804,-7407,825,1299,-2485,-5498,961,-3284,-1020,1808,2834,302,6329,-5075,-403,3117,-2135,627,2174,-2861,4274,2706,-2711,7340,375,2605,1512,-3020,-8662,-3277,-970,1655,-1094
-7208,1008,-3297,-9799,-3950,4857,-3161,3415,4808,-6878,7723,1421,1646,8361,-4208,-5105,3434,4951,1691,-2719,385,-4967,-760,1280,5724,4781,-2037,-2624,-4301,-5487,-3566,2588,-560,6382,-4604,2848,3681,723,-10277,3964,964,74,2801,2933,6024,7940,515,439,6710,-1349,-2587,-815,-958,2401,7300,-1645,466,3834,-4004,754,1965,3858,14471,-3273,7775,-192,3337,-3513,-9056,2996,-2942,8142,944,1037,-9597,-5125,-3898,1209,2550,-1468,7866,875,-1140,4806,684,-8,-2981,-816,2054,-2782,-1868,-3517,-2150,-4623,2522,1076,-9923,-2460,-1481,-7,-1840,-9113,-4323,-6232,-4441,-590,771,1766,2871,-902,1090,-7723,-7361,-2129,-3613,3262,4643,-7595,5544,-958,1991,-2300,2895,2136,2612,3831,-1167,-481,714,4678,-461,635,1884,-2646,-5772,3273,-557,-2981,-989,-2491,-199,-826,875,8992,1218,993,-3212,2052,4725,2443,7015,-1391,12340,7177,6839,-1547,6784,3921,-579,-1769,-1704,-4477,34,2346,-3793,-4109,6355,-4348,747,4955,736,3187,1459,-1057,-3138,-2272,-1749,-4050,-1434,1253,-8388,-67
3007,-136,209,718,5736,-4502,-3071,6094,-1281,1669,3300,-4127,1695,3624,3741,656,2787,-559,-5170,-1304,-4665,-1685,-3276,-3287,-3800,-4971,4668,-470,2504,2186,-5976,-5949,-2048,-3626,5937,-6685,-855,-5394,2493,-1892,2478,-2800,5158,2357,438,-4085,4092,676,-179,-8916,228,9537,1175,2484,-3816,427,1479,-3292,-1130,-7566,-2630,2281,-5348,4932,10663,-3009,-2238,3615,6444,5674,-2082,903,-1021,-6815,2078,-246,3000,-1204,-3046,12684,8769,-3208,-3482,-3930,-4681,-7344,-315,-2995,-6098,-2366,1157,-9134,-5483,-453,-4026,5329,-1491,-1066,1514,-5952,399,3522,4087,-3512,895,-4084,-458,-9176,1858,-1555,2638,2734,-5763,2565,2275,1790,-147,2785,-9650,-2823,-511,211,1976,1006,-4983,1035,7804,2356,-1692,742,2795,5312,-1823,4305,1044,-979,-3789,5906,4136,-661,-1304,-23,1726,-6834,3081,283,3295,-2691,385,5042,-1023,1912,-4921,-2365,2166,1161,-5749,-3249,-656,2055,1136,-1051,-6322,-1669,-3231,-1645,1733,-1974,-2974,349,121,-727,-209,3414,5355,8055,1553,5859,3168,-810,3474,-2701
-1554,-3767,-4976,-1485,-8253,4464,-1611,4277,-959,1050,6273,-3277,-7396,-4212,-4639,4389,661,1828,-67,-878,-822,-4928,-2819,-382,-1724,6594,3435,-2280,-860,-3243,-3582,-6025,-1058,-2998,-4363,1388,-1637,585,473,1741,11017,-1838,10777,4948,3846,147,-5123,-230,6583,-1231,-2381,1733,-2107,-4008,-2152,637,-2760,4651,-2361,-1429,2951,2704,252,-7599,-1670,-4946,-5520,-11623,1971,5521,-2476,7267,1308,8734,7127,-4512,-8637,-1254,5169,1890,-5629,5569,3649,-1572,-276,-2404,1818,-920,2299,7053,-988,-2009,4936,3558,-1072,747,-1814,-6909,-8189,8354,4520,3738,381,-8118,5388,-2065,3674,-3233,3678,-814,2641,4607,4583,1416,-5185,-8187,5912,-5953,6251,4989,-4053,-4605,2528,-2334,3867,2684,1511,7245,3020,-130,4431,-5502,-2608,-2434,3473,6187,7388,8187,3959,-1125,818,-10,6073,1675,5501,-5741,-7875,89,2498,-823,4645,1548,-5064,-758,-3175,-5126,3161,3120,-6213,-3833,-8433,6865,-5795,1093,7332,-2450,130,2483,-660,2125,-7376,5516,-3100,-1570,227,-4592,9799,-2019,1782,-2803,-2086,-3320
-1795,-3146,-1408,-1559,-8375,6088,-4718,-976,1837,-288,4669,4382,1141,-1823,-2801,914,2724,1919,-3254,-3250,6839,1294,-2084,1455,1663,1572,153,-2592,-3813,2471,-1920,-281,462,-2488,-3895,5143,1475,4098,-269,-1914,4862,-8349,5603,1146,4032,3428,-1687,-4325,2550,-2823,-1221,1929,-5283,1939,1039,1122,-888,-2596,-2074,7246,2043,2690,8581,1745,819,779,1400,-2857,-1437,2621,-1301,7784,-1075,7539,-1271,654,-13505,-5147,872,-2490,-951,156,772,3410,-208,3896,-2720,-2312,1566,-2162,2886,1019,1796,-1720,2210,992,-50,2358,-6550,7056,-1116,-3510,-1298,-7420,159,311,2725,3310,6427,6217,-5757,-1916,1680,-5116,-3540,-6213,8420,-5944,8958,-2536,-2271,-1653,8140,-3916,818,2619,1860,6015,3898,1333,1571,-1222,1418,2247,1126,8143,134,4754,471,-234,-1827,2985,158,-1398,4571,-4295,-208,-6028,2528,6345,2292,-6400,4343,-577,-183,-3224,-4773,4695,4630,-6623,-1205,-2131,-4153,-316,-1532,-5074,591,-5175,2325,6019,-6497,1422,-2724,-1806,1544,612,3096,-1103,-4617,159,-2471,-1994
-3772,2982,-2673,-5027,4816,-3799,5847,10998,1344,-3329,2056,2126,-2574,8597,-3075,-225,1956,-326,-4721,-4047,-6509,-3787,113,2740,-1162,1305,-921,-1494,8186,2190,-76,1889,-368,3477,1092,-845,3644,2020,-2482,-1919,2988,5771,-477,214,3470,-806,3732,-2130,-413,3031,917,-3430,1907,3147,-344,3962,815,5054,2890,-4554,1252,-1936,-6401,232,493,2038,-1219,1198,6659,88,3279,3500,616,-649,-4610,640,4884,-2629,-3442,280,6053,-4462,-5814,259,-5839,-169,1067,-5278,-1112,-3976,237,-4965,-10718,-900,2964,-1297,-542,2573,3003,994,-3944,-1775,-7975,-164,-5919,310,5665,-2579,-3789,-963,-1439,-25,-1266,1584,7523,5599,-1566,5851,-1684,3431,-2218,556,-6053,-5254,4071,2550,190,-1283,-234,3282,276,-4031,-1241,5659,-3983,-6734,-6170,-4068,-6027,-3382,4251,1344,135,3576,737,987,138,-935,-2324,-1924,4736,3089,-1782,3778,435,-1245,3344,991,4254,7052,1546,-3962,6929,-1126,-2108,3464,5634,-2783,-2782,-92,3158,3077,5098,-1365,3419,-3642,-655,-1137,-5762,1911,-1903,-1690
-3946,638,6094,615,8061,-3849,9760,3929,-1933,1035,2812,-5141,-5631,-4707,4625,-3187,-1575,-4549,5293,7957,-5438,2712,94,7658,731,-9317,-602,10558,7358,6235,-418,7561,1294,-3239,6607,-793,-129,78,5210,-193,4872,4940,-4627,-6914,-8790,-7167,1719,-1406,-7230,-2894,-738,-7396,-2319,739,-4082,2165,5085,-533,5274,-3179,-10983,-2795,-118,9736,-7283,869,-1529,1841,4032,3691,1032,-1293,-5448,-9112,-5829,4234,10737,-1209,-2702,-28,-1865,-5960,-8378,3461,-3657,4010,-957,-250,17,-1904,2823,-2286,-2969,-7947,1203,-932,2392,-3725,2881,5022,-2139,-8928,-7768,1328,-1444,4609,6729,705,-3968,-7812,3606,-11437,-7202,-5935,5810,7271,-4026,9972,2806,1857,-1168,3614,229,-5422,7821,1913,235,-5398,-3744,1396,-5486,149,7488,3860,-5553,-2701,-3261,-5936,-5243,-891,1060,-7778,931,1629,-6307,4414,-714,-8663,20,-3738,-734,-1391,-6147,1038,1589,-398,2455,-7549,5084,1622,14975,4152,4409,5043,5202,-6471,-1370,8317,7610,1872,8625,1863,-5778,2535,4324,-1547,4052,2664,-5572,1258,-12544,1957
