-49,169,-242,-342,-212,310,326,321,167,361,244,-251,349,-622,210,-606,-477,-121,435,78,451,87,402,-264,-29,457,366,40,540,107,-527,109,-261,-372,-24,-527,306,58,72,249,168,621,112,84,-72,-587
-15,-74,171,-4,-220,14,-266,-118,163,-339,-140,34,-12,281,-97,-244,109,-63,-136,-307,175,-26,110,25,-39,10,388,-145,432,231,-18,-4,-296,-371,469,125,-682,160,151,359,-163,344,352,261,-249,-538
348,-82,-334,428,-176,537,-573,-246,-522,579,454,491,45,-119,-133,650,-550,-349,21,158,-795,245,-827,358,-874,174,-55,-275,70,-150,557,325,-20,108,345,-409,14,-114,185,-172,-414,-480,589,-28,-249,-290
707,-748,364,408,289,-271,-482,116,384,36,545,635,-167,-491,-37,-61,411,66,-674,-111,314,1181,8,164,-246,846,-595,-67,-783,-440,-13,-278,282,-84,642,529,344,-60,-170,-403,-331,-730,635,-201,-16,-278
482,678,-188,-267,619,-93,183,240,-173,-233,267,402,-466,-641,188,669,-239,281,125,285,423,561,-532,560,-1011,381,-634,373,-417,771,304,168,-730,104,910,-237,189,236,-757,-560,367,-931,225,-265,-223,-122
236,-115,687,125,108,-610,-3,-604,-534,-430,-171,334,339,529,-108,33,452,-162,522,442,-200,170,15,-545,75,445,-255,-132,-98,99,-98,-141,-27,455,534,155,-977,-329,216,253,-189,118,59,-135,-594,-563
312,-301,-400,-47,204,229,28,164,904,-797,-135,871,-653,-75,140,-477,-167,75,-130,-842,-521,174,4,-216,513,-374,476,-95,-124,-806,-304,406,246,-220,282,497,-577,14,366,32,-622,-158,-637,40,-587,645
-385,143,-117,-383,-30,761,-337,-610,-226,71,164,-902,-93,101,-33,412,-158,285,-338,-7,-63,-405,-662,698,5,-289,72,-3,-113,494,208,-353,120,-391,-216,242,371,-171,590,287,278,71,-160,-859,-315,96
-83,113,-182,166,267,-238,504,-391,-87,-125,808,508,696,59,-130,-165,525,156,941,-493,1041,399,587,367,-221,295,-219,-40,-392,-70,-289,205,91,596,-426,-30,-147,712,125,-454,263,-332,-237,139,37,491
470,65,446,-309,-320,396,-338,-57,371,-886,-203,-34,-141,49,-36,-202,-424,204,-379,102,-255,-267,-364,-616,-178,16,-3,321,-844,982,452,-306,-673,-190,-296,-89,382,-115,422,228,-64,-162,636,31,-572,-42
507,-386,99,190,-231,143,258,-407,-133,65,236,766,117,-723,712,-196,-354,-100,-161,-528,32,-300,-272,-272,-472,384,324,-208,191,-550,-355,434,-268,393,108,64,-134,206,1,323,-493,545,-71,-62,-120,14
504,263,236,-201,504,35,205,-430,-200,-22,234,-11,259,199,-481,199,-229,611,29,-225,852,-312,-162,0,-676,73,-149,666,497,403,-12,48,137,10,-29,-593,661,-91,-365,187,79,110,39,-483,-139,-385
-98,-345,20,-444,297,498,353,156,-35,567,554,-7,-336,-467,296,111,145,443,-8,453,147,316,-134,120,-232,-617,-563,884,222,-239,26,-540,729,-185,62,537,-196,-894,134,-362,501,349,-94,-504,-274,-115
114,382,-435,157,93,-519,613,36,419,-201,-95,-113,365,-129,-368,176,-1227,-643,390,-100,422,-427,505,-333,550,-114,329,-618,637,-473,-189,521,-527,-684,52,-413,-306,305,-513,-119,-315,-228,-370,374,5,600
4,-125,556,183,-436,-704,37,108,-372,266,-409,-39,528,-8,400,-488,398,313,459,530,-164,44,337,-582,694,60,255,3,1045,-344,10,276,-359,407,-72,-513,305,-334,133,241,357,609,262,105,-368,-169
139,197,-36,-423,312,-210,1007,63,349,254,272,188,-286,-370,5,-322,-475,475,71,-245,270,-336,631,-159,219,731,-96,-125,510,-835,-298,149,29,89,-147,-365,135,-203,169,-58,-76,81,-430,42,-518,9
288,-46,-38,-243,120,431,265,114,-32,177,-95,86,-190,-530,420,-55,-314,88,-560,-226,-436,292,278,-74,22,149,-397,-9,-440,54,-407,54,67,383,-20,-229,230,263,-474,-235,427,-177,96,66,-259,-362
-466,446,-259,-256,117,145,231,-133,-627,324,24,589,-47,120,-108,-286,235,692,112,431,-349,466,-395,141,-152,-773,-409,-256,740,471,-731,-446,649,740,85,454,-759,-247,278,-845,26,148,103,101,-165,693
585,-389,-3,508,47,324,210,-473,435,-20,833,560,-338,-465,319,-383,-301,-14,-67,-123,-238,230,-240,258,-147,-69,-334,-185,-477,110,124,311,83,515,435,429,213,-115,265,794,257,-111,-39,-176,-41,72
-283,750,-314,-800,332,148,540,49,-408,-338,41,504,8,238,-69,-487,-82,768,-267,-666,254,-156,-213,670,-998,440,-193,-34,257,348,165,-770,321,-420,-260,207,-164,277,-112,-200,10,173,-864,537,260,-240
461,-322,35,-340,511,110,682,434,49,-414,53,394,-23,-450,486,141,-483,-155,303,-499,249,-204,-612,-9,-970,294,68,-199,-317,36,458,634,-480,411,-783,-439,-71,-175,-367,-70,157,138,-75,193,-42,-720
25,-184,-20,732,-528,-202,-186,126,464,634,607,112,-75,181,220,-158,301,126,383,127,330,490,535,-243,91,270,-121,511,474,-123,8,231,90,-143,344,-446,675,-184,332,422,-160,-488,362,715,-114,204
343,-157,334,89,108,51,-26,198,227,-388,-321,-7,-31,-245,-281,-156,-221,-153,-41,-57,103,502,405,-369,-55,-313,-145,-47,-149,268,64,1104,-726,-42,429,9,72,478,-507,484,40,-195,406,95,110,-597
42,3,-15,-235,921,463,464,-781,-723,260,741,243,-189,-111,-301,132,566,-125,1056,-251,-245,119,-835,528,-255,189,-302,-447,-351,-585,-267,386,33,756,382,121,-282,-152,157,64,416,-192,-215,-666,126,509
507,-724,846,-249,-375,-34,-80,52,-223,0,-844,-265,-313,-52,861,571,229,93,-543,-54,338,-235,-626,-657,-248,461,101,246,-120,35,319,-306,-295,112,-389,-600,340,-984,-179,101,-291,539,582,-106,-283,-1170
361,-343,160,-410,-339,876,627,-529,-418,-141,24,215,27,-843,722,-387,-484,-48,12,50,-327,-298,-280,-290,352,-409,154,-23,-161,429,-415,733,-541,847,-553,-143,27,-59,125,559,263,842,89,-336,522,-432
