18,6,307,-468,-500,45,-197,-576,-1209,-95,435,-1003,496,367,-97,-141,-81,388,-209,99,153,553,-93,600,115,155,-170,-256,-468,-253,-277,49,-233,-238,-756,-199,-208,-1152,-553,744,14,-34,-59,53,761,453,-12,-260,-248,-300,-137,-431,490,64,-997,550,161,860,143,-479,-369,-347,-768,-376
562,151,-297,-86,835,-549,-412,109,-236,-324,226,-53,6,368,-565,116,255,-865,173,556,-1109,111,-352,-144,-516,402,-170,395,226,-198,-835,247,181,423,477,672,205,142,-273,-583,337,40,-327,-119,-205,1144,136,-300,379,1046,-331,-675,-419,-269,-808,293,387,432,-990,-993,64,365,-510,-33
-227,85,546,321,-294,238,-44,-583,-296,-146,637,-242,199,-212,-38,23,805,772,27,-9,327,225,-117,-104,0,-115,353,-71,-794,458,554,-467,-648,561,457,-318,-366,-399,-13,421,-345,-394,116,-217,339,-453,222,-1283,-237,-458,70,42,-5,-260,48,-76,211,31,297,357,81,-323,-135,-275
682,-39,145,351,558,-587,282,-260,509,-13,178,1077,-31,335,87,-255,111,-829,47,-88,-658,-230,-261,308,-233,260,-574,109,384,738,413,-349,757,-456,512,-465,235,1238,-783,-24,-105,-435,329,519,-135,-569,351,-1075,627,-842,126,354,-229,645,396,379,-639,194,337,5,584,-113,-78,1544
-324,570,347,-762,74,-738,-439,-282,128,-623,-299,243,3,654,-1217,723,-310,-186,345,-62,-786,-46,-324,-593,-344,299,-309,463,176,-155,24,-103,419,-345,166,198,66,-34,312,42,337,-287,-319,254,-605,119,-446,-373,-169,655,605,47,78,557,-532,178,-98,840,-417,-882,1012,-135,-86,-306
-61,949,563,-63,-336,-544,224,-552,-246,408,-246,780,69,-291,1164,-284,720,313,66,-296,-427,265,137,293,-710,-380,-832,829,795,373,-13,159,-553,-130,-1129,10,119,-33,11,472,-487,-639,41,-18,-456,-303,12,-583,-252,-558,-15,301,618,-21,1243,1227,-33,-125,63,416,693,-253,152,29
-157,5,-79,-470,-517,154,-782,113,-378,480,-864,-166,58,-109,-979,702,-333,340,-73,461,198,-345,327,90,-289,-37,622,-219,-502,-221,-653,-34,356,-454,-60,-44,-527,114,122,78,201,-205,-55,-508,-782,462,-483,-653,-962,521,608,-157,-65,-244,-38,748,939,441,-443,-240,300,-84,117,-876
118,197,-436,-106,752,-190,196,494,-128,-418,576,731,-964,254,814,-853,-365,-510,-500,-609,-821,-45,-487,-117,826,-212,366,779,588,-241,-119,-186,440,-169,-44,-1110,368,388,-1478,-95,-795,270,-279,721,-477,-227,32,112,-47,-79,234,198,631,259,-306,-491,-113,99,-334,78,176,-59,326,-74
-322,155,208,-1,640,-78,-806,237,-313,71,-10,-611,126,18,-1294,367,216,12,18,272,261,-60,-525,-543,-51,827,581,-470,-836,-617,-872,254,-101,411,209,202,-676,-779,-111,166,-70,-790,-374,-884,-521,580,111,-707,-744,1011,-123,-127,28,-36,-256,426,389,713,-860,-272,-290,462,52,-10
-300,259,-208,-331,211,126,-285,349,171,222,159,96,311,313,-638,888,-394,185,-458,656,-602,351,46,-647,-10,364,391,-163,26,259,176,-15,63,-62,471,-375,-430,578,262,-587,-145,197,211,559,-945,-37,-345,154,210,997,752,721,-235,312,-418,-175,-345,-791,-777,-271,479,344,239,-429
