-599,-2120,-1809,-3040,2765,1229,144,3137,-693,264,-4792,3248,-3789,2059,1645,-2335,1878,729,-1313,2246,-419,-95,1869,-744,-891,-3115,-2520,-1056,-1517,1529,-1936,2125,985,-1900,-652,1210,-1023,1304,-1280,512,-1877,3103,-579,-2178,4722,-4173,-1732,710,1300,2159,-3321,-3463,443,3623,-3232,-437,1967,3034,-2705,6153,2838,-1114,-1160,859,336,-906,-1554,-721,-103,-3089,-246,1848,-824,1732,2466,-604,2646,1065,525,2157,-1112,262,116,-3037,1275,-3114,106,-2510,2751,-443,4927,-994,-697,3542,2709,1820,1746,2023,-846,-2599,-5,1001,2031,5202,-1169,1753,1703,540,4283,-2333,2664,225,1572,-3596,2075,-1696,-2936,-1084,-2516,-1074,-709,1494,1429,-2173,-2481,-1291,-843,-2964,1033,1239,-574,44,2942,-755,396,-4157,-4416,-979,-4513,1956,733,-2026,2583,-268,3986,2022
2327,2330,-525,1000,2753,297,2297,2310,-5592,7335,-2681,597,-177,3745,-2575,-2251,4040,-2866,-2620,3850,-4030,-128,2794,597,-144,-4358,-3243,-796,-1494,-2467,1005,2382,875,-1448,2407,3638,-760,1387,611,-1601,-2035,3195,-4182,1842,-170,821,1892,1549,2010,516,-3128,1253,742,-756,-1242,-207,-1620,881,-3187,2115,3833,4025,1511,1338,3901,-393,-3505,902,327,-2899,2230,2265,-3676,747,2092,394,2245,-1906,-1167,2069,-2686,-2010,-1281,485,2859,203,494,-2971,4849,-3153,1923,-4341,1753,3652,3173,-6518,2067,-164,-700,5339,-59,-1391,1486,-1601,1753,-3629,368,-128,1450,-3454,4239,-1732,-2284,-3233,-1158,-794,-2721,1512,769,5327,4428,1596,-2684,-3044,-1620,-4295,2282,-1635,4996,1796,4220,90,-1203,-2797,-72,1681,1140,-1786,-1054,3097,2732,892,3883,46,-998,1285
2291,1634,922,448,-926,-496,-2882,1551,1739,2685,1576,-1812,-1348,-1893,2223,-724,-452,-2995,1209,4461,-3515,-2496,1403,2186,-83,1315,1676,138,-1757,-310,-1691,641,160,-1658,-839,-2930,301,3643,430,1005,-794,846,850,2792,-1885,-1116,3318,-821,3776,1803,-1401,-1338,346,-2606,1939,3633,1175,1440,-3783,-1860,454,51,-1855,-63,-2284,-3103,-2094,-792,-655,-2330,-1097,-3011,-2461,-2679,338,1120,79,-953,1863,1660,415,-3063,-1341,-353,807,-535,-1976,-1359,462,1022,-471,-1288,1848,-2532,-2021,1971,557,1485,-4893,-456,217,609,116,922,-2649,-1054,-1250,-3151,1803,1647,-795,4584,-1826,-820,2869,-1797,-2106,847,204,-3941,-874,929,758,-1560,1045,2616,-145,1383,-315,-667,2607,-2827,-984,-2273,3635,-661,-3497,516,3061,-4009,235,879,-368,484,2393,-1781
-1826,2032,-2154,-1857,1343,532,-3549,162,762,1694,-1,-1896,-1391,-1210,15,17,-654,-2401,2249,-5084,-669,1093,-4115,-226,-1605,-4359,-852,392,-1520,1684,2665,-804,60,972,-588,273,-864,2293,317,1025,1181,4106,-990,1343,-45,-1098,698,407,1390,537,-68,307,-2157,676,-4577,-612,2434,-2809,1053,1772,1342,-1014,704,2451,1540,-1210,-562,-3261,-412,-693,3440,2755,1032,487,2204,-1739,48,-1525,1845,-6541,-1485,-362,1873,-1982,-1950,1562,-476,509,-155,3317,-1034,-2656,-3665,-2204,-807,-1337,-764,-72,-36,1565,702,3477,471,-479,3860,-2627,-1184,-52,-608,-843,-899,-369,-2243,-1724,733,3806,182,230,3290,2425,-698,-1189,356,-52,2110,-402,-1413,-1240,-2698,403,1442,-710,-3992,-355,1881,-1,3924,-667,-942,1753,-1142,443,-1431,-2769,-1742,-380
-2089,305,-1125,-4211,-2791,2628,3343,142,-1353,884,384,-1645,-302,-1909,2409,-675,-3840,1487,-1795,4554,-49,-3368,154,-3099,1445,891,-176,1339,868,-2855,-4327,69,2886,676,-3823,-2361,1154,4273,1083,-28,-77,-784,-801,-1725,-2169,426,1048,1302,574,181,-1285,-1974,595,-1466,-1944,-823,-2815,2987,-373,2936,-1960,1186,-1898,-597,-5118,2507,1301,-1512,4043,-4138,-5143,1302,-723,-929,3236,4213,3249,-1901,-1477,5955,-3094,2198,5440,-1221,4931,982,-1024,-1638,-2294,-2167,173,-2001,2085,2104,-2596,-4737,2939,-1084,-474,-1061,1354,203,3220,-2266,-3148,1475,422,1146,2821,-1515,-392,-38,1635,673,3645,-3859,-1269,3229,-540,-1114,2726,-1670,461,-3600,-6269,-1078,-208,2351,2804,-3268,-637,628,1393,1294,-2147,230,-3718,61,-2403,-961,-2254,1291,4859,976,3054,1461
537,1024,-1486,4029,-3601,-3331,839,-962,2639,-2536,4448,312,2016,-3662,46,1722,-1332,-1358,1614,932,-5672,-2544,-2485,-593,1196,2541,3398,1593,1876,2144,-1885,-1867,1743,2900,3180,1170,-1643,-1174,3452,2362,964,-1263,3049,2850,-2327,313,673,-3411,-2822,2570,-770,1835,823,-1244,4078,1329,646,1198,-2212,76,-2716,-1650,1979,1321,-2660,-3177,-605,-176,-1353,2648,-860,-1127,4624,-755,1268,93,2474,1703,710,-511,-1334,-4387,932,3295,2273,1281,-1213,1836,-3738,3942,-2751,-1056,149,-1009,1371,2433,-3800,-1933,-1483,503,-1032,-1344,775,-2193,-1911,4195,-4404,-195,-735,-461,-1151,3277,1805,-149,-423,512,4638,1401,486,-2102,511,-1114,3217,3086,1809,5175,-4265,1346,543,-2824,539,-75,-2046,161,4359,-1668,1638,2480,2439,-4170,-1013,-1278,-2223,-1199,1796,-3301
-1586,342,4131,-5778,107,4758,-2744,153,629,2390,3251,-2803,-75,1420,2922,-3610,-2288,2738,-3680,2982,1649,-2220,-3393,-2559,-649,-1025,-825,-2708,2247,-2106,-3293,-2132,1485,2567,-2663,-1865,1474,-214,-2451,-6571,1287,2751,-1004,906,-3133,-274,450,5131,3963,-2391,-92,-1303,1105,3491,-2292,857,-1120,1067,3695,2313,-14,-969,1900,3826,61,-1464,3351,581,3580,1759,-440,-1135,2177,-1713,405,-805,314,4840,-1356,203,-126,-1517,908,-3472,-415,4835,-292,733,2904,-1975,1118,-1313,1093,3687,-2014,-4931,3196,-1954,-1280,-600,-473,719,-656,-2878,-1488,483,-347,3705,-547,-1366,-738,-6191,-1105,-509,2231,962,-1984,-2769,-3313,-1870,-3161,2360,77,-1296,-2672,-1745,5652,1763,971,2405,1596,3131,-809,-945,-1705,3463,2054,679,-1060,2214,-416,-3163,2299,-766,2106,-2333
2663,-2597,1257,4794,4988,-498,-1369,4447,-561,5548,3190,170,-1614,-59,-5192,1340,2517,-7408,-1114,2443,-366,1729,3567,1558,-4491,-3050,-1370,-2080,-4703,-2363,2786,1063,-3446,1318,3116,2598,-562,-1919,2926,-1595,-1278,-109,-3461,-1435,-2204,-1809,2982,1156,368,-3216,-262,1200,1767,-1315,-2281,1036,494,587,-542,-49,2531,2987,598,3186,3506,-129,-3811,6364,3489,3819,3106,-1175,2722,1760,-1948,-563,2513,232,610,812,1426,-896,-3634,439,-711,-828,566,3180,4528,-4357,-1167,-4225,1106,2500,3551,-2468,1670,3513,-1642,1880,1462,-2269,-2355,1929,244,-5192,2366,-918,-2650,568,2796,1226,705,-701,-920,-1851,-2254,-1658,-4239,-420,2324,-1898,-1118,-3686,97,-5209,-220,372,1903,737,1834,-5360,-963,-3168,-1766,-2212,-5379,1772,-556,1354,4303,3695,-1719,-246,-3080,-1421
1641,-663,3139,-388,-620,2350,-276,-1861,31,105,-1862,1612,-1867,3987,-1697,1279,1369,1307,-1537,-1928,4269,-143,2001,764,-751,3711,1195,-2580,942,-590,1495,-188,-1316,392,-915,-687,3420,1683,-3063,-1838,-54,-4706,-619,-1269,1632,-2454,-3540,1310,1861,-4689,2533,-161,792,363,424,-651,-4172,-71,-220,-1748,-780,1392,-2932,-2994,-1394,2909,-1107,792,2844,-1784,-3555,-1807,-3502,-4470,-3412,586,543,-830,-1042,470,5108,-2246,-1925,-830,526,-2329,-748,-2137,936,-786,2631,650,2937,1046,-3643,914,-579,1218,2854,-1557,799,502,-1894,-822,-3267,-3398,693,6,970,1272,1524,-1253,1959,-60,-1024,-965,-1783,1098,2883,-1757,-2346,847,-353,698,-3141,-246,2881,410,1902,-424,51,870,4942,1814,475,-742,-4820,-129,1321,581,663,-385,-5405,1490,-2537,388
477,-1510,-496,53,3255,-752,-691,458,-3485,2585,-68,1133,-1274,-1556,-2258,1709,-1751,-2421,-1130,1718,2787,-149,4701,495,81,-1043,-2766,569,433,-2088,1806,-519,2379,3847,-174,2053,2465,350,2228,-2435,-2041,-416,-2226,989,2480,-2082,-1980,2218,-1261,-2137,-1877,268,-654,998,-832,-2541,-804,-2656,-1022,59,21,3706,-2239,-590,-954,-388,-2368,1624,1280,3084,1707,663,-44,523,2038,-1057,3582,-966,-2639,-652,-537,-598,-2670,-2223,-986,-254,-1909,2262,-1137,424,521,-2805,107,2863,1382,-1511,-259,1801,2892,2400,1160,180,403,1124,294,-1970,-318,-898,-165,-1188,3074,219,-949,-209,-2973,-2759,417,-1064,-273,256,308,752,-1391,-297,-76,-2318,-133,-704,1100,132,620,-3209,-532,-1223,-780,-925,-1324,-623,-2391,-965,3401,1379,1222,1293,-607,-3659
