1527,-550,-3624,-1969,661,495,722,-2065,-681,-1491,1853,-1261,-1222,2429,-753,-509,162,-1621,-132,39,1783,861,803,390,-2948,-1930,1448,1957,-189,-335,-921,-4357,199,-247,-939,-371,-980,-170,-805,-3896,-2675,99,2029,1888,-1701,-1131,476,777,1714,-460,-1070,-1539,166,685,-245,1312,-655,-427,54,-1023,-795,-117,-1447,-1067,1543,3053,-806,-1542,-1339,315,216,-2160,692,109,-261,-531,590,1309,1399,-177,265,-651,1003,-539,1322,1996,-756,1872,2527,182,1603,41,1086,741,2328,405,152,37,-1390,-543,-888,1486,-1736,-662,40,-1176,287,-159,2024,684,-3220,644,2128,574,-2658,176,587,1129
-546,-288,0,10,550,2333,3125,-2609,-4618,-638,3108,-2963,2980,-356,-2914,-1394,970,-48,3830,-1006,-158,806,934,-1349,-110,35,1684,-925,561,346,-1133,-1965,137,1680,-1012,2087,-76,802,-804,671,-1629,21,3837,-1687,-350,-1056,526,2964,900,-944,-1585,-348,-52,-2291,-1824,2031,-2136,2186,-120,-1295,2436,-5483,-496,280,-3802,464,771,-2261,2558,-916,1814,2031,763,-1116,218,2103,784,1416,2755,-2036,-2628,1343,3214,-496,-1761,1655,3179,950,2082,1047,1311,1687,-494,-607,-2059,279,1394,1793,-1980,-671,1330,-36,-1521,-2176,-996,-1602,-1017,-663,-593,0,221,-322,-1559,-1385,-2979,-2106,-525,2124
-805,-1480,-3229,-1077,3745,2273,2701,-1311,-787,907,3108,-1338,1212,-2098,-454,-1558,711,-1897,-764,-3849,3103,187,1189,1463,486,-3915,660,-61,284,946,355,300,-623,-658,1048,1259,-629,105,1993,1176,-1158,3056,971,-1167,1486,1372,676,1253,-565,1422,1618,-1101,3000,402,-2117,1599,-2996,-682,-1227,844,224,-265,-1797,2128,-902,53,112,-607,-1540,-1320,-2987,5,-487,-1368,23,-79,428,1933,346,-1752,383,2998,-431,813,-1300,2922,676,-330,-1032,-1355,1217,-918,-2337,817,-740,2690,2058,-998,1208,864,-1520,2892,-1767,-1275,-23,-4628,1368,205,1640,844,-1386,1041,-143,894,-1213,462,-1325,-2432
-318,3787,1867,-2159,-2179,-690,116,-1797,1103,-976,-1759,-756,311,-555,-2123,377,880,-806,-1618,245,-248,-1158,395,-849,577,-1661,1162,-684,787,-1327,1584,-1602,3448,-1583,58,-202,-2658,312,721,-1450,1819,-1,1156,-98,-457,-1855,-785,-3202,1261,2429,-864,1977,-1133,1143,-697,-22,932,884,-1914,-743,985,1284,3847,-3070,180,264,1435,290,-908,399,-371,-372,-1087,-1653,-2756,75,-971,-2141,-1730,-672,1365,1966,1269,-2817,-106,921,-2252,-1753,-824,133,-1950,2366,1517,516,-14,-1493,3621,-615,1605,-601,4225,-1686,-1094,2599,-300,3077,2858,-1790,1265,-1106,-3259,-2627,152,1524,222,-1127,-3643,608
287,-568,-3223,-1349,-26,-1181,647,-1048,1728,-998,2225,-1051,-1104,338,1104,-199,-1132,-2216,-1962,95,2634,-1888,1105,788,-660,-1920,1069,-110,-1720,-898,703,-966,-900,-422,477,837,-338,-317,486,-2089,-1323,1421,-677,1526,165,897,784,-1067,1554,-522,830,-625,2264,365,-974,842,-1983,75,-354,353,-4167,1890,-1601,-661,2740,2033,-1461,-930,-905,-1868,-1695,-3115,591,-794,393,-596,-1575,2226,357,-89,915,-433,1341,-101,1388,1100,-1114,361,-9,-1929,1846,-1020,1035,1565,2330,1195,-92,-866,-991,1360,-1252,1804,614,-919,-441,-971,62,-1469,1744,2473,-2470,1099,62,1266,-3376,1688,-1176,-1200
-203,672,-1274,159,-190,-1020,220,-1561,-442,481,467,-1215,789,2914,-1543,1090,-594,683,604,1964,-1421,-871,1895,34,-599,1083,630,71,12,-383,-1372,317,415,-469,-916,-1523,-903,-1343,749,930,1360,885,220,347,-675,-540,-1749,1603,588,-619,-824,90,112,1126,97,-1196,-882,2076,1825,2076,-2335,807,-926,-552,1273,-946,365,-1224,549,-544,470,768,542,-134,1117,-518,437,-1409,1229,792,761,-1287,412,-584,1069,95,-732,371,402,-663,2010,-261,-754,1655,759,424,-757,-255,-1372,-998,-1649,-205,-935,-1861,-196,-179,897,370,-199,-537,-26,-278,1308,-585,-1548,-715,-3036,1462
2711,-1996,-1487,2057,-1036,-504,-650,1935,-306,-581,327,-1157,78,975,1005,-288,1326,-546,77,2197,-358,2552,587,289,-2433,2472,787,-2305,1451,-2439,-678,44,-2630,942,-1023,655,1146,-481,74,-1480,880,-540,1009,468,-1519,1812,-1050,-57,487,161,-540,-1965,-1130,-26,2307,-641,881,-460,187,-142,-1561,-291,-3222,856,1939,1226,-1264,533,-375,-516,1850,-1907,-866,2873,38,44,1557,-1249,1722,-262,-302,-1100,2181,819,1634,-64,-1135,1689,2015,-1113,-1337,-494,-216,101,481,831,-925,998,-867,-583,-3052,-818,-1070,-3018,1613,-1116,-1570,-1999,1067,-2228,1031,-634,1821,-56,-1146,1152,3176,619
-478,1351,-1058,-871,348,762,941,639,1199,557,1078,-529,-1730,-2110,1022,-1849,-535,564,-1305,770,-180,-2518,-709,552,-657,-2053,1929,80,-638,-54,1075,-732,93,-1382,1490,1969,-1540,-441,1440,945,-300,-921,624,370,26,-1503,1278,-869,-269,568,-838,553,2430,1345,-1657,-905,1111,-314,-390,176,-1403,1635,-1032,-869,-107,-638,-1446,787,-1149,-998,-665,-1277,-1337,249,51,20,-2010,1232,-1534,-1201,291,2254,1701,-667,1719,572,-873,-1018,-723,-147,216,722,566,-361,-863,632,537,249,1005,1914,621,-316,-653,-1473,-655,626,2037,-1204,970,-366,-1690,61,2620,1492,-1643,2638,-185,-790
-1516,2837,-222,-1007,2139,-1717,-2379,90,-713,1351,-1756,571,-1303,438,2207,-1349,-667,928,154,-503,-327,1095,-1274,1041,1269,1152,-1093,4366,-1265,177,78,652,1665,-12,1137,130,-651,-862,2483,-1907,2412,-1405,301,1329,974,-366,325,2148,-114,-1034,-982,399,-565,1499,-4980,631,673,-419,640,1201,691,1790,1214,-731,322,-693,262,-567,-1990,2834,-171,1254,-1370,1359,21,-641,262,-528,-1764,3588,-362,730,-429,277,1795,-320,-1764,-2534,-722,-1238,-1822,1510,-2028,2631,-3,3526,-949,3152,592,-1666,-1940,-1266,-406,1747,-1816,1574,819,-1318,-785,-1701,-244,1298,584,2374,225,-888,-3037,835
-2429,-538,2015,-1083,1523,142,-2859,-11,758,474,-942,3004,21,483,1173,-900,1265,1928,-608,-1120,2070,1422,-2212,1634,398,-2229,-2492,1588,-498,1479,-895,1169,-1645,-770,-463,-453,1392,644,-2463,-917,-613,-928,435,-495,-436,-479,645,-1165,136,1284,-378,-1564,1624,135,1328,3559,753,-349,1250,997,1133,-1405,-123,-1841,-603,1937,871,-639,328,817,726,2679,1754,-1369,567,-1505,-210,2691,410,2471,-3767,33,-3853,607,-2055,2566,437,-1221,1341,597,-877,-664,-302,338,871,1526,-2516,-1475,379,329,-339,3032,1869,2928,-1124,2598,-2266,2177,-108,634,909,1551,-3350,-49,4342,-653,484,-3037
