-448,161,-416,201,638,134,570,9,-495,-948,173,576,-376,-937,-545,277,-526,-68,-297,527,-168,414,-184,-1002,-570,577,-225,-528,151,163,301,-90,81,-371,134,-409,793,-255,340,-268,199,654,916,10,271,708,582,955,145,-1167,802,-1215,226,268,-678,824,-10,-618,226,-532,200,-462,503,281,-380,-73,-511,-166,92,145,618,74,354,196
541,18,-648,328,-817,488,-251,1230,-590,-822,450,-1068,-182,171,-30,-1151,-393,35,-639,179,352,85,-704,-594,601,838,-1150,125,653,244,710,117,451,634,1543,339,302,-6,-159,54,-843,-47,-143,-167,356,84,-1640,-867,776,-354,-421,-278,580,269,106,-282,191,-122,-929,9,-775,-1028,-526,-799,-277,-493,-932,-352,-59,288,284,-1074,525,53
-82,272,-543,282,-87,-232,-110,-126,206,-927,95,398,7,-125,-813,124,-51,-705,-154,422,307,-830,-757,-187,239,1178,599,-26,-103,714,739,-941,-511,-92,-675,530,-178,-235,571,936,-384,938,922,509,132,-151,-169,-281,-696,221,148,-259,-1126,551,493,525,-22,399,-52,-71,1084,-517,701,445,51,403,776,-365,369,178,51,135,144,560
292,252,-331,-1047,388,317,585,-186,471,-948,541,863,-549,-300,977,-565,-357,-71,56,418,889,545,294,-114,-1044,917,583,-62,750,-726,121,1467,-500,1101,-738,515,-1260,220,-465,-163,587,-149,139,-34,-316,48,1337,313,-819,-396,348,-459,-521,-567,-754,307,-154,-736,409,349,-182,659,528,218,-296,100,-160,517,759,620,87,-545,-550,931
-474,-133,-575,385,-677,-724,542,-471,354,-402,-285,-395,46,-523,-370,92,-608,-140,-546,262,-320,-152,43,-265,295,52,-692,-380,-728,635,702,-771,153,1,337,1020,-705,-474,16,-75,200,-211,83,465,-249,-694,121,-878,-601,627,-52,28,-1296,-254,360,35,97,598,-519,273,696,378,-292,204,-330,489,-588,335,749,520,775,-671,127,-234
-247,-433,1188,393,-92,-1657,923,-1573,-303,720,-538,-710,86,231,47,209,582,-107,22,-897,-371,-205,442,-13,-91,-1176,-958,-1625,-1101,87,-740,513,788,-677,-206,-806,736,-62,-255,-442,824,155,-578,209,-669,-767,426,807,-1113,953,670,-693,-511,-161,-191,-617,827,274,220,280,1113,161,217,258,-85,1244,-504,146,-293,-317,1440,-124,889,-1108
921,-422,635,-908,828,850,-56,294,-1082,-84,586,1076,-599,365,164,116,233,-375,564,-216,-98,124,250,29,341,871,299,-89,779,-278,-840,1102,-112,399,11,-191,506,543,490,-467,-565,27,-979,129,230,1244,-296,1159,842,-1854,336,199,1015,-84,-193,177,17,-1003,251,539,111,-955,-36,242,314,86,-417,328,83,560,-226,-594,920,157
-368,1683,-459,139,1067,-224,-195,454,-145,615,462,1301,743,-497,-1309,2089,-1096,560,-1216,620,-1379,-303,481,-713,-113,471,543,-103,-182,1270,-157,-624,638,-597,-1054,-162,87,-850,480,496,454,142,1144,1350,135,516,975,-65,40,-206,-607,-338,-751,-346,789,2014,255,561,-328,-255,-523,435,877,1022,-911,-820,1442,852,-986,800,-1306,433,-1182,97
144,94,557,96,-597,-1193,685,-536,-436,-440,58,458,-347,-207,-22,-297,388,-959,-44,1417,-37,-1033,-1294,-526,775,599,-774,-702,-453,-536,301,-492,-568,-317,642,-80,-836,-308,1320,-465,-470,-688,53,724,-563,-670,-624,125,-264,437,283,-40,-157,-414,495,-334,709,967,-903,750,354,-526,-932,348,-469,517,-911,340,-63,-209,491,-670,-871,-58
-70,435,-14,-28,-410,-723,120,38,460,16,-210,31,-551,-561,617,-44,-204,-190,-619,749,403,1032,163,629,-508,-151,-256,-121,-260,-90,489,-373,659,-131,672,-420,130,-163,1143,364,524,22,278,-489,-344,270,-136,615,18,349,-144,100,-977,-787,378,-366,817,278,-199,390,-891,-698,380,838,-523,-258,692,-262,-509,46,-853,-577,-1173,411
