-369,348,-348,-200,-143,173,-127,526,0,-133,-12,63,181,245,-203,-426,-230,-151,-84,285,11,634,-184,770,259,-236,46,341,-390,-148,126,-192,-1012,-439,464,133,260,1080,476,-514,98,-128,14,-344,-449,96,831,-61
394,312,-740,-259,198,144,340,245,75,897,441,275,752,-682,659,-194,-316,-30,182,-52,-337,-349,-58,-992,-211,421,-417,-586,462,-230,329,-312,-309,-246,399,-384,128,171,-326,146,559,12,-553,-4,603,199,423,205
26,203,-2,-419,151,-17,-472,-346,-26,-196,25,-444,467,203,78,-204,18,828,328,77,-516,-66,-449,203,-578,4,-489,311,-195,162,-360,-56,-81,80,486,356,299,185,100,-8,-298,295,-36,-145,-78,-150,624,-93
-31,609,78,-91,-31,-788,-1008,5,476,292,-291,499,730,-105,-18,931,179,881,-55,765,-669,328,-535,-291,389,169,-185,489,-429,-714,498,-787,34,-108,-657,249,43,-114,-849,-76,478,683,694,-710,258,-243,-745,-172
188,-231,105,248,-383,77,194,-381,-627,-221,-234,-374,154,-186,259,-441,431,395,276,261,476,-3,573,-657,-252,-20,-332,-1166,-222,-447,550,94,804,904,1071,113,65,-522,-794,658,-39,139,-178,-134,-125,731,403,301
-443,444,-595,-816,36,-622,-202,800,-279,-476,-326,-321,-391,126,164,-491,24,-422,-539,202,-472,688,-653,-262,493,-154,-495,-269,-1132,-171,-618,479,-555,-710,-158,287,-392,509,801,-828,-385,587,-417,-418,-18,686,534,376
21,-429,-229,-462,195,145,171,-218,-29,489,441,238,-239,74,17,-173,-403,-63,-387,-463,-20,-293,651,-108,-225,144,259,-359,-456,228,15,521,55,87,-174,-66,57,333,291,-54,-451,265,127,216,159,62,-159,466
1058,609,-178,-13,34,524,881,616,-13,476,-178,-319,551,-830,-254,361,-680,19,-418,151,271,-867,476,-272,591,99,262,281,510,170,318,-269,-64,185,152,563,551,-403,441,352,463,-343,-62,156,661,-904,-594,258
-293,94,-366,237,24,-165,126,-80,-118,255,210,-77,216,95,271,-174,69,273,50,-321,37,377,-586,-569,204,-244,-38,-728,140,-50,438,-6,-64,-221,615,-650,-146,232,-535,82,266,290,200,-408,-830,296,754,213
110,-349,285,250,746,736,959,1166,412,-89,-212,932,-442,-35,-279,-162,493,3,-552,-17,-409,-346,299,275,-198,-460,192,210,376,12,-125,-384,-376,103,266,-79,-314,223,608,636,815,-813,180,387,-299,-816,-241,-448
87,285,416,292,-791,265,-25,185,-9,-770,-418,-121,-683,485,4,-227,-23,-510,147,508,411,-120,-88,76,388,326,324,-27,334,-62,517,-204,220,557,287,-308,792,287,-200,66,924,70,-38,-346,648,-34,197,-494
109,-135,-127,976,-19,136,986,498,406,634,-71,255,18,93,-558,302,1025,317,-102,-476,-93,227,-703,-538,389,-126,633,-808,-385,80,59,-125,118,376,350,-190,-663,-36,-122,-98,33,-235,343,184,-855,270,-23,490
590,418,-232,213,-355,-279,105,226,697,184,2,-977,484,-5,121,482,-595,254,-81,28,359,-684,-491,180,302,329,242,-376,-25,-265,459,-382,-351,381,221,132,-85,-443,-120,-298,446,-450,-932,121,718,-473,-113,-527
401,424,-239,-203,114,-222,-54,-161,611,873,125,-405,813,-92,-91,605,-475,-65,-153,394,-752,-612,-218,551,19,53,126,100,-201,-503,647,-185,-359,209,61,261,9,-116,225,-206,223,-313,-118,309,420,-617,191,317
583,-263,-6,77,201,48,-223,-61,96,-844,-221,-541,-100,1,10,482,-156,759,-978,-167,83,163,-801,-46,159,18,-93,-449,90,-787,192,-132,259,226,704,143,-204,-178,142,150,-7,240,-224,459,126,68,-379,-51
131,444,-488,352,-685,272,73,594,164,569,612,-137,348,439,-53,308,70,511,83,595,-25,184,145,414,62,441,-366,43,-398,-558,851,-798,495,-16,740,39,625,200,-195,297,536,-563,-194,-345,449,-25,431,-238
-365,-144,886,-96,368,-355,199,-358,-573,-760,417,-761,-347,554,-60,169,757,-19,-214,-522,633,-81,259,-731,77,188,-254,574,-30,727,-1226,-318,446,-197,-301,520,-384,-398,693,43,-370,-345,-11,505,-313,-536,141,-535
-158,-304,170,460,-360,-385,177,-604,-74,281,-140,-329,406,352,-21,419,-182,540,275,-130,97,278,455,9,-197,575,656,-443,-604,-374,-225,-825,1213,709,118,-60,427,-243,-161,274,-216,-411,508,616,-558,797,644,516
-455,15,349,118,698,-904,77,-195,937,68,-287,600,-404,1310,-258,-52,917,-622,-718,-650,-549,279,-285,-544,-373,-165,348,597,-11,801,-459,103,-80,207,-356,129,4,-76,608,21,1046,23,332,100,-649,-613,-493,-521
71,-153,267,-126,-428,277,10,211,-983,-110,405,-297,-312,-360,-178,136,160,443,172,601,335,-308,827,152,-52,11,-817,-325,-912,-447,-85,-697,797,354,-258,-525,475,-819,90,168,-229,168,-415,-308,555,-480,398,10
72,488,82,-293,163,388,-461,-361,-24,-53,124,400,-23,-283,320,-94,-373,-870,372,621,-90,259,-369,-201,-212,158,-785,334,444,34,196,-157,-253,32,245,255,473,637,-305,360,351,257,185,-17,479,-343,-121,-129
-153,231,-419,-115,-159,5,431,595,15,-92,140,-229,-23,299,257,-183,193,-224,46,-489,-176,-18,102,158,346,-44,193,333,533,133,-205,-111,4,-31,207,24,-157,603,595,-198,-64,-155,-423,160,-335,585,596,88
-379,-120,753,352,-621,-201,-176,-219,-83,-123,-634,317,-80,-135,-67,124,-100,-10,977,441,236,-39,479,338,-8,104,259,-247,-535,-602,258,-267,451,783,81,-176,256,-352,-770,-470,383,81,717,-143,339,66,-28,-200
596,-108,-291,317,-476,161,841,353,0,58,-236,-554,-141,197,-692,-332,8,378,164,-451,144,-32,31,83,-244,294,463,-17,-126,-279,1,333,-115,442,335,406,-52,-520,436,220,16,-797,-532,294,-697,407,354,917
-288,68,-528,188,-634,76,-70,617,-100,199,466,391,-44,381,-473,-956,388,122,495,202,-320,521,84,691,138,218,-532,-293,-25,-453,918,-316,-32,-1007,160,-544,-56,410,-220,-246,7,324,-139,-178,202,32,84,102
14,-214,-81,-139,-28,625,904,312,-680,304,883,-293,181,-342,-560,-1018,250,-542,45,203,150,-745,571,-381,23,232,435,41,471,718,141,8,-395,-441,-86,-339,-121,401,128,7,-544,-603,-18,437,-396,-147,230,69
-456,-179,94,52,172,409,26,418,188,344,175,600,199,-178,408,487,-64,365,-111,-378,154,-180,-8,684,233,-515,192,119,-370,-94,-63,-175,12,40,275,-679,-304,350,185,-336,518,-4,432,-356,57,-844,424,-759
-317,440,247,63,333,-468,-28,-422,-391,127,119,-47,346,56,103,236,695,-58,436,-420,-156,685,15,-436,36,-383,-340,120,11,27,-174,-242,328,-392,-281,169,34,-93,29,795,86,981,260,-155,193,235,88,212
-371,-440,610,240,449,701,763,255,-670,-454,46,552,-216,-210,-14,-443,288,-275,346,-129,192,71,749,-38,18,34,-183,296,333,263,-365,-613,122,500,-64,-242,23,-56,263,818,436,-433,52,222,-509,-263,-23,-199
-613,116,-228,-869,268,-157,-607,-596,-260,474,818,-353,-77,-91,1027,240,-741,-697,35,-257,65,-514,333,53,-72,-560,-823,452,-220,879,-6,360,-187,160,-272,-181,444,167,126,-283,-798,409,-513,-283,171,-106,409,-145
354,-360,230,36,317,63,105,-12,100,10,663,186,-558,243,-577,936,601,444,-438,-768,-90,47,-602,-19,-88,480,135,820,31,323,-673,66,86,199,-171,659,-1408,255,598,-104,-549,-73,93,162,-229,-565,-1019,-103
-90,18,-214,-143,40,-759,271,525,-58,-162,-180,468,-195,545,-385,-362,665,38,-621,-349,-521,619,-287,-545,535,706,-94,-190,-135,-260,-212,-391,380,-549,-497,-231,-570,117,34,145,177,11,150,-199,234,174,-308,-411
-494,-224,320,-287,137,245,-370,526,399,-248,484,866,-125,-273,309,-100,265,-369,-121,789,-383,99,-419,552,119,-320,-937,756,-124,194,476,-209,-526,-427,-231,123,-339,702,-179,-1024,-128,46,986,-73,656,-413,-228,-892
-44,-95,93,301,-380,50,-230,-269,104,-300,-456,297,-234,-4,422,182,-819,-30,432,-337,173,332,-445,81,381,318,-78,-80,-40,-157,524,345,134,309,466,-478,108,37,-450,-387,147,586,432,-345,232,622,172,290
37,-46,113,450,-280,-102,345,352,744,177,-437,430,-261,92,-58,381,-28,389,583,-281,-840,-6,-635,470,-196,-36,-95,-61,-400,-686,474,132,427,862,23,-330,-153,515,-318,-150,348,401,218,182,22,264,-120,308
-92,-896,623,384,-60,294,49,-508,-502,-508,-74,299,-541,-15,-340,-89,438,310,100,-57,399,283,702,32,14,500,411,-562,-159,-271,-150,115,610,136,-298,145,-408,-234,-550,184,-215,-45,678,190,-534,924,-509,279
-388,10,-384,-924,184,-510,-629,-292,-9,167,110,299,84,8,-115,-785,-242,-281,-351,-99,-207,421,-269,252,-22,-580,110,66,70,90,-16,774,-94,-371,-359,-360,-307,455,-455,-183,-301,478,464,-202,56,87,37,-218
