55,156,-2929,-3632,3445,489,-84,-932,-515,-2762,2013,248,1639,341,-2172,1733,-886,-1135,296,-912,-2341,-822,1993,1211,-890,829,1839,1145,208,-1990,262,-1720,-1348,-20,1570,-1044,-2756,1994,1059,-2117,1490,1589,-1457,1623,824,-1905,2807,709,-346,229,430,-581,638,4728,-2549,1657,-4810,-389,3135,1085,-949,2123,95,-1145,-222,348,-2422,-1334,-1805,2256,-1693,610,-2068,-1417,-1218,-463,-1970,-1049,-3891,-1565,-891,-1016,-758,78,-196,-2701,1656,3797,3147,899,-2788,927,-3479,-106,-1122,-341,1119,2401,2001,-4114,3074,1122,1558,-467,-1120,2876,-522,1230,1286,-1084,1422,-1221,1543,1090,-308,-251,-951,185,-507,-2677,1436,-2578,2079,-2227,-2581,3906,2093,2963,2748,2251,-1802,2647,646,-2586,-108,-3155,-3533,-2132,-2016,303,1330,1906,-2252,-696,-1684,1873,3868,-797,-1338,-1977,3009,-1261,-437,2125,26,-535,-2755,-2183
1397,3271,-5489,616,112,-6294,3202,-1939,-1705,233,3242,-4400,-3102,1355,-2108,3235,-2213,-106,-1601,-1360,-787,-7671,-1567,821,2399,939,7638,255,6683,4369,3233,9,-1104,-100,9343,-5318,-3420,-1794,1482,1157,-590,2186,-3571,-3167,1008,-3329,3617,754,-1308,2339,-1939,127,-2517,-1069,-3141,-3871,1642,2617,-540,2492,3696,2366,-5622,-2872,-4118,1595,-224,254,-549,4565,1678,-3364,-2387,-1039,-2202,-1275,-5047,245,2299,-1341,1687,-188,-474,5811,1371,2164,-2193,-1450,2639,1245,551,-347,-2481,1205,-757,3321,2600,-943,-1318,-877,-1298,268,850,569,-2647,-2330,940,-3509,3906,-15,-3252,746,2989,-2177,-1856,4030,-3094,-5795,1978,-138,-1556,5534,-208,-1583,1151,-2510,5652,1363,929,3028,786,3368,-491,4651,-1169,-1141,2130,2678,-2641,2455,3031,4565,-204,-3076,2349,-1568,-3815,1128,1422,-3175,-2125,-4539,-3088,3373,-3866,2275,-319,320
2013,-4600,1703,-1469,-381,936,528,-894,932,-2131,781,2733,1954,-1366,3704,-137,269,-102,811,4189,-4000,3051,-2663,-3553,307,1021,-2608,2449,1312,-4626,-1920,156,-1646,-838,-2900,879,-2017,-2860,4377,-1168,1631,925,-2534,-1525,1447,-395,-4194,-1894,-5329,94,1068,2783,2426,-1227,1900,-2927,3027,1210,470,-34,-1596,-719,2403,-1068,-3779,5469,-435,-4010,1716,1090,-2672,-597,-364,-3345,-400,3109,-754,-1183,2251,1276,600,-2661,2286,-3206,-5126,1892,-4155,90,-3365,-687,-1985,3262,5,347,-3419,255,11,-5088,1691,-306,3783,1140,-138,-2359,1738,841,1408,-2746,2321,2875,-916,3166,-1471,983,-1295,643,1553,3107,1247,248,1059,1213,4348,76,-959,842,-1132,-41,-2767,149,-246,-1066,-1169,-663,-2355,1974,1465,-1576,1649,17,-2635,371,-1361,112,-6412,-5102,539,-2327,-599,540,-406,3016,1146,220,-1107,-682,961,-2036
-1396,1706,-3258,-976,437,-2253,672,-951,-5456,2738,-1027,-605,-648,-2556,-1359,3554,-4402,-4273,-2297,-1659,1431,-2735,-456,378,3011,2708,2006,1158,-600,3269,2666,4443,6640,-5274,-1377,267,-1178,3282,4372,85,-1842,-598,-656,3110,-3050,-464,1551,5686,-991,-351,-615,1457,-1603,-833,1914,-1114,-2034,-1795,295,-1227,855,3051,5908,-466,-4076,1512,5279,1683,-18,4184,-2924,1427,230,-2300,2000,35,1160,1318,2408,-2945,-5433,-1559,4248,2311,1387,3503,1369,-1006,-3233,2744,-322,1006,-1813,1329,493,2707,2499,4667,4709,1883,5676,-1933,-882,626,2725,-384,-2617,-891,38,577,-2026,4211,-1663,4510,-2565,-4709,-2911,2178,-3997,-1720,-1780,2997,-4586,-1729,1323,-49,-644,527,534,817,3700,-449,-47,-951,3803,3109,1888,-993,1130,1650,-2709,1315,2898,1282,-1050,-194,3029,1555,-1298,745,3774,-4817,1926,681,-450,-242,4903,-1018
-2597,-1912,4178,1857,-370,1633,-725,308,606,3139,-3994,-1404,-2832,-477,-3486,-813,904,946,-2968,2616,-941,847,785,-666,-3407,-2915,-5378,-147,-3801,-1172,2007,-1552,665,861,-3585,3433,1850,-3273,-2738,3456,-3837,-1801,2635,-4279,-5233,3843,-3723,-3447,3891,-990,-1498,921,-2587,-3609,-734,979,1532,-2422,606,-2381,-2553,-3536,2703,1469,1423,-1564,-479,-250,3710,-672,2050,-2103,1038,4541,310,3787,-524,-1029,-2605,312,3390,708,2435,-3113,4084,-5376,-2927,-2771,-2393,-1776,600,-2880,-473,951,960,456,-148,334,-1803,2182,-1813,-1363,-3082,2403,-2953,-2595,-2301,3658,-4192,-522,4735,1260,927,-28,1092,-1593,-220,264,-298,3863,-498,-2801,-5251,-2792,1275,-4724,-3823,-5790,313,-5168,-45,-804,-226,-1091,2796,-297,2070,1650,4432,-4114,-1254,-973,3697,978,1470,-548,2415,1310,2309,227,-2153,1754,-2841,-4573,2616,-361,1049,1700
-1224,1124,181,3260,-775,-19,-511,366,-2903,2173,3519,-2809,-1834,557,-3716,913,-689,-2383,-1468,1934,-1549,-4571,3681,-2972,2621,2760,1748,1888,819,2631,416,-1127,-884,1644,79,3103,646,355,899,4255,-1087,-644,-1058,-931,-2397,1024,-393,-9,990,-2720,-2473,2044,-2110,1072,2806,2315,-740,499,-138,306,-170,1336,-1348,705,-616,-2521,-112,-1179,1875,-420,2137,18,2002,-307,5373,-2801,-1167,-1868,-1305,-910,-394,2725,-280,-44,752,894,391,-842,796,-401,-1365,402,-3268,1163,-2236,3665,2916,-1828,-197,-1181,1091,-980,-3776,1648,-871,-404,-2793,2181,-968,1623,-1026,424,-685,-2810,2257,-2967,-406,2759,1025,-1991,-2670,-610,-145,735,-6917,2497,-478,-1426,1380,897,747,-2873,494,630,1384,337,-208,-194,2741,1454,-2116,-568,610,1644,-376,181,175,-4416,-1980,144,36,-4834,-2812,1227,2473,-2701,-1740,1572
-1611,-1518,3689,179,-625,4338,249,2921,-1197,1713,-3798,-1131,-749,-1447,1299,-3351,2894,-3231,-493,2501,-906,-7,417,-4258,-1894,-3270,-2365,-313,-286,-1636,-3501,-2506,-497,-2108,-3919,3968,-3623,-153,-2060,-366,234,597,4211,-3695,-1170,540,-4570,-3820,2557,-1944,-615,491,3679,242,2095,3666,383,-865,3712,-2256,258,2276,627,-752,5010,-3266,-165,-1517,2895,-2412,3126,-3379,-1300,1725,1693,3157,-293,957,-3004,-3388,607,-3756,684,-1151,-91,-2913,-1120,130,-1039,-560,-1320,475,597,-2557,81,581,2533,-2253,-923,-1044,-1051,970,-3140,2332,3940,4724,-1772,61,-6971,1187,2436,-684,2005,-925,-174,-4142,375,4921,-498,7446,3396,-3445,-1356,-1604,-380,-2131,-6806,-955,-1691,-970,-213,-1375,1867,-4057,2345,1855,-1599,1395,3144,-509,2310,-4273,1608,-335,-3549,3238,759,-1556,-1998,2501,4000,967,-1786,-1199,4026,1494,1609,2437
5035,-2946,703,-2441,-769,342,1419,3719,-1117,-2529,4128,460,1144,505,3440,2376,-2622,1038,2712,-1098,-2412,-2930,-2845,-1796,-2506,6119,-246,2430,3424,-316,-4603,-2907,-4316,2875,599,-1058,-2692,-336,870,522,5839,-358,-2574,-1649,7342,-6970,-115,-2920,-2251,5654,-1915,3150,3759,-1848,1960,-2796,900,3193,63,2899,1499,354,3356,-2571,-5185,3667,770,-9914,-1111,-3365,-1088,-1194,396,292,-2832,2293,-139,-2318,401,1084,3119,2365,-1290,-4390,-2160,2295,-4210,4489,3420,-855,939,3790,3802,962,-3846,-10,1169,-6514,-2553,-1709,-2668,4659,5112,-2472,940,3480,-4502,-2164,-459,-2641,-5486,-682,-3813,-1116,-2196,291,-1000,-982,2190,1461,-163,6410,4550,2121,-2653,3214,5354,5499,308,4832,1606,2082,-963,-2744,-4032,2315,-3650,2435,-2501,-2900,629,485,-3518,-728,-1666,-4618,53,-2131,5050,3519,-2005,2841,-394,459,-2894,-532,-6170,-1840
-2099,-240,2089,1436,1823,2444,2922,-1777,-934,2347,-2898,-1371,-2492,-3087,-84,1662,-1895,-2960,-1264,-1321,-1289,-2010,3240,-1113,-2818,-2504,-679,-205,-1406,830,1343,-2765,-406,480,-1924,1728,1173,-2148,-926,-1492,-1594,-878,209,-1124,-403,1381,-2232,-1166,2399,3,-1004,151,605,-587,2014,1778,3845,-1253,364,-999,550,-584,676,-613,2188,-4608,-83,-2214,-3491,-1027,-984,-1332,-1073,1616,3334,-481,1552,-2,-2143,-2827,578,-323,2920,-3340,2291,-1347,-855,-3534,-1602,-357,691,-1293,-895,162,974,3196,699,-273,-1030,2769,1001,-3669,-3637,780,-1758,-2980,13,1957,-3567,1052,-815,-1282,2506,-369,865,1400,754,1078,-451,108,2537,-1600,-2952,-2384,-1309,628,-3921,-3474,599,-3191,1725,-1357,-1276,-1191,193,-1502,2348,-2627,4076,206,-1729,-1440,3793,-2616,781,2280,-774,-2926,978,378,1648,1276,-4696,-376,1525,-1437,4280,437
6022,3012,3835,-4151,-893,-4839,-6925,-388,-1125,-4619,6257,-2185,4193,-429,-2010,-2921,2214,4017,-1505,-889,-3938,2533,-6808,612,1274,882,2402,-1017,-1958,-320,-5925,850,2558,1275,641,-5425,1919,-911,-3958,4179,-4335,1674,-912,6377,-65,1927,3328,1490,642,2335,-2133,137,3406,66,784,-2032,-2999,2058,-1886,1640,3414,-1411,-651,-1613,386,-2385,2259,-1147,3433,3167,1965,-3273,-341,-4702,-2292,-5525,7674,280,-3112,-1632,2667,-76,-963,-5981,-1118,235,-1971,4076,2827,-8037,270,-50,1295,1139,2137,-2468,-4575,1204,1606,2434,-4034,-4528,2241,1649,24,-89,7875,-1409,3915,-581,-86,-1487,-5472,672,-850,-3103,2817,441,3453,-304,3887,-2992,-5404,1241,1136,1159,4129,3573,1292,1344,3098,4983,2150,2749,-3383,-7174,-3748,619,-2297,-1768,-3296,-5245,990,-513,876,-1031,-152,3978,-7429,-1359,-1247,3267,3616,3027,533,-1060,-3020,-1176
