-57,-293,36,74,156,80,198,-215,422,-121,-635,519,-112,245,538,-676,-55,-628,28,62,24,20,-677,-78,-344,140,-18,-461,-353,250,-368,179,-111,336,-343,486,225,-551,460,13,427,-191
203,582,514,580,-174,13,-214,400,1136,-36,137,-512,377,693,184,-176,16,680,-18,103,-108,7,-246,290,-175,562,-143,-405,-246,-42,69,916,37,288,-501,35,234,-305,-178,395,-65,341
-384,405,-43,71,-150,-406,-232,-358,-269,-82,376,711,-483,122,65,524,295,222,269,-74,209,830,483,372,-706,142,-738,248,-330,-138,7,56,4,-1270,123,-41,310,-648,-233,-258,744,318
93,-12,420,627,263,101,633,-519,30,420,-711,273,105,-112,-325,-224,-843,562,-832,152,198,-431,-391,135,113,384,-29,-543,164,-706,-3,-643,166,-272,195,-61,102,-506,38,-128,234,-187
-74,-39,-76,-399,-310,138,299,30,-105,-273,377,379,-810,27,300,-83,484,491,317,48,460,103,272,-108,-819,169,-117,57,-183,257,-385,120,191,257,-70,37,361,263,-58,371,850,-214
120,-455,-454,-964,261,453,205,681,171,12,433,16,238,604,209,-266,288,-199,-336,-323,-155,44,255,-146,42,-406,53,-17,-768,95,-865,-109,-635,451,-336,89,572,571,114,261,-332,-1155
-311,97,6,208,351,-178,-131,-264,508,-434,-454,184,-497,-176,67,-105,-282,-506,-473,-3,-6,-199,699,-1,588,-463,-402,-258,349,-296,318,-925,7,-217,-206,254,575,278,499,-55,271,-152
559,-185,284,180,421,-519,-165,-378,79,-117,-150,-98,68,-543,-362,-261,399,179,-343,71,-1070,-423,-167,77,-79,267,262,101,771,-41,254,369,-960,-96,628,185,-170,-532,-298,195,295,246
-551,-7,-504,-96,-510,-378,15,560,11,-384,585,50,-45,18,-97,1050,-96,41,-281,685,198,669,25,129,123,-607,-68,-362,-220,248,-385,176,193,-455,-147,228,203,-172,-481,43,208,-2
-273,118,90,268,-293,-779,-338,-283,160,-1036,-339,-163,-129,-335,-143,-286,407,-651,454,357,-151,20,33,348,-295,313,-549,-606,122,72,-150,446,390,-16,534,-94,328,-165,-99,-290,55,361
-65,-168,-862,-563,293,392,203,-16,-184,-24,147,-409,206,-25,139,540,-374,326,-163,-302,208,35,800,-161,60,-22,836,-344,236,127,95,213,574,-289,-470,-102,208,175,124,-92,-344,-462
147,-136,-529,89,-80,222,-259,-223,-252,-82,-170,-227,-109,-161,156,314,127,270,-96,68,-61,-135,-58,-8,-400,-273,351,-489,649,-225,153,-128,62,148,-216,-444,-88,-327,371,656,58,-4
78,-373,404,891,274,-793,-160,190,169,583,-622,-4,399,-38,-215,587,-231,-474,-723,689,179,-222,46,-83,498,-265,91,-52,644,227,163,13,-266,642,219,304,255,389,60,261,-111,266
-351,179,81,-195,-98,-125,-163,71,-376,-215,65,171,213,-123,48,405,-217,-274,657,-320,-184,-590,92,-762,-162,-22,-755,-89,168,35,-441,21,-209,-96,-534,-376,179,183,-262,-289,687,756
-492,-143,-615,-281,-505,338,109,615,-345,-606,-295,-468,92,285,-117,148,111,132,121,-335,-219,-369,223,-118,75,316,6,-641,-85,-332,-287,-448,-73,121,-866,-287,818,368,-141,269,-477,-519
-204,874,433,276,-237,178,844,-154,418,-670,338,1055,-796,142,16,442,109,565,326,152,544,449,-123,107,-834,542,-690,103,-503,874,275,292,690,-206,436,759,193,78,-271,-868,519,101
27,-240,144,259,-194,-292,418,-120,279,-430,-745,-257,-691,-341,179,167,-209,-215,-723,410,200,315,-455,-347,75,175,-95,-553,-141,486,102,-127,376,-48,559,-213,-139,71,-98,-251,415,-333
375,584,442,138,354,198,16,-25,545,-53,-167,-2,-82,204,716,-195,441,436,-9,-503,-384,62,420,-654,-308,251,-40,739,582,219,147,495,10,424,127,164,-106,-124,-460,449,84,455
491,-412,73,392,-145,-506,0,-423,258,5,185,-514,360,596,-668,45,-389,352,-104,338,220,546,-433,499,-1137,229,-76,-1089,-661,-448,210,343,13,-36,-65,360,99,103,188,245,82,118
85,-156,274,-174,391,-13,297,-16,-45,-499,78,-34,-376,-761,120,-348,-114,376,-257,65,-235,-576,-352,-315,600,391,364,-385,144,589,209,-257,-564,-205,343,129,143,839,-510,-464,-131,224
237,-62,-143,-217,321,227,-177,-559,-363,508,-618,-597,269,143,198,-193,136,-133,-109,-378,212,-86,228,59,-395,81,-57,-236,207,-968,-158,-668,71,-198,-9,-281,-571,-367,528,-11,166,345
91,-178,239,-63,438,-42,432,-154,-198,381,-75,336,82,264,66,427,-71,235,-701,58,22,41,-66,423,-33,385,-247,-318,458,132,-719,-248,-160,3,19,418,-428,599,-499,67,227,-133
138,-230,-262,-408,-48,208,412,-156,-642,-72,-317,-58,-31,-683,181,-452,241,108,-157,-334,-570,-455,75,-341,5,25,-115,-36,364,-391,326,-390,-73,-13,-96,-595,154,-217,-12,205,-149,-178
99,2,148,396,50,-371,-459,387,408,607,527,-116,526,60,-90,328,360,169,111,161,230,230,-221,58,-390,-446,553,606,-32,-398,340,790,304,-149,13,179,-96,-400,278,-326,509,-33
127,49,-734,113,-294,-152,-392,503,-77,-137,117,-300,895,170,531,116,262,402,421,-205,-338,617,628,-128,-602,-421,543,-292,629,1,-348,344,-370,-18,-140,-309,448,-501,-154,406,-375,94
123,223,368,238,166,45,304,-173,250,103,-121,108,-114,-133,187,-162,-117,508,-331,-365,-200,16,-378,98,293,341,243,166,112,359,-72,-107,54,-670,112,645,140,-321,-61,-317,-242,51
166,-84,-48,209,-212,-464,438,157,-303,-170,-256,-75,565,-238,-232,204,-307,17,307,-530,-480,103,557,43,-14,-66,-19,176,-369,108,-144,-29,-499,-453,-198,-47,249,-180,-469,-537,-957,-32
77,366,-439,35,-631,206,403,271,-180,-268,-5,-160,284,263,539,750,520,453,230,-88,210,307,269,-135,-573,-101,-112,-713,231,78,-915,211,346,59,-137,427,-128,-510,1,-15,-356,-2
93,-93,-230,-25,-18,-469,-237,-217,-211,64,-57,-408,820,-62,-124,-140,373,178,86,81,142,-54,-423,-68,-486,-745,352,-50,103,-576,289,451,-414,-139,784,54,4,15,-143,-476,-37,-64
-106,343,286,-371,415,-56,-55,-325,283,-463,153,-61,-271,104,-331,-25,-96,-99,89,116,5,-305,-11,90,446,344,-182,340,-491,-64,293,-134,243,-671,-340,103,-75,332,82,-230,184,-72
-82,62,411,-215,292,-269,302,-264,-92,-223,-82,-132,-149,-185,-86,7,435,68,159,-333,596,-529,-190,190,220,717,-314,141,168,-11,-165,-281,38,-112,55,668,-255,82,-156,-266,472,-163
