320,-840,-12,616,-913,240,1039,-444,270,-28,798,-390,33,1067,-583,798,-372,-2015,775,743,-254,-40,-208,382,-844,-579,-67,2445,33,-1140,254,322,856,293,175,-5,-184,-314,-268,-820,349,-28,62,-842,-328,634,1667,-1154,-204,10,1048,1759,-277,962,60,-427,683,-422,724,1229,-355,186,334,488,-1685,1166,-760,-698,212,-933,447,-1325,993,511,-110,-41,-654,737,-714,-1138,-297,1106,164,111,-389,-875,-1261,1200,307,662
-1165,918,-273,58,42,-1455,-247,476,-56,-1523,1190,-1220,128,-203,-286,-1356,-565,397,1088,-610,-629,-1141,-1189,825,104,-323,557,549,1142,-940,-815,16,-786,-12,-523,-1324,-822,-346,1063,309,72,949,-1160,-947,1153,834,235,90,160,705,-549,246,550,573,1062,187,-339,367,758,-130,-871,442,-86,904,-172,29,555,135,-579,41,-489,576,543,703,458,-864,-73,-1118,-821,-699,-808,1189,-1018,-213,-938,-932,-997,-345,585,751
1139,-1793,1735,-963,-1453,1355,584,-377,-225,1121,-525,717,600,1007,-1718,1394,772,-48,62,-1109,801,722,1172,-1247,903,685,82,-271,-1661,62,1451,-1739,392,-664,-750,339,1106,268,-969,65,390,-1336,187,-57,-2,-98,-1562,-1367,-24,-431,1291,705,699,-5,-19,-27,472,-1811,139,-544,-540,-1265,-415,-454,-15,-46,-81,421,783,521,531,-1019,-1147,-1416,-874,-964,198,286,357,-49,437,552,-441,-297,567,1147,463,594,290,-530
505,-661,1292,-808,-876,1417,123,-1167,515,916,-465,711,-57,165,-393,226,750,577,34,-553,384,1527,98,-1249,1148,638,-952,132,-196,1009,126,-622,-273,-129,708,732,-764,471,-143,-165,-271,-1425,539,751,-707,-205,-298,-231,-833,-640,-786,-1110,-625,200,-1646,-749,-837,-838,75,-369,-137,-308,-3,-166,-159,-256,490,141,778,795,-929,-294,-964,-12,-1594,-97,648,844,363,77,-125,-675,-124,149,643,714,596,171,127,-927
-337,-582,-695,614,1168,128,-413,75,-296,55,-10,914,280,-751,0,1491,66,119,-1346,-298,-917,-964,237,179,-1285,-1446,-276,377,-98,-222,-37,-619,971,519,-69,-286,-328,-98,-537,112,343,-623,49,-1049,595,137,248,-976,44,437,-281,-223,814,-206,334,1402,530,-935,-831,1210,-220,-1708,-208,-1483,149,-157,-1515,-1986,-102,-1219,1175,-328,-198,-301,1059,72,-187,-479,636,1103,-200,846,867,728,533,-1944,617,-774,-456,630
-742,314,1240,-374,61,-474,116,-606,-45,54,1158,428,648,1124,-306,-1830,197,1068,-194,-614,-201,885,-631,-348,497,-1182,363,-157,-95,852,-703,-272,-773,60,-326,-657,-773,-611,766,297,-526,-358,438,-332,392,131,454,-542,1045,-759,-18,-300,439,320,1171,-539,-1446,-577,-121,-1071,-850,-912,-269,56,-1105,544,639,531,-1233,1512,-2096,1,780,1610,-1073,83,708,224,378,-636,-703,201,-1135,-376,360,-185,-567,-885,680,-231
-210,-852,333,-857,-548,480,-248,-416,-172,304,660,1059,-32,-9,385,-116,-95,800,461,-1143,-317,-319,-814,-244,587,-360,909,278,-82,125,-215,-488,-1386,99,-769,-1231,101,-497,479,-157,415,512,-62,-99,-192,194,276,-1031,-217,-98,-994,675,290,1078,905,-283,-1265,-1279,86,425,-534,558,149,191,-13,518,118,-385,-814,744,-591,-468,283,-526,-448,203,459,550,-613,-559,247,542,-919,19,577,-964,266,-864,-1204,1176
83,-304,-92,0,426,243,514,260,-854,-470,-293,157,-581,-750,25,1500,-275,-1171,85,-368,-75,-769,196,-1037,94,-1480,-137,1791,639,-105,-422,-79,-359,-570,549,1166,-288,1088,-459,904,298,-174,-612,-3,367,-357,464,157,225,-198,-33,-1106,-672,-1118,242,470,1379,275,-187,339,-159,-1067,-204,-714,-775,906,-285,-1497,-7,-704,819,-473,240,-586,145,115,273,-668,593,993,-176,461,714,1270,516,-725,292,161,183,-33
-785,-575,612,904,376,272,-7,-996,-235,1059,37,80,524,-126,-633,172,463,332,-663,-592,-778,675,2010,-849,-1650,-471,-963,-585,239,874,579,-249,15,344,-388,-405,211,388,384,-274,145,-327,1163,546,-178,115,1461,-686,-523,-499,741,-437,917,565,-572,54,-1116,-1551,515,1675,-890,-623,-514,-4,646,276,421,657,1004,1439,315,-438,-1002,892,-1228,214,906,719,-608,269,-418,-694,1368,1244,0,-636,31,-519,437,460
59,170,979,-3,-773,-555,1804,-786,-319,348,792,222,-328,707,-445,-902,-273,-199,1288,50,602,643,351,1134,236,-120,796,-199,-1140,-426,736,-1445,-832,-347,-303,1054,-318,521,-186,843,-298,638,-994,196,684,-650,504,447,389,278,712,1028,-81,-121,515,-265,620,74,-95,-447,-726,-763,475,918,-1040,-1135,715,640,-116,1052,-471,672,-641,-725,-905,-1009,-789,-411,-419,-88,-562,1082,-1518,-158,-307,317,-1838,1379,332,32
-188,-95,948,-94,-181,-1134,-133,-272,784,-895,-77,-601,1508,1464,-2051,34,846,336,-1039,-1145,-814,303,-332,-497,981,33,1193,-952,455,-474,-664,-546,-804,50,-1823,-1615,1201,-959,-242,798,-1326,467,790,804,689,1156,-717,-266,-542,-1116,328,-758,-368,-1489,510,-556,-1112,-192,1458,-767,-562,-502,-361,100,-373,901,-96,200,-1143,1119,-27,-681,-100,1179,937,136,962,457,-316,-1351,-464,-321,-335,-600,-45,-822,-44,212,922,-1857
949,580,1074,215,30,-677,-790,477,368,471,1823,40,-1167,498,-134,53,328,-876,252,-654,-333,-273,-925,232,1334,1018,920,-1519,-328,-719,-1102,49,250,-1307,327,107,33,708,1212,384,-139,804,-44,962,903,-816,-719,-795,245,291,1180,416,-1219,-160,1110,101,-60,773,1014,-402,-421,-695,-1613,535,152,-366,1691,148,-560,136,634,-1111,367,1494,-417,-843,1589,-142,-1652,-562,863,547,-175,-537,-800,1148,-765,625,582,-650
816,-1241,-673,29,263,322,2,431,-34,581,-982,-450,1932,1459,-135,-102,650,-563,102,2010,448,21,256,527,-1454,-77,-699,520,-1338,-672,1115,490,614,1406,151,-556,405,-50,-933,-93,-1010,-432,486,-1149,-1569,1074,-595,-436,-43,135,-548,679,191,1107,-78,639,1205,-1066,-635,446,-257,418,1045,-522,1065,-231,-771,554,1062,-43,519,426,352,-533,1321,201,-1833,935,1742,33,150,-578,1678,-730,756,266,322,343,-527,-190
364,-836,-204,-301,-566,1127,-552,131,92,385,395,235,286,342,-118,-69,-232,-84,-627,891,18,-360,-361,259,-612,619,146,882,455,-617,-252,543,601,-490,245,-443,381,55,-66,-1169,1042,-416,170,-1164,-1185,87,1311,-673,-527,341,55,-180,179,311,-416,-371,-682,-1384,522,1021,-333,805,576,511,51,-243,-802,240,326,-1194,109,-1220,233,171,-181,-268,-353,815,128,-474,-164,-473,1245,50,346,-658,941,-751,34,63
-272,581,-463,-734,-1072,760,-1180,-71,2091,-448,-302,-695,406,577,-392,-875,-713,717,-621,524,733,664,-1487,-482,620,1112,-240,524,372,-250,-109,542,515,817,2,-610,411,-1383,-957,-1025,13,-96,614,-537,-487,1260,30,-390,-1098,56,-987,17,28,523,-493,-1705,-983,-800,527,30,1062,1522,342,551,-195,-45,-1049,944,-1106,19,-1513,-643,-51,1046,-21,-165,41,1464,379,-1035,18,-1522,-879,-489,-632,912,586,-97,517,-398
-937,849,-1158,1,-72,128,-1165,151,651,58,889,-407,-885,-609,1867,-341,-245,-14,193,630,-288,237,-585,-376,-312,457,220,742,1550,-351,-751,1196,280,1079,164,-1063,-444,-820,1302,-360,1107,980,-780,-324,-505,366,1530,-568,765,101,-601,832,619,770,569,71,-143,793,169,1587,901,554,539,1069,-862,936,-762,730,-1656,-565,67,94,1366,-328,-835,506,42,334,-1745,-15,-543,-376,-832,-536,-26,-281,-494,-689,-316,1848
-60,376,-86,-73,200,481,467,-906,378,1179,1441,1355,-786,-251,916,-1120,-1293,-831,764,1100,-651,-815,508,230,-858,-684,37,324,-448,630,-112,397,576,-1587,1788,1499,-1261,657,-291,-146,484,-1393,-361,-270,-1043,-379,990,341,1592,961,558,-464,-681,759,-207,-124,-1700,-273,-150,727,456,-1713,-278,-541,-1350,-372,-386,761,249,-648,-1486,93,638,571,-660,-121,263,-548,-238,1232,377,-186,105,529,738,-784,-681,-240,150,659
320,-630,462,-519,-464,426,-536,-874,982,1011,186,-63,900,1166,-1784,549,252,-794,605,363,-305,-273,419,-763,-809,711,61,13,920,-66,441,-408,412,-78,-233,-413,622,669,274,24,-479,-905,-195,-29,-353,986,-1266,-914,593,-277,1358,-195,-607,94,362,-748,-371,-1178,812,1555,-718,162,3,-265,-693,-219,204,97,1530,-168,108,-339,-158,448,547,-874,1011,1426,378,65,434,-536,-136,-69,369,12,-733,-100,-214,-604
155,-1192,313,-791,-175,226,-466,200,-584,830,423,364,1091,615,286,275,1299,-136,132,-10,-618,-122,1014,-533,-109,335,74,-52,536,-507,125,-133,-585,621,-468,-767,258,411,775,274,240,509,-76,15,-144,1583,-426,-1072,423,447,154,588,511,865,219,1259,-287,-1369,-327,778,155,-369,628,-701,-378,360,295,-121,24,-550,214,943,-3,-844,1381,280,884,480,-196,192,290,-642,574,-342,1226,-69,-283,-347,-959,-136
