660,496,767,-390,748,541,175,147,546,269,-1248,917,-424,-1362,-416,-706,-413,-321,104,494,-188,34,-430,-207,-522,25,-1273,-613,821,-613,54,-678,516,983,409,115,-1096,289,-136,-75,381,-476,1266,525,761,-225,450,-194,68,695,-112,952,-253,-443,-325,601,325,-96,89,102,294,19,-627,662,-972,633,-587,-1677,112,-598,498,725,496,-492,-898,995,-432,-787,707,512
75,-250,-189,-1120,206,-693,386,-3,410,-34,-1599,-37,-184,141,531,-701,-709,-884,-565,389,-150,507,539,215,483,32,-519,938,580,964,-189,7,337,-103,72,-480,-1314,-344,769,115,-574,-1028,578,-169,109,353,764,-474,-152,-186,-1106,1163,-190,227,14,-248,65,180,-159,-210,-217,66,325,-395,494,102,146,282,-753,610,382,-187,186,-1299,-662,487,165,-57,486,-343
-623,791,33,208,363,-763,837,-974,-552,-761,-1071,-333,-124,-581,-486,-118,167,-798,-453,-997,913,148,-1056,-178,336,-272,-64,1017,764,-537,-708,528,-455,9,-568,-527,-1332,279,387,-589,120,55,776,-86,47,-2000,56,-896,-161,248,-45,736,874,64,187,-244,143,72,-65,-1007,118,-202,-196,884,-172,-968,49,-11,1001,-258,-311,-291,368,85,-1180,450,84,318,-482,-294
500,588,1023,588,250,-220,54,297,285,511,342,-85,-655,-551,-392,1044,151,-173,-606,-863,873,885,-400,-303,-87,1240,401,191,-481,-979,-38,31,696,-7,197,619,-715,-314,-286,332,384,-284,237,-1045,709,-225,-196,-180,-36,-148,-224,-216,-938,-539,-102,-71,-790,-497,-68,-405,648,-886,-700,781,-32,359,506,39,653,241,-169,335,-147,-405,536,807,-493,-480,-105,694
30,28,-288,1070,-874,240,-759,-242,561,201,478,-290,1384,194,136,455,-29,1006,-616,-1577,160,-369,-930,-1095,634,-59,79,-420,-356,305,-524,-419,85,-79,161,715,480,-442,-751,420,392,201,-3,147,-589,319,316,-478,-691,205,1330,133,664,-81,-324,-449,310,-102,-130,-269,46,-518,-81,-178,-726,-245,-567,-485,37,-615,-612,0,-607,1649,-151,518,-667,32,-425,23
972,341,696,1061,-457,91,1703,-325,1086,-681,4,92,-1133,-1367,-204,-69,-199,-1388,249,698,-855,132,-87,-661,439,492,-476,171,-72,-723,156,-1283,255,272,85,-304,-114,494,-865,244,134,-1693,-436,127,-688,-264,667,69,-1082,-15,-806,-175,-663,983,273,-1096,1391,-831,963,683,-986,-38,-1647,140,403,628,-614,-612,975,185,622,404,1126,86,-2,203,-1150,-90,459,-252
202,-734,-1291,969,-394,735,287,415,27,-540,-898,1468,533,-773,1394,143,-1104,-191,-448,-1305,-493,-795,-886,1059,718,-885,-518,1052,777,-1115,-370,-362,443,208,-776,593,-709,1639,-367,214,75,-1175,-496,-580,-501,382,-44,-601,-1415,-480,412,28,-1288,152,-352,-44,288,541,-475,-687,738,-171,-545,427,-346,-560,1625,139,1430,657,-1015,-7,-602,201,288,270,-937,895,-1087,-686
141,214,500,-136,390,554,-901,545,-503,1111,185,-494,-369,-202,87,872,949,147,233,429,-24,-295,-113,-379,-181,412,-825,-955,138,200,1018,-357,593,880,760,736,-382,-706,1322,5,226,459,122,-190,-462,436,-75,-92,187,111,359,720,-138,-896,-486,511,-569,282,-386,-262,278,287,-184,560,-447,-501,-306,-506,433,443,795,-594,703,-189,-623,-131,-383,-150,759,105
-95,412,-205,-10,821,136,922,-1191,-610,-41,-8,551,-712,-618,562,-511,-62,-145,236,-235,371,861,270,278,-555,332,-303,-104,877,-680,-52,-318,-476,266,-75,-284,-529,1321,362,59,29,-495,460,440,172,-646,-397,-248,-94,221,-589,342,25,-1359,212,1185,-34,39,111,434,-457,-298,-216,69,227,-883,77,-225,787,1180,298,278,787,-492,-935,236,547,86,-328,-366
-210,219,57,-85,-83,-192,-373,804,-966,49,364,-577,28,327,-320,-610,-859,-137,100,0,726,278,-264,590,409,230,-204,-585,475,186,438,1436,-214,-418,-1145,117,-123,-835,415,-106,895,-314,-35,230,549,-319,-287,-385,118,-241,383,415,242,-51,142,409,-374,479,-339,-384,608,-424,432,-490,197,714,178,-136,-617,244,-520,482,-50,530,610,-30,1084,488,-304,753
-113,-307,375,-885,1747,833,-433,-364,918,790,133,647,544,-507,-704,-824,1208,835,595,226,-54,437,238,189,-996,-495,-895,233,203,676,-399,-973,25,-331,896,612,-650,524,-959,-240,527,216,-6,752,534,260,-250,-380,1031,160,-745,776,30,-874,238,1031,-643,-190,-785,173,-110,272,-351,521,-162,-66,361,-1364,182,106,598,878,726,-323,483,697,304,-1016,-271,1548
658,69,1091,718,-672,516,-212,1024,-429,642,1040,-897,-268,-133,651,857,997,-36,97,341,-469,-104,146,-1298,-457,-193,359,-1061,-452,-386,573,-441,779,499,-472,599,960,-1051,450,-291,240,-1330,361,-620,-167,-378,-424,286,595,232,-463,-301,762,866,-175,-812,-707,-1128,47,456,468,554,-817,498,-1241,291,-744,-450,-304,201,16,222,1241,-527,-123,-1019,120,3,847,667
