-499,-418,-714,-256,-99,-117,147,893,-623,138,48,-212,-436,481,472,470,-94,-656,419,448,189,338,462,651,191,223,1105,276,627,-349,39,345,66,-335,578,-577,354,-270,-780,-466,-242,-203,-440,-785,402,77,-87,433,770,-748,523,462,141,-525,36,-306,-571,516
460,295,-777,478,-94,-192,-733,-29,-51,-797,903,-988,-10,-96,128,-22,-46,-668,-1197,-23,-470,52,161,-276,693,698,228,-732,-303,-332,413,58,-137,-267,-203,-407,-125,218,-45,-684,106,45,-633,684,338,-171,-154,132,129,136,-129,583,-536,-124,466,-430,339,-285
592,-254,-137,-211,981,601,585,12,296,390,90,277,-22,-564,49,568,-164,-50,-401,163,352,-70,-102,321,926,332,-200,-528,462,817,-55,585,303,-235,406,-12,-149,-324,28,52,-88,-309,-205,247,-171,-344,109,-582,447,417,117,-187,-465,679,-671,-611,503,-51
-565,-357,-673,-312,-146,-244,28,28,-496,-902,514,-211,-574,488,33,-152,264,-429,80,619,-139,-460,530,11,-164,357,1151,-37,-101,-762,-626,-110,-110,-620,-66,-31,-466,-296,-790,-780,-945,96,-333,-808,488,702,174,270,255,-153,545,427,-373,-305,352,-72,-286,292
-194,-60,432,781,-592,163,283,-205,735,-152,-695,297,-164,-370,359,-440,651,-989,-367,260,487,-619,565,-9,-76,286,-239,31,-677,543,18,-247,-162,372,-8,-450,-31,492,1116,593,319,-274,10,-215,-1136,143,-220,171,-878,747,-5,66,470,200,-407,135,-289,-339
-38,-1349,-264,-372,279,-477,270,-35,141,1037,-959,198,292,-983,-470,129,-203,-167,-159,-100,517,-204,108,645,-49,84,485,-3,-345,259,-843,320,21,-688,1061,482,-656,-592,-14,-242,-157,-740,-354,122,-883,-483,-75,822,599,217,-713,307,-477,150,-402,-952,-791,-211
-83,-219,-171,-219,-35,-634,33,180,-10,59,-544,710,-265,1055,-548,-421,-117,-390,-861,133,502,115,32,526,-372,324,539,-136,-13,22,533,-39,90,-27,6,-193,199,-305,-113,-1192,-507,614,250,-571,504,627,545,-572,-27,-358,-148,421,-2,-32,293,-701,-674,-540
-4,1064,659,-51,-321,534,47,264,-177,-8,98,60,76,310,257,-18,-254,648,518,-154,-107,556,-682,-686,-383,-850,-646,-115,162,463,-49,-33,170,296,-326,271,341,-317,549,767,-101,-207,340,-41,159,641,-348,-328,147,-92,232,-159,531,-174,28,440,714,470
45,350,325,195,-45,549,175,538,-499,324,-120,-1058,221,-462,-285,731,211,140,729,-600,-542,20,-613,-428,-173,98,503,-1046,385,176,-443,-206,109,-547,476,-46,277,-451,257,585,207,308,800,501,-164,-80,-309,-61,392,257,-31,-86,258,229,142,-297,170,-451
-55,683,480,752,-723,403,-674,30,102,-763,-189,-201,317,-362,-12,121,430,-194,519,-310,-570,-251,-108,-637,4,38,-95,-742,-401,-346,-430,-453,-143,228,-206,-222,89,529,295,494,291,-31,221,45,322,217,248,352,-107,-330,-565,-347,-16,-245,98,-36,-354,-200
