-135,86,148,-166,-26,210,82,113,-908,-260,-190,-563,449,-445,163,-189,-326,23,370,-124,15,-74,-532,11,609,450,-636,-407,-408,633,725,319,374,160,-476,285,-689,-666,-299,88,452,147,393,-94,-578,-177,74,216,-32,250,22,85
186,452,167,-291,145,111,-109,288,-725,79,37,-203,942,19,-65,-33,-759,-815,-10,-349,-140,-49,-256,27,330,109,318,-1217,-186,85,21,4,75,148,-334,79,27,-465,-76,333,-32,749,494,159,-365,-163,260,475,359,-87,377,142
256,-457,-403,41,326,84,194,637,-962,-874,-216,-200,565,-326,422,681,132,444,75,300,286,-422,-802,-857,-377,-706,-160,-199,57,-156,-22,-368,61,-188,-367,188,-218,546,209,81,687,191,412,-541,-168,-75,492,-281,454,475,72,78
-454,325,-249,-270,-197,738,-341,-77,268,365,306,85,121,-3,-213,-73,-191,-278,-231,-946,416,-444,-36,-570,181,-528,-636,-139,82,-472,145,-62,-196,-637,-392,-81,210,-121,305,139,-225,-554,158,-252,100,-107,-316,50,185,-113,-117,-208
146,-32,-328,-396,287,411,121,210,-296,235,-530,-358,881,330,275,-16,-694,156,-82,-285,811,-242,-148,-192,-176,-663,-202,-989,218,382,133,-10,-56,529,-283,-376,128,470,686,856,-287,288,634,-269,104,-320,614,-255,314,205,-589,-809
113,461,-170,106,785,652,276,156,-69,-279,71,145,576,307,-103,81,-362,-51,53,-694,-127,241,243,390,436,397,245,-204,-91,431,395,387,455,445,513,547,-467,-400,274,-209,-15,-35,457,-236,547,-54,-283,607,322,753,157,-326
-712,484,-33,-41,211,441,-237,-309,369,-70,64,265,562,220,337,416,95,-291,-640,227,-123,-28,-489,579,-225,8,-137,42,-57,417,305,344,259,277,395,-697,-231,856,-665,-57,401,-169,251,-538,206,738,576,-267,102,-332,-72,444
296,576,7,-225,297,101,-364,263,-913,314,-512,-18,483,151,-861,61,-540,271,99,-268,-240,320,45,413,555,786,185,-435,-455,-361,105,1,-111,523,139,775,112,-272,24,470,-285,279,693,276,223,-1159,-514,68,34,-278,244,-251
-193,3,583,-892,-504,728,-396,497,236,-193,99,-988,-746,377,-360,-424,898,-175,-353,63,-265,189,552,-503,27,450,406,-322,650,562,499,186,28,-122,599,-231,-183,-374,367,-478,-354,-303,-113,127,646,93,580,-880,197,-128,871,-165
-243,-251,164,144,-144,-424,561,-329,566,665,-635,753,-551,805,318,-357,-569,-421,274,-320,-158,-381,-16,69,203,273,-832,542,23,591,733,524,-362,113,276,-329,58,739,-526,742,298,484,-813,-190,639,86,94,367,486,-221,-621,-25
-686,652,-744,-27,-277,-76,-69,-398,-337,494,-650,267,338,98,293,123,-847,-214,-10,-593,707,-94,-320,106,223,-456,-439,-308,-193,0,-264,236,53,-390,-499,233,609,898,-554,195,157,-1106,547,587,-214,220,-49,326,129,-518,-831,446
250,297,568,-271,45,-418,-375,428,-343,37,-97,-103,318,-588,-267,-772,-206,731,28,376,-71,-827,346,406,67,60,309,-589,-876,25,-110,32,67,501,102,58,-134,242,767,53,-35,36,15,514,353,-792,-15,63,42,-270,-160,-132
-389,-362,-215,87,-62,-432,511,343,-413,-860,305,-267,-358,451,215,-621,245,103,743,194,-417,96,-39,-329,-21,-167,675,-416,-491,1351,126,-335,104,-316,230,118,716,47,-105,-87,862,-77,199,769,358,759,277,79,916,-242,-77,664
