-92,-158,-492,-122,-455,-322,-963,90,53,1238,-471,9,-146,-175,1324,-784,-674,1399,-7,1519,-676,207,180,-667,-51,-503,-95,-1563,-384,-570,312,561,-974,-6,-237,1555,242,234,-207,-579,937,-350,-44,1082,-308,-59,378,708,1321,-1373,-954,-263,-166,1082,-100,210,1099,-161,1174,1384,-162,424,260,-340,-374,-197,-522,1027,367,-1454,41,59,154,142,651,-228,-25,-111,-166,94,-404,1910,-236,-1047,638,441,-589,-388,1101,-1145,221,480
1225,355,-1358,1091,-1329,1886,829,-74,53,381,-881,-1076,-1568,54,1103,-170,1090,-1163,-257,860,204,1426,-716,1334,-380,1117,777,-2595,869,1755,-489,91,-937,677,175,-914,-1373,-66,-740,-1170,349,464,498,-1369,-299,476,1271,334,683,-1783,112,-1042,-484,104,93,-878,-465,619,44,59,-1260,1111,1270,343,-462,-1042,-1279,313,1027,-352,-214,234,-722,659,-1547,1002,-782,-755,-245,-882,1045,1409,-1331,-1101,-601,673,256,-533,1558,-1301,-906,-833
-301,722,-69,-196,182,-732,-513,-184,-397,474,157,-144,-154,-742,1126,-300,-237,151,-786,155,298,306,-1283,-1561,-329,482,255,-699,-770,209,1246,719,805,832,-507,-615,-262,257,600,1119,73,-287,71,248,117,273,779,-198,267,433,872,552,-756,-491,-1126,-703,-494,613,-994,392,-422,707,1533,919,-808,402,-216,-788,549,-831,1486,242,38,761,436,793,-456,767,77,-193,-1090,1650,-937,686,-126,-684,-329,-606,36,-430,387,-803
529,256,-607,381,898,-728,-66,319,-144,682,-303,-1737,1393,347,364,1329,-102,1038,-810,1049,-107,372,1476,297,230,-587,1022,610,-393,-900,141,-438,1195,618,-2519,-19,1026,-669,1036,490,1539,1196,-1023,636,-555,847,1243,380,-445,1211,-466,472,-786,-135,-100,-301,161,-49,411,42,406,89,-694,-636,-1494,-546,-186,-444,-162,567,1834,1035,-1227,718,216,-286,-709,188,-1250,54,-1484,532,344,415,-311,334,151,169,-1776,-296,941,-324
846,-161,-809,1951,-201,1136,-63,820,763,702,-430,-212,-85,269,255,-325,1344,-690,-270,-374,-150,286,1034,810,-16,433,505,-616,661,720,-373,-836,1288,-79,-380,499,-1021,-2463,457,-933,-213,258,-283,-1412,-541,1063,826,752,-1243,-683,89,-1440,-530,77,-941,-156,-303,184,310,-402,-551,966,608,-864,-142,-1093,-360,598,-1602,607,51,775,191,221,-287,397,515,78,-1590,1328,-46,288,-1309,621,957,-832,146,-266,-617,-252,185,-1868
-230,632,-672,606,241,361,-450,-928,-698,71,1020,763,-153,-1026,-227,-423,1147,-15,-423,-552,182,211,-275,-307,-36,601,-882,-17,-332,781,508,88,118,524,-1281,1134,865,-836,-1048,753,-492,727,291,-454,83,998,470,561,-881,-233,1099,375,-812,229,-127,955,-44,273,-22,322,-1286,722,1204,-941,780,-1479,-876,85,-444,-609,-384,537,143,15,-813,-405,-96,678,-1028,675,241,519,-166,554,95,-135,-608,-534,-937,485,-510,678
274,-621,-46,-716,229,51,-334,-14,-190,375,-139,-779,859,1202,109,554,-740,518,-358,-99,190,187,230,156,121,-1012,-219,-696,800,-448,256,564,155,414,-141,573,519,792,545,32,256,986,-327,286,-97,361,57,-816,1001,226,-182,-834,318,-789,137,-588,151,705,-841,994,228,27,736,-391,376,-668,205,153,756,720,233,259,-916,427,-193,-539,-431,392,-306,-101,-568,668,-85,233,22,374,-369,-330,-102,-891,438,-520
324,-354,378,-208,17,444,351,-363,316,-305,134,403,-706,369,236,26,461,-496,65,-1673,821,-303,72,-380,-841,-180,-1151,-616,377,-164,41,179,99,520,434,1039,162,697,554,-242,-975,-647,783,1159,-79,1339,-839,-137,-15,589,474,-189,211,-1313,-348,327,-652,11,-1037,96,-384,-772,900,250,796,-3,-183,52,-451,626,149,1330,579,427,348,679,-773,291,-3,963,807,-903,-909,302,381,-311,-445,274,815,351,-980,-19
-441,650,574,420,-282,-957,688,42,723,404,1007,98,-150,-656,-1052,387,-263,-575,30,-439,-604,-21,-726,-271,418,1076,180,226,-498,80,-38,467,-71,-144,329,-1302,-863,-199,-197,238,-901,564,315,-387,-130,579,648,-113,-569,346,430,1237,-194,482,-303,265,625,-543,-84,-82,-371,-163,-84,287,1002,67,-65,214,97,-1284,-811,-680,158,481,-1262,876,898,-150,652,-1009,-190,-266,12,852,302,595,492,-361,-120,-216,282,-479
-614,681,630,108,-353,-1480,228,492,-40,18,-434,649,192,-2033,789,-329,-1191,978,1195,630,-1102,-1010,-535,-791,-569,-19,42,-999,-1188,-316,580,164,-790,-1670,448,-1308,433,1011,218,1571,160,-607,61,-140,2007,-381,1416,-1108,736,1033,334,-233,449,215,-597,335,-264,-176,696,1030,-713,-600,-619,594,-521,755,-409,691,1378,-1747,527,-547,1015,-302,400,542,-867,-96,963,-275,-354,-671,132,-383,-316,472,-84,604,652,-1868,1297,-212
