-1994,161,-578,-2097,-851,-962,-884,-2251,36,972,-191,-1685,-719,1535,1723,1930,-800,1367,-134,177,271,786,0,-2816,-298,-114,1080,1084,-2018,1492,-164,635,1666,-4364,-1757,-1486,-433,1733,1168,-1127,3433,4113,-1707,-2332,-2354,-183,2401,-3159,-462,-2616,-1934,-3101,-3036,851,-1301,-1865,-1399,-2546,-2190,1605,-107,-4941,1203,-1196,-2867,632,181,840,-992,2951,-60,-576,1039,-1617,-2662,57,-2030,330,364,1452,-2346,488,-2092,113,-414,510,-1666,1801,2797,682,967,850,-2396,-491,-560,-858,-1362,1511,843,235,143,-553,-796,878,62,-499,1912,1132,-3370,2632,1441,704,403,3397,1927,-2126,-849,2041,-885,-1387,-1149,-1546,619,3492,-531,903,-2268,971,-2447,-3884,787,-258,3919,-346,1609,-1465,-2258,-864,2965,338,-3226,3182,-2229,-402
142,2443,1520,863,1700,-996,2263,-1294,2357,2861,4264,-2124,1947,-111,-609,-209,-3368,-2262,-2442,991,3842,2098,1404,2868,-1251,32,-659,375,4045,-153,-2679,-2840,-437,-4473,251,3402,852,-2484,-790,335,1628,83,1361,-79,-1682,544,-4006,3099,-1576,-814,849,-2319,333,3297,947,1886,621,637,-733,-777,1245,-993,-2808,-1013,2079,-261,2136,928,262,-912,897,2176,-892,-1869,1331,2890,713,-2177,2443,-1172,-568,-656,771,1354,-4567,1201,-1323,2202,2829,-2110,-1192,5654,1750,2966,-798,-63,963,-701,464,-2533,2749,-84,-744,-319,467,3262,1359,-644,-1585,2450,-1003,-4070,-4,2026,-2645,-3567,-1974,-501,-2260,1990,47,2860,-1250,-709,1259,18,669,-363,-1670,-283,2002,1145,1446,395,1359,901,840,3583,-2068,-877,-2790,-2043,4633,53
-191,1102,233,2966,-411,2752,-952,884,1206,-2053,1539,-2162,893,-2993,-190,-3194,247,1077,1219,-2798,642,-1666,2618,1761,-195,1275,466,-458,2181,157,2813,-171,-2285,100,-2238,453,1698,-607,2315,98,1613,-5422,1138,-811,-22,2301,-3350,2341,-1559,865,1710,579,1608,2521,2434,1724,2157,968,3761,-1274,-1055,1343,-888,2744,-1196,-1398,1414,-1223,-526,-2949,-1662,-219,-754,926,709,-1119,1016,-567,2367,-2334,-961,929,648,1120,510,197,-1687,-2182,703,-652,516,-2204,2904,257,-1873,-1405,-2445,-836,-1219,-733,-648,2481,3085,544,287,-3035,168,-848,1455,-2948,122,-919,2223,-1470,-3294,1180,1358,-2678,-565,101,699,81,-966,-2372,1901,2934,142,-1710,859,3544,-641,-59,-1112,307,830,5749,-1400,1980,-3319,612,-603,-239,-303,-4411
-1693,-987,877,18,2574,-127,2977,-2476,-121,-1519,310,970,-1652,-1448,2402,-283,1393,-982,986,453,-955,-777,718,2996,4704,-1826,293,1165,1956,729,941,-1240,-1356,-47,548,-288,-1499,-313,-2412,1300,594,844,2710,579,-852,1392,1140,81,565,252,-3683,929,317,-3374,1245,-669,4447,-835,499,60,46,-2105,-3661,-2776,1327,-1559,1522,1478,683,-1147,772,82,1625,-3251,1720,-609,1382,-2158,2250,-684,-2926,842,2776,416,1743,-3528,249,811,-1600,-2273,2130,154,2080,-65,-37,-2052,-982,-2077,1831,1334,506,-1828,-1002,1453,-185,-765,1008,163,576,127,-119,938,1630,1343,-1338,-2880,-3528,522,1202,190,440,1254,597,1386,864,-1161,208,2963,-317,-1043,747,-1228,1206,-1820,-694,-431,636,387,171,-5640,-1178,-2666,1876,-467
1220,-59,1722,2520,-628,498,2462,1815,-1130,-524,2026,473,-43,462,-2440,63,3313,-3486,404,3002,1207,1547,-3323,2865,506,401,-1742,1678,2547,-1157,-1964,-1961,-3914,3865,-1681,3281,521,1120,-61,-1930,-245,770,843,3409,552,4678,-794,2873,-1175,400,-147,1098,2456,642,4,243,-830,2127,1265,1578,1164,-2689,-171,-976,9,2931,1197,1740,856,-2748,-849,-668,2754,94,1240,-471,-363,-1725,-626,3718,298,1335,1267,-1101,812,-1370,-61,-620,842,74,-2666,-717,911,694,408,983,421,-1737,-661,-1516,-1085,1790,1372,-1636,-234,-1504,-1043,-874,3721,1543,548,212,326,2259,-1309,-3044,908,747,-128,529,1273,-2440,-2834,1617,-2366,-4033,437,-15,-1301,4141,-2321,2713,-1996,2549,-424,-324,3657,-2577,-1044,-1180,1642,-2072,2467,-646
-1690,-766,1860,-3217,-1137,1327,-293,-2496,3413,2043,1690,-2395,537,-2542,-1078,240,-3573,1318,2493,1133,1027,-2478,3482,-5626,-727,-1536,-1405,-2394,1229,2856,83,2246,488,638,-877,-3557,2555,-2160,-103,1280,-1015,3146,-4734,-2659,-2627,138,213,-448,884,254,-816,-532,-2880,-3808,1082,-684,1664,1575,-789,-857,-2616,-1302,534,702,-2268,919,1577,647,-418,800,-803,-405,154,-3295,-3857,-1884,1357,-1165,1305,-1466,653,1578,-1396,-919,-183,-480,-928,-100,-782,-2678,-2601,1670,-769,-1031,-242,-135,2873,-1751,5341,-660,273,-4939,-764,-114,-2352,381,2395,-2709,-4150,240,-546,-624,-626,1023,1474,-96,-465,4221,4,-2300,-1070,4229,855,1180,1249,-123,-892,-1598,-1953,-1357,1649,-1900,5276,-2641,909,-203,-3342,2588,1116,1394,-1602,3842,1776,-1028
501,641,-2444,1230,86,1541,229,-307,-1927,648,-212,936,-1614,2147,906,392,2042,-290,-2736,-172,-508,296,-61,200,-2707,2526,2290,1554,-1108,-2127,1111,-615,-506,186,1007,147,-909,1128,-625,2862,-612,-1111,2648,-324,-756,-2020,2096,-1545,-541,-2458,547,725,558,1522,949,-935,-1968,-366,-1358,284,37,-418,1365,638,-375,-945,-269,-1093,32,1464,-71,1690,2635,1931,952,887,-1674,121,-2881,2127,373,100,-658,3304,-1377,1509,-721,905,1255,1764,930,-954,-1160,-1232,1550,923,-1028,3473,-3036,-664,1190,667,849,1262,-913,-1222,-1597,935,-875,1724,1428,1213,-1194,1564,1236,-905,145,66,1963,684,-706,-1486,-913,685,-3206,-1,-540,-236,-622,-2929,-486,-455,-409,83,-2352,-2163,961,-220,-107,2057,2477,-2366,-1619,-1446
-756,2971,-1861,-538,-2341,2194,1719,200,1548,4476,734,-2020,2370,-1733,1513,2931,526,2921,638,-1825,90,-2747,1194,-2217,1658,-257,-1218,-63,8,-273,-188,-92,-1697,-1757,-1827,3818,4854,-1763,3245,-1480,2560,229,-2521,-964,992,526,-2111,-1252,-1664,2900,-1497,406,-1180,-703,996,-1460,-1509,-236,-1883,342,-3883,-1479,977,3542,1288,3351,3463,-1529,-205,169,-3535,1263,1011,113,-401,3577,-480,-51,-366,144,-2345,1471,-1675,-2764,417,838,-3126,-1539,-1487,722,-1228,1356,-1463,2040,258,-1056,-305,1722,309,3523,-3592,2180,2372,-207,396,1884,2555,1035,-1559,-889,1298,-186,-253,1338,-1220,-2169,2171,-68,-1491,-1471,-62,-1682,-940,-2561,-3108,3185,287,1010,1249,-781,1867,3057,2024,1765,315,1237,1602,-330,-318,2727,901,2525,-54,-635
-1868,-267,1666,1165,3738,1177,7480,-272,-141,6338,6902,3191,806,226,-1008,-892,-1585,-3319,679,993,-227,-2539,2105,2764,659,-775,-2646,956,2007,-2106,-572,-5001,-1750,673,-1803,1639,1119,-4139,-470,-316,-2236,1880,-2956,1415,-1125,1348,-4488,761,672,233,-999,3547,-947,-1868,1041,2932,3845,2591,1683,236,-1035,-3513,-2209,1289,4314,1113,4308,4963,2128,-3762,-843,1927,-856,-3392,694,-2490,1995,-8150,1603,1742,79,31,1,-3632,-1691,-709,-1009,-2427,1344,-1293,97,2941,1957,1208,2588,1637,957,-1071,1639,-1703,676,-1750,-1294,-2470,-1579,4022,2335,-2661,1885,1024,-2262,631,-1132,2355,-1417,-4786,-3692,3542,-2065,-1807,3320,1361,-3044,-1362,-833,-789,-829,1384,-3850,4207,28,-225,255,-1109,-1852,1162,1325,-3377,-289,-213,1187,950,4984,1181
-3312,1078,-1300,-1603,-1275,2676,3849,-477,-850,1555,-239,1125,-2913,-176,-578,354,-1170,-576,-1608,-2351,235,-2523,-684,-2295,593,531,1997,-3159,-195,1659,2538,209,-1628,887,1029,-932,861,-1582,1229,-1445,-4481,3244,-2666,-1927,-934,-30,226,-2894,1881,1545,-3419,649,-741,-2358,-32,-4181,1183,806,-1760,2156,1044,212,982,-720,3371,1652,-777,1968,1366,-756,995,-2332,802,390,-1242,-3471,-1776,59,-2705,1469,-394,1408,-1196,1034,3340,1053,-282,-2695,108,383,464,-229,1088,-3173,1073,771,411,3061,153,1405,-641,-2226,-557,-1904,-1686,2597,-634,2284,-3996,122,-665,-2250,-2321,343,2771,3783,169,3049,1358,-4914,1298,-1050,-168,-426,-1513,-309,1779,1017,1000,-2793,1121,-980,1465,3285,2894,2124,-1380,-2324,4066,4199,-306,2634,-834,1775
