150,-316,-134,1238,108,-447,-795,1068,-516,189,86,-476,-361,2174,225,795,206,-508,-19,837,244,383,473,-873,-542,-692,31,-534,135,239,760,-630,68,865,-396,-788,638,-574,-189,-23,-1066,-367,-986,765,173,677,-56,709,207,280,693,-938,216,938,-683,523,-254,302,249,-166,26,-375,1048,511,-1235,456,-510,1030
447,-422,-106,-622,513,858,75,268,708,-523,-60,-191,696,147,503,481,-76,-24,315,-352,-235,-266,-262,306,193,85,795,640,-399,-17,43,11,911,-341,-883,-57,131,-680,562,-568,739,-155,914,-448,-228,269,-772,-49,903,788,-256,109,1160,-709,643,-507,374,-509,-315,289,6,-61,837,-217,736,-920,-388,-585
-50,-89,-581,421,532,-681,-337,73,601,-181,-228,-286,23,-273,281,-416,-220,457,-599,775,424,-32,-29,-467,966,178,138,198,-430,81,-272,108,464,70,-86,-141,-652,-601,332,89,426,169,-353,-196,802,734,-323,702,707,-90,-299,-291,-125,-653,-90,-32,3,319,757,169,572,-57,346,-276,571,602,181,727
393,8,-348,470,-287,-671,227,-523,-681,199,3,529,-32,99,-350,108,-468,-820,73,745,335,455,892,-184,-228,-236,-269,-338,-87,603,-129,589,304,79,-50,-190,-501,749,-725,597,-214,646,-276,-262,-195,222,-70,-98,-48,-380,-259,289,-810,-220,-64,443,-651,945,214,-18,520,-257,-12,-460,-53,235,188,257
1055,-492,-140,-128,434,-521,-1107,-598,582,-591,165,-781,179,401,-400,-149,-244,128,-890,31,1013,603,-37,138,-349,225,-715,-236,743,-127,607,463,-185,280,-308,150,-481,-1276,-420,-1,11,-27,-1179,433,-122,-214,53,269,-464,35,721,-70,-103,593,-445,106,610,967,114,653,271,-14,217,109,584,-35,-241,-85
-12,-87,1132,138,-1143,-569,174,-624,-364,-108,480,-981,-95,439,708,-57,385,-242,674,779,738,749,-72,-940,736,-72,-520,-524,-353,673,-122,-57,-271,4,520,23,-90,898,781,-97,94,138,320,-283,-1235,-871,631,404,-61,-640,-727,-198,-625,1440,-318,-766,121,-540,68,-120,-149,-101,-23,290,107,792,913,773
-266,429,-290,-113,297,-421,-684,627,4,-289,190,255,-714,39,126,-251,1091,425,291,299,35,-487,-58,-74,-613,-193,291,-507,832,19,-202,-1051,651,-307,346,-988,736,-455,349,112,20,-8,-139,99,121,165,85,-661,-227,477,143,-341,-319,729,39,-108,-233,299,-553,-466,-15,204,253,891,-481,573,833,72
629,-195,411,-389,-250,-195,692,-1079,-754,-409,-587,1033,5,-266,99,-91,-671,-1561,1073,475,422,1298,-419,118,18,219,-74,72,-7,765,-205,-246,209,-1128,-742,-981,105,379,877,-834,-91,310,1018,-380,-313,-542,94,978,411,-648,-716,356,-614,334,-588,-151,-84,547,18,-33,1038,-917,-639,24,447,-513,313,327
-646,592,-96,-125,-359,867,333,141,28,732,43,193,-519,-399,130,-299,283,-436,-32,418,88,-320,371,-371,457,133,-346,-553,42,-105,-455,166,-301,467,774,-31,-260,894,195,263,-611,-391,781,-1187,-696,-341,-10,-1352,-65,-8,199,-169,-564,1011,717,-567,-875,-49,399,-837,-236,-166,-195,-437,-657,43,235,-404
-605,-54,761,-41,-802,-117,-52,644,-532,-563,99,-827,342,-419,25,-314,409,569,109,135,-175,229,697,-872,811,-673,368,-391,-440,161,424,-167,-363,32,169,-566,-312,-41,883,-184,826,750,84,885,-403,12,736,430,337,22,-999,-194,404,-184,-122,-781,-46,-524,-845,700,-770,650,159,417,-466,-76,445,514
-2,-378,-82,-532,670,23,-355,76,620,-472,-552,281,270,-479,1156,240,326,883,55,-135,148,-214,-292,628,-230,-497,618,1001,269,-780,-484,-251,-34,-518,-239,106,111,-157,856,6,355,-401,125,-306,199,-60,311,-195,-291,447,-887,444,167,-150,-111,-59,869,122,-196,75,167,43,135,719,399,-512,15,-249
-260,144,622,-234,188,-815,-630,-1489,-635,-201,431,-303,-462,-760,-935,-943,-865,130,-222,416,280,264,64,1481,-588,534,-666,-1651,-328,99,609,-161,-297,-26,-436,-98,-615,-279,-783,204,-387,256,-494,539,7,223,930,222,-262,-701,-190,574,-815,603,10,416,-162,881,113,249,626,787,425,8,385,773,-187,-93
344,-2,-380,-536,651,372,-564,-326,685,208,799,-263,345,25,173,164,-151,-260,-794,-261,3,-869,552,102,-188,294,-363,750,201,-100,571,154,-178,-50,-144,785,-111,32,-898,9,398,198,-150,-465,610,-224,-64,-692,-357,298,524,-595,777,-686,1008,-270,-96,-457,639,-275,416,143,315,-226,559,-530,-146,192
290,455,-31,-286,-637,-420,-525,-336,-47,-355,674,-839,-18,31,-617,89,94,797,-279,-172,210,-310,411,285,-767,331,77,-1028,382,-348,182,-115,-108,314,-320,484,-113,205,-652,-164,-757,165,-1003,37,-648,-335,450,-28,-867,-149,20,149,-1358,-61,-107,-92,-115,-3,-54,398,144,303,255,-243,-120,7,328,-592
-106,551,-126,-384,661,-518,-573,516,-206,-325,65,-27,-503,440,540,76,494,168,155,644,371,113,-213,-230,51,-749,244,278,277,617,388,-885,784,342,378,37,310,40,695,-114,68,-787,-634,446,564,929,112,767,-492,892,-272,-138,1062,-145,-557,58,367,245,-58,-324,171,-451,-19,502,410,-1022,238,549
-684,-601,600,361,238,59,-477,799,-638,301,165,-517,329,308,627,-465,952,671,-154,52,-820,703,1278,-325,859,-697,-793,318,-850,98,330,84,-1046,55,-19,-388,-496,-761,140,-140,457,670,-76,1307,-344,-164,873,-431,615,1021,-620,-140,675,-246,-167,-965,182,-484,-119,-257,-554,1044,1,-171,-457,-302,-140,885
-454,46,-446,636,250,-159,422,510,-338,941,-417,562,-566,258,105,120,-101,-69,105,237,9,-49,110,-176,224,147,-414,-194,422,329,-105,28,230,-75,2,-376,-20,-76,107,227,268,415,-6,146,957,-20,83,-170,218,103,225,-427,-497,-74,-44,471,-641,408,325,-595,53,161,459,115,-976,473,190,120
298,109,620,-843,-444,857,153,-134,-4,138,-1,-89,180,6,696,1114,784,-318,928,-561,-125,-372,-692,-161,13,472,41,302,274,9,-250,-234,-105,-92,300,55,406,642,266,121,-193,-993,112,-309,-784,-1387,-319,-452,76,327,-492,-381,-675,649,207,-524,479,28,-221,-453,-622,237,-471,-58,-474,-438,483,-1017
-377,233,83,-368,587,406,809,-259,403,818,742,130,-350,348,-78,-256,125,1086,683,-415,-608,-1019,-712,192,575,213,130,314,-1036,-87,-153,660,1557,80,138,288,-486,-171,141,36,153,-1019,-271,-654,-58,145,4,114,430,863,65,232,718,-371,416,-46,1282,-630,-870,-278,408,40,125,-216,860,-1202,205,-506
-628,-123,-154,771,-38,115,259,708,-75,485,-564,-395,436,-256,-154,-146,255,692,-675,-37,-279,-251,439,154,860,282,-103,-411,-843,-540,185,158,-681,243,-61,446,-746,24,-728,671,436,452,-614,759,104,94,-136,170,82,-777,93,-109,-92,-238,493,114,-156,-285,289,325,-183,431,97,-473,-223,268,-260,-341
