-84,340,564,550,118,-398,395,-78,-370,-620,-588,-623,-494,-65,-364,-227,-618,543,806,145,306,-636,6,97,923,-271,678,235,-723,593,221,104,157,317,-196,361,422,301,562,37,64,-156,-39,228,9,500,-110,224,871,735,44,757,278,-180,-592,187,280,111,-206,38,406,-302,-345,195,372,719,68,460,-462,-931,-113,574,-118,-434,-7,418,60,605,-85,-380,-153,136,-443,314,-428,289,451,771
-856,504,-198,-681,-176,1424,-648,1639,-837,220,72,406,-163,8,-842,-135,768,-488,-1007,1268,671,211,-505,462,787,1225,-1382,296,115,-277,2181,-545,-1048,494,-697,-1059,53,-1034,-636,204,697,456,-484,413,685,216,1010,149,-396,-1901,-203,-539,-671,-802,65,965,-267,132,-579,205,-707,1411,-69,-1510,-175,987,831,645,1491,47,-1199,1648,474,-119,74,121,-666,-742,72,-247,26,119,-218,-1272,980,-595,896,904
361,-584,961,786,835,-279,260,-1077,-171,-55,-247,-443,74,-80,439,-337,-1190,-82,1344,104,-459,-370,542,-1195,-728,-197,168,-190,359,-671,-370,353,318,67,-10,-196,648,1063,1390,-416,-184,996,990,-443,461,-434,529,-798,401,423,-575,-321,-215,975,-670,-376,133,-1047,-649,155,39,70,333,889,2,-850,-858,868,-402,-42,-385,688,-398,-249,-420,297,-51,1235,-1735,-417,-359,1344,-70,537,-284,-668,-91,-726
-548,-463,-16,729,737,-654,-442,-323,122,-16,235,810,-779,-820,-248,1140,-1602,706,-441,1210,95,17,968,-1310,212,2341,744,846,91,299,159,-58,698,-325,-825,1713,-30,594,-678,-71,917,559,-69,-679,729,414,-626,362,864,-231,-123,1207,-1783,732,-1992,-1518,1479,218,-627,-161,-591,40,768,821,-339,-268,-1927,202,-2009,-87,-333,306,179,798,-387,523,-1719,261,-2000,1481,202,243,-473,11,235,-185,-1937,-665
-4,-250,-85,200,-522,698,-47,-346,639,-84,-735,-44,-334,831,-506,-304,1168,285,423,-177,-282,124,-155,485,1004,676,-655,-462,-205,151,-94,-926,-622,671,259,-489,731,-626,70,59,407,390,-71,295,-123,231,-155,1365,-677,-762,142,358,102,-738,1769,-280,-250,772,46,42,840,312,-124,178,163,597,1833,105,498,435,-68,421,29,-95,1165,-194,312,298,870,-241,-418,-138,-296,982,765,385,273,208
-553,477,433,-920,130,476,-744,151,-361,32,537,152,65,306,698,-918,-632,-639,726,75,84,357,830,-817,-1001,352,1278,-160,-722,-35,334,365,-684,-728,-113,450,-268,-59,-792,-155,89,-136,-551,92,420,72,369,740,-146,-551,490,-1055,-259,282,158,572,311,-556,-806,-1129,-369,681,138,-703,-541,9,-111,300,-914,-144,-612,642,1220,770,-132,-40,-26,647,-997,-318,688,1009,733,202,-839,-1331,-596,-190
828,-1004,27,380,-938,-428,-339,1213,133,769,748,370,-943,126,572,999,-579,1609,88,768,1129,-634,191,-619,159,-218,-1517,268,-1017,-1319,597,1697,595,-370,-292,-4,-1058,144,-976,-317,101,-131,-978,-595,-114,157,121,-76,-453,-556,-12,1027,165,1756,681,-534,-688,-1842,1,591,-362,96,-1189,-146,298,-940,882,437,-287,-98,458,-398,-398,182,80,585,194,-1132,-44,1098,-784,-326,815,261,-201,-189,-450,-800
562,837,1066,217,-101,-12,-468,-477,-306,-31,-294,360,817,-999,371,-959,-775,-1468,369,440,495,78,-239,23,1013,-1162,-197,189,-1728,786,-223,372,-822,44,-1293,752,-926,-838,-262,239,-776,-287,-1219,1593,588,-1369,-365,562,-140,984,-283,-799,1680,-19,247,36,-172,1181,-1318,1277,-310,-72,1036,-307,1146,553,-278,-459,512,-157,-2003,553,525,-1535,-303,-539,-502,588,1623,151,445,1451,231,430,-153,-1370,-873,429
547,-33,287,317,-45,1050,-1129,277,-279,345,-44,529,279,414,1225,-882,508,-1241,-266,-309,419,-22,-478,-921,388,-519,-299,-128,-1102,-114,-365,1001,-710,449,466,240,-446,-386,602,734,-542,70,423,695,894,-1011,699,157,-993,1013,612,-1216,632,-209,196,1225,-740,-72,-469,1488,-145,-331,477,-831,531,-122,332,-266,897,-649,-678,1045,850,-43,1062,-120,259,-48,707,-412,-570,1205,1110,-29,373,-403,-143,-985
314,-146,1430,-207,150,-411,639,-174,-992,-211,-530,-1500,-169,-644,-203,-898,384,16,847,782,-461,-54,897,792,-623,178,-1081,-1503,632,-490,83,-1740,256,-111,-688,33,-891,-348,-145,-430,-45,1546,440,-1861,-1008,-58,-277,-543,833,346,-991,-606,422,-210,-194,738,674,79,-743,-346,496,519,905,188,216,75,-893,-373,-663,150,-746,-773,-60,-422,-605,-251,-1615,492,-121,-334,-1195,109,-1309,499,97,-1238,1326,1066
