-73,-7,-100,-526,-382,-116,-855,615,-986,-35,-567,412,296,684,-1307,-376,-169,-133,-425,451,-113,257,95,368,-774,-598,-21,363,690,269,551,605,-399,-79,-631,397,651,471,380,-676,-322,269,791,-154,-282,206,-346,64,451,-231,472,486,409,-151,-917,962,68,-271,-189,177,-562,-127
179,-192,-453,-428,-183,438,-334,378,267,17,-1058,692,332,235,-149,-683,276,388,-509,65,407,-581,-852,318,-281,-486,833,358,52,-275,-43,425,-255,580,-587,-183,-515,-264,378,-473,-609,-182,-272,-332,-591,40,-466,182,108,114,-42,516,597,796,-819,-507,-641,628,-590,127,-300,-333
303,639,-374,-126,-163,-162,688,-598,-107,16,268,-108,323,-782,589,59,-324,573,832,-303,-505,-28,468,-471,350,-151,492,702,31,-172,828,-270,1185,707,-234,-3,64,-802,-71,440,565,-290,98,-268,-158,-43,-732,478,-537,-222,275,538,563,175,742,-394,-120,532,-348,495,336,1112
-68,-69,-339,-536,-27,191,476,-211,144,154,-12,437,84,17,376,-230,-297,0,454,-365,407,-50,-261,689,-169,-301,723,73,-289,-96,79,-556,433,84,-181,-287,-622,-719,-122,86,-64,181,161,285,132,317,-201,-464,-305,65,192,-153,169,182,330,-750,407,-39,151,-274,-182,-154
164,-685,-271,465,-880,496,95,884,276,304,-997,-39,-165,-216,414,1680,1340,-1002,73,276,412,63,-7,500,118,-102,-131,-265,-84,-777,-64,344,-546,-71,-629,557,-630,-491,203,125,-495,-460,372,74,-584,122,-271,-627,555,-465,-276,-46,-224,-599,-316,160,-629,210,-314,-1019,-604,-402
134,-406,437,219,-359,21,126,487,463,-104,-94,-242,194,-105,726,602,655,-461,162,255,113,-70,290,168,-61,537,-471,357,13,0,-31,-89,-52,38,-467,-30,-339,-285,-315,172,651,-541,214,626,584,140,-588,-218,311,348,-606,-468,872,-227,509,35,711,-337,169,146,-354,-131
176,-248,175,-508,645,227,-9,238,97,757,683,443,-813,792,-18,102,-806,80,-20,-183,444,529,-252,506,984,-218,-227,-1072,-138,-668,-831,-264,-225,-169,-96,-70,-551,-215,-521,-492,476,692,-456,490,410,28,327,168,-226,139,327,281,-799,705,816,-123,815,-606,250,317,379,408
34,272,118,354,-273,-284,437,-658,264,61,539,130,-221,-498,-50,-518,-763,286,-259,-244,-290,-352,204,-634,617,-407,187,-375,-236,-58,732,-298,311,503,210,547,479,734,148,801,-695,-170,141,165,-316,-874,254,284,-214,-26,-317,178,-166,820,613,273,-1011,331,14,-164,441,457
-602,-499,410,-399,-593,685,679,-448,-771,740,658,-16,404,-756,-597,-20,365,-174,-236,-371,-324,618,598,286,281,-407,267,-423,504,-635,-81,-497,-385,513,-218,464,949,-380,-516,812,-1026,919,590,-79,-176,409,-811,-532,-133,321,560,413,-524,488,518,234,517,169,-764,-676,-441,216
458,-348,531,58,-276,-453,-501,396,672,-725,-492,772,-200,136,36,-19,-83,85,-473,531,970,-7,118,-192,-487,560,517,323,-137,57,646,360,-428,-246,-309,366,438,610,-214,326,-154,-183,-561,401,-154,-429,-384,-148,754,387,-892,-168,-219,-507,-126,1246,-185,86,823,-40,377,-149
