-368373,143989,-61238,312509,316866,-843324,876189,-419339,-278177,194169,-804459,126594,-791198,672158,136186,-1389156,-557001,246509,-1357391,-613130,982051,828040,-1547606,-43197,-158673,707530,211278,-1020648,421108,-188720,-828875,-562324,7822,123669,-543340,-464652,-398503,28280,-1058111,-216269,91332,-393409,487929,503820,219766,-422708,26147,437686,128025,-815298,-505245,-576008,-269342,-173276,209648,407791,-710021,862341,920847,8755,-803718,110319,601848,-2921,-577127,-56464,693632,83477,125807,-75038
1060767,12861,817634,-786743,-558867,-171405,-1478067,521565,-193892,319117,-224432,-270269,251538,193088,69295,570989,338827,361404,533700,894447,-217550,-226207,98820,-215365,264430,-245829,595371,262588,-623872,138389,-295792,-104070,-59949,77595,636649,-478866,-591239,-634572,332896,4291,196526,-648684,969380,494474,551588,-451635,186181,-43016,510303,-60950,83786,-1011616,-382160,115801,228192,802367,-113120,-438007,-448844,-43722,645061,97338,-41045,-302890,-187818,-680483,-19600,-2790,-81321,356474
-210277,362382,225017,-332753,1368102,-483478,518793,-462881,412735,-947307,427318,585940,460116,-96143,506530,-115269,-759113,-349882,175668,-77099,-354008,686597,-523228,422082,457836,-1135580,-767260,-25257,-139740,14298,613867,-150493,443968,-807371,130961,-29491,-17825,-707874,-767229,279599,-451088,521729,-569436,-498056,430394,-427183,249630,563195,-140604,620147,-206875,485725,-144124,-365169,640655,64410,483803,-545461,-290547,-1056703,205590,-661372,1362096,56518,488343,1242661,677145,249871,-371597,695201
-338782,11665,-682301,451792,224973,-93517,471819,-84176,-328334,440102,-170788,36520,-186775,-23014,-558140,-745627,312320,699510,117555,-349072,-69381,-1020355,136248,-249041,-217776,459707,-92400,153474,881955,-295999,-271597,-475336,124589,-400089,-751374,15139,638170,208728,231461,-452270,337218,495931,15110,252472,-949016,-427233,-66016,-482936,-727969,-4613,-405189,6632,526981,977771,543380,-877319,311039,351182,253194,282583,-543589,-351223,-270179,-345742,638162,644742,-412774,425651,-434942,-613646
381353,237448,195238,-398839,-723616,303105,536187,265948,-552514,528120,-810915,-61882,-377603,-655960,-278469,-597780,-304073,-288239,-568398,-197946,869913,-16748,-964262,-402533,486237,-64860,607386,-820463,-190595,269591,263882,-413012,497640,-436559,425951,261498,-166503,666802,183687,120716,70573,359159,-161541,-354617,450572,1252724,-1225664,-669332,503111,-178516,601302,118249,489978,17391,-480137,440368,391284,-145159,552834,-883808,36498,-151519,437279,14777,32071,113040,404424,1343783,-48503,-448419
47156,432231,-213378,-323081,242795,-172345,142231,-768599,-617592,486179,-17689,-680274,153785,401302,311955,-726120,-8309,535952,-424040,457421,975591,562272,-424965,-388176,-486265,-232231,215661,26030,502004,-7940,437459,-595276,76474,-530917,321238,230635,-116105,-6396,-336304,152719,386352,578847,-406189,739006,763409,364036,-76458,21250,92718,-198619,-411114,-103228,-235690,314996,-685147,-126320,148942,-462723,459814,313021,-204008,-1297836,245487,-457191,264554,287117,291900,-144549,553105,-209974
534095,237374,-397979,-418526,-105131,-749091,-71571,-364359,-142305,864123,-388239,-592341,-525836,653472,765886,-710901,67567,-318122,-644164,655593,541415,240581,-138523,-408251,-484807,221954,92459,778099,236319,651593,-1104227,-419602,153802,-72098,-238366,-900386,-721100,-535282,-682022,-406274,-231475,-13881,559904,1304908,815445,-562509,-622629,1026953,-297389,-189428,-1034828,-660587,-455243,-831555,19631,1019066,-1061934,339056,731253,300349,692310,-619904,470760,-197406,889437,300679,229319,-839417,835535,-308252
-813347,181900,809572,-1080630,-310051,58730,-283504,240324,-73750,-608132,-390633,-3666,671269,56231,-450186,60883,40482,-215910,265867,-667773,764393,752117,413498,-907605,-475555,55304,-83587,-107264,114790,-827836,1165756,422390,720322,-157466,354936,359463,-351885,-863083,405371,-130347,-268014,-928532,368834,-213156,-48426,203021,586614,484376,119627,-1177275,-881216,-420608,-419815,-1083528,952495,-174388,177702,863158,367055,-221658,-721961,-66872,-32925,-842027,-789888,-47616,900722,554340,-591786,-102560
27171,248792,-574062,169150,181401,-349524,631363,409116,156290,-203987,211486,131570,-485262,304064,453465,61099,98960,-67508,203499,325822,31859,-249431,-177928,-73765,7758,-446604,135320,-1099131,-156492,-272327,-258646,-511221,1008362,173475,-345608,-896205,168106,786651,-413126,239925,-236410,866313,-212887,-201592,595837,847344,-349528,530582,496969,62668,385291,1316973,614399,393139,-119823,-792591,-198542,-862472,-102027,272832,-54089,-148478,120889,-63031,-228992,717590,14944,-159193,-367479,28834
135942,273094,-1423,907827,-106272,-311357,-444591,737520,137956,-147697,464240,472086,-874736,423815,1135969,-193831,131376,738150,259005,-190113,-793715,-151050,-300428,-100590,828080,38034,51582,-666269,-68666,-379793,-627249,148234,-758214,1569867,-342274,-686413,-300453,-30686,176258,-854217,590126,-59469,460607,-92293,-651251,-61025,838730,-725963,695336,-150528,751564,-233304,328682,374080,-398141,196155,-171687,156244,-398947,613959,-415159,1116133,476021,5827,-1078410,150712,452507,-756308,-93982,-13603
78216,275932,412475,409029,29932,-185467,-8139,112495,-210617,271370,-396637,143004,-7056,172993,-52485,-185331,-426258,53875,316472,-684621,-60420,450761,-689079,356120,745191,-504637,-207859,300500,-91822,-87834,-191674,71028,-484580,468217,159725,402404,-144423,-132165,-30060,-896834,142668,-258944,-156926,-942100,-652571,-491903,400570,-525719,523290,31271,-174931,198713,21461,110385,-119801,672579,565739,1057001,-146555,115968,-533431,662577,97370,215387,-973605,-187703,433604,109862,-83881,94866
264189,805408,-283790,-93137,-156441,-523792,-418431,651834,-502803,780316,-11641,-906672,-481125,443445,900989,134049,482997,431392,670397,290285,-201997,24516,1061254,-900282,69147,-200889,97629,-262106,-284253,172608,-580832,-534381,221651,419042,-278657,-1070180,-371864,-332684,599607,-755515,487838,-780417,184984,268630,323790,729603,-129164,599116,857896,-237240,212957,273692,751132,-101018,-617993,-67563,-303341,351003,74811,1007485,7631,491100,-221067,-259790,443901,-311181,456526,173112,-229098,-402497
-224797,259391,6003,-692722,-646883,453402,-30803,-492126,-562806,471169,-665713,-50892,800210,168316,-394104,-156093,114140,593108,-189103,-521649,773965,-439367,130356,-150022,-588648,-125085,314753,-750236,81802,-1092949,755439,268351,334555,529078,-153820,881955,-4153,-661524,437188,24390,-132905,344497,-264938,-323836,-351836,-54477,-432942,-289665,69085,-249501,-11872,1468,210542,478167,-129591,-703523,26650,-336420,896308,-421629,-724030,-172211,-730364,-575046,-472211,477787,-349041,629714,-851579,446309
371936,-588417,904373,-135502,-562826,-216841,380041,756339,604234,431788,-699296,-111516,432994,95666,527814,552896,376749,291348,-11254,562526,-230321,-838894,91040,896055,664603,-183177,745123,87713,-163585,683442,254831,84549,64223,-49221,-496711,493767,10769,521395,-20248,-227555,-928382,58094,-887351,360258,-645069,-181736,84503,-353100,493583,56859,667003,-161739,-246893,39784,1177274,537882,-142595,-390730,-116660,209102,-34807,-194688,-387282,-141229,-289603,211936,273131,223655,613566,328714
-265325,-402050,128850,132133,-620606,725308,-326735,318672,353090,-710241,345208,205457,329328,-696955,-802964,800883,-61335,-463584,277698,47812,-80510,279421,207563,181847,190802,204876,13812,391953,-116380,-97605,411753,469470,-325023,367762,488274,358254,278533,-311704,-43683,355629,590386,-183703,238579,-605628,-565037,-167408,-79113,-304023,233817,402668,-18635,367218,-46400,-163532,-335708,-239092,73269,28034,-483461,390503,184382,688102,116000,417331,-854014,-396063,-134369,-169648,-284505,41296
-89409,-625704,-269493,142903,-824598,132984,-707446,767194,500968,-84839,-599579,-238023,1080335,138616,-922648,-22989,920244,-27130,62651,637657,366888,-39911,367860,-490624,-120280,313217,-826920,664835,-577828,-79144,-568596,375485,1014266,516507,-406790,-903528,-389324,-603385,100206,738696,994322,-603595,312052,-399491,-538524,-775808,-398122,191559,21876,-79463,-954752,-547944,-600188,157100,671448,20500,-305212,116583,-388433,104052,754218,279724,-112944,-53960,202618,-781023,-378768,-637848,87022,-223172
-673801,-207525,-298325,604785,-495708,226390,344250,1076319,195792,277170,259407,-451055,-190556,-627383,237738,-165024,219140,438449,155518,-11226,-550607,-239227,729948,-670681,780570,585942,-29465,-257383,116880,107747,294650,85174,-278222,326163,-394885,-27133,-102835,203885,454996,-1031674,322721,-514047,-589615,-138680,-752957,-275409,-426841,7282,652799,-164987,399150,505514,644980,84670,64086,-126486,69480,289993,578130,425684,-705207,-50345,-640998,-690649,59513,515093,7812,165439,33886,-655850
-46924,-424963,136846,35459,-379088,-44648,697049,110498,273256,-158065,5014,-94190,-686298,-165319,147770,308995,-102417,-309156,8599,292104,-525386,-489224,120896,290036,418718,519239,724976,187012,135566,-18929,-164732,-92787,-376880,5348,-369771,455115,420813,58473,30970,-350820,-585056,-160796,-658822,-87934,543623,-514432,-309654,609250,-159664,48664,218365,6724,109052,-414821,103313,457866,435491,326947,458109,570189,-380144,-528750,-75276,102634,-267702,55450,39915,-351580,173595,-4853
-155576,-689083,908013,201065,-665301,201404,-193627,759166,371990,-99486,26975,-748850,5369,-1068035,-142482,208546,-339341,189340,-354915,348125,315657,493321,-159054,-400847,654758,664155,440469,-104850,172924,797174,784264,281009,-870482,-89466,552290,176215,-102652,421869,-199870,-96320,-51220,-740553,-123433,-6995,-967195,-700522,485519,-560336,217982,74108,-91311,-453760,-540075,-387180,192334,398927,252931,158251,244265,576846,-646610,-243153,-113519,-565429,-1224724,-16233,-129026,-404536,690488,94331
