-23740,63619,11532,-53131,54864,52242,54059,62077,-47272,13491,-45804,7934,41621,35968,62635,-26527,33334,-27843,6090,47841,61344,-51545,42319,-8745,-22093,-2012,-43166,-12793,31314,32129,49002,14948,-26906,55525,-24431,25818,-16178,-43566,53236,-37913
-15365,-17147,34435,-56964,-38648,-29381,6256,27788,39288,42732,-39403,-33849,-42150,27807,-45474,30402,-57837,-13170,-26767,-11573,-38398,29588,-15585,-25413,35673,-15992,-43676,5828,7556,-17208,18247,39507,-41495,35120,50110,20981,-59715,21489,-43697,16924
11822,-15684,45152,-28359,27520,17793,7284,-4555,-36085,-42504,10380,34241,-50333,50490,-34817,-35421,-2218,26427,-28771,-14000,11449,6153,-51584,27531,-15324,-6438,-22017,9540,-52162,-870,54037,-46553,-47122,-177,25072,-39767,-31685,-10892,62516,-28061
-53512,-35598,-6959,32473,-57006,40416,-7851,-53224,-24134,-42943,-32194,-42870,-50451,-34510,38432,-57423,10697,13357,24964,-53198,37839,8682,28704,-43276,-17703,-52954,18654,58377,-34853,55235,21211,-48275,-21057,-5641,23646,-35970,-32487,-58159,54632,30865
12505,16994,-18113,30329,-30596,50496,-14523,-19063,63930,-49112,2024,46614,-11701,-48671,30603,31873,-30461,63183,-10320,19738,51733,-14817,-58159,51076,56436,17745,-27658,-18588,-40583,-11317,44201,16483,26539,-27675,-48576,18083,-60804,4966,-47758,-53009
-53741,43088,5150,-60233,-38574,-36658,35831,4633,-9384,59329,-14197,-20120,17382,31943,15507,-27091,-56362,46116,-36851,24454,-19301,-8607,-20154,-8009,-9828,-26138,-28830,994,-59362,-19313,-35045,-28633,22529,18613,23384,-42194,-280,-58000,40988,34718
-56555,-52803,51326,27381,-20932,-2313,26023,8840,-12371,-47069,36284,16744,24462,-49302,26145,37606,25579,34479,-5866,20324,-56097,-36112,53882,-19857,56855,-58639,-682,-43205,-26618,-57366,9264,42142,26684,24218,2137,-177,-49773,-9640,-9426,-23114
-18255,-44989,-63446,45332,-6011,22749,-39997,52201,59919,6134,8575,-18620,-32589,-46991,31024,21746,-48934,62984,24503,-3329,-3979,39331,-41761,-55060,52946,42910,-57535,55846,51059,-8433,12958,-21994,-8663,6508,9785,44831,-30756,14115,-38558,-50353
60477,11485,23420,1625,-53322,-51558,-33206,14225,40829,59326,-47884,31367,-35594,-42592,-53584,11437,61709,60439,-45548,33803,-11214,17993,26657,15107,-4308,26818,-5652,-59226,3429,39383,22237,-35073,56420,50464,-53218,-35218,-35391,-61924,19433,32100
32941,-1507,-13368,-17133,15344,-19789,-57014,-20617,50598,51102,-28573,2218,17962,26934,36000,-6272,52757,-50506,-56427,31709,52205,27729,52953,-42329,41156,48510,-14880,-1836,-24379,5033,35118,-54492,-7617,61087,63562,-40258,55639,-62137,-8012,-20907
24432,-20324,-44284,57353,-21569,27569,-36669,-61719,-40146,-21013,30343,-23810,-6858,34226,9319,-27081,40824,-21588,-27526,60050,26699,-26047,-9795,-2067,-46860,-52512,19493,63866,54942,60887,10686,-9192,-7940,-30136,42,-29091,16063,32262,63223,-14331
-12029,-28496,11263,-13690,16588,45267,-288,-3079,48672,-10539,-9113,-37954,-63277,-63182,18861,4848,38614,-28680,-37192,-30728,-32883,-39495,46983,36935,6036,-22918,-44480,5887,36286,-57026,63513,-27915,14140,35154,32603,51273,930,47998,21379,19652
51349,-6345,29240,-32071,-32730,-55707,-42094,-40345,20827,4413,-4296,37312,22129,42913,1886,42460,38070,970,-33130,37370,46010,-10771,-29200,-13289,60211,45311,-30580,23900,-27252,34276,12665,-46784,23929,-46268,-17494,-48898,-46463,14199,628,36753
38182,8907,46820,-23043,-22779,59205,38754,31312,-29888,33392,16065,-35100,-9841,43167,47343,34850,17066,-24746,13624,30572,16839,54482,60603,-17088,48578,44961,-4399,22435,-9557,9698,11157,44249,12441,-42898,22684,61445,62313,-38093,-63734,-26261
-22502,14385,-37538,37955,20854,50658,5588,-47928,-29228,-443,62273,-4006,-54089,1264,-62504,48217,43988,41159,40649,12602,-27165,-11491,25354,36709,27181,-38415,21072,-63868,-35223,13117,50723,50074,36418,-24085,51309,19910,-18716,31440,-20778,-23383
8910,37482,-19521,55552,55115,-41661,3866,39846,49445,17853,54828,-24286,34543,48154,-56991,5161,62461,45647,-39492,18489,20197,-21286,35342,20772,-56241,-42696,-14288,-41951,52217,6616,55424,21067,-17558,-63907,32960,36528,19449,3254,-56320,-54732
63480,26051,-33243,-24118,8440,-19363,-54279,42078,36932,26149,46083,-53947,-224,21744,-43069,-56120,60227,-45363,8232,39924,-48,-54023,35015,21535,-46312,25606,27083,730,-18997,49040,53288,-32179,58460,-22309,-25597,14490,56305,59285,9461,40342
-39694,29143,-49948,50765,-27302,-30051,-38365,-31659,-15610,17233,34683,35968,-33738,-5446,-31909,-43780,47561,6619,5902,-63470,52103,55395,-27547,39254,-20900,-6783,-9704,6019,37386,-14048,-21124,-7833,12390,19651,-62474,-46552,37358,-50067,-53767,-27311
